,wl,fl
0,3700.0,2.0386087301021214e-24
1,3725.6,2.959035916001836e-16
2,3751.1,4.540146294337837e-16
3,3776.7,6.187845268659558e-16
4,3802.3,5.919720841264866e-16
5,3827.9,4.036310364047912e-16
6,3853.4,1.8880279424198698e-16
7,3879.0,2.6571269764835367e-16
8,3904.6,2.882168275846682e-16
9,3930.1,7.065187135007228e-17
10,3955.7,2.397145257724776e-16
11,3981.3,9.591405485219047e-17
12,4006.8,4.3923519507371204e-16
13,4032.4,3.9058442480416505e-16
14,4058.0,6.204070260115098e-16
15,4083.6,6.789076658438709e-16
16,4109.1,7.125499165665459e-16
17,4134.7,8.234458990343372e-16
18,4160.3,7.0334956294404e-16
19,4185.8,7.912610356883988e-16
20,4211.4,7.205145001957752e-16
21,4237.0,9.626317147411342e-16
22,4262.6,9.425821176601372e-16
23,4288.1,9.505566713022033e-16
24,4313.7,9.907079658530699e-16
25,4339.3,8.861534832088048e-16
26,4364.8,8.411882871510754e-16
27,4390.4,9.28731088721475e-16
28,4416.0,7.08025024572685e-16
29,4441.6,7.371275920343637e-16
30,4467.1,7.621460026088224e-16
31,4492.7,7.435634136812517e-16
32,4518.3,6.681818887515351e-16
33,4543.8,7.226923312947217e-16
34,4569.4,8.636387813606726e-16
35,4595.0,7.726708565257139e-16
36,4620.5,7.729656690662232e-16
37,4646.1,8.136470554581681e-16
38,4671.7,8.073774313965508e-16
39,4697.3,9.410303429786656e-16
40,4722.8,9.230864037067618e-16
41,4748.4,1.0367792075828917e-15
42,4774.0,1.018616016971189e-15
43,4799.5,9.973499286889212e-16
44,4825.1,1.012353392142717e-15
45,4850.7,1.073880396638912e-15
46,4876.3,9.702896106168225e-16
47,4901.8,9.80213872605773e-16
48,4927.4,9.858809289752263e-16
49,4953.0,8.988991880193328e-16
50,4978.5,8.97849565801745e-16
51,5004.1,9.473052343108042e-16
52,5029.7,9.444881409707172e-16
53,5055.3,9.49864477077907e-16
54,5080.8,8.757601231121667e-16
55,5106.4,8.025208580260968e-16
56,5132.0,8.026531609196184e-16
57,5157.5,8.141805501474203e-16
58,5183.1,8.381296409918295e-16
59,5208.7,9.155887261868051e-16
60,5234.2,8.643770947458385e-16
61,5259.8,8.884131818202458e-16
62,5285.4,8.413713762281213e-16
63,5311.0,8.761651359363217e-16
64,5336.5,8.637933580634101e-16
65,5362.1,8.99402058976968e-16
66,5387.7,8.532328151198984e-16
67,5413.2,8.665119147254619e-16
68,5438.8,8.299809683350151e-16
69,5464.4,8.324156213905034e-16
70,5490.0,8.898060807596025e-16
71,5515.5,8.506128822006296e-16
72,5541.1,8.185598463543242e-16
73,5566.7,8.468147345155898e-16
74,5592.2,8.881727520607802e-16
75,5617.8,8.926723487489839e-16
76,5643.4,9.062535930187745e-16
77,5668.9,8.578229519389373e-16
78,5694.5,8.651162411167022e-16
79,5720.1,8.771536768794429e-16
80,5745.7,8.945518324812464e-16
81,5771.2,8.634829088752854e-16
82,5796.8,9.197494120786604e-16
83,5822.4,9.39921255825361e-16
84,5847.9,9.723543971754115e-16
85,5873.5,9.439769820261212e-16
86,5899.1,9.86397169428056e-16
87,5924.7,9.465926886789688e-16
88,5950.2,9.754060706583008e-16
89,5975.8,9.87320624386294e-16
90,6001.4,9.72663615112735e-16
91,6026.9,9.022036061811771e-16
92,6052.5,9.12993696239513e-16
93,6078.1,9.38604982177577e-16
94,6103.7,9.25818741720559e-16
95,6129.2,9.816795467471426e-16
96,6154.8,9.504734961358765e-16
97,6180.4,9.227744231046978e-16
98,6205.9,9.263565603465322e-16
99,6231.5,9.29834909530054e-16
100,6257.1,9.02973697596786e-16
101,6282.6,9.35042514462175e-16
102,6308.2,8.808388656544105e-16
103,6333.8,8.272664166981403e-16
104,6359.4,8.443255274667311e-16
