,wl,fl
0,3700.0,2.4646431304771954e-15
1,3725.6,2.516088503295042e-15
2,3751.1,2.188728805839161e-15
3,3776.7,1.909443036905966e-15
4,3802.3,1.6771025369124808e-15
5,3827.9,1.7710777681337097e-15
6,3853.4,9.086824826684646e-16
7,3879.0,8.574880781556131e-16
8,3904.6,6.3561158327615e-16
9,3930.1,5.381991808280551e-16
10,3955.7,4.754739477539928e-16
11,3981.3,6.919716129040618e-16
12,4006.8,6.761653354514451e-16
13,4032.4,8.086060143760925e-16
14,4058.0,6.75334145907867e-16
15,4083.6,6.802147564841313e-16
16,4109.1,7.016427226849498e-16
17,4134.7,5.606966986902503e-16
18,4160.3,6.947976605593675e-16
19,4185.8,7.280585404828816e-16
20,4211.4,7.585808458201044e-16
21,4237.0,8.404498857994814e-16
22,4262.6,8.922391497001818e-16
23,4288.1,7.504131162761069e-16
24,4313.7,7.063758824564366e-16
25,4339.3,6.510718608194556e-16
26,4364.8,5.883964579282254e-16
27,4390.4,4.740237447786742e-16
28,4416.0,4.0956747632110785e-16
29,4441.6,2.862690017883889e-16
30,4467.1,3.024528017037278e-16
31,4492.7,3.7370973429060673e-16
32,4518.3,3.3251675487052684e-16
33,4543.8,4.708436602734846e-16
34,4569.4,4.955878477530836e-16
35,4595.0,5.076626815842413e-16
36,4620.5,4.934848384670999e-16
37,4646.1,6.01481318819786e-16
38,4671.7,5.278838606777213e-16
39,4697.3,5.08267973501035e-16
40,4722.8,4.934853564805646e-16
41,4748.4,4.754059574409153e-16
42,4774.0,5.168375757286811e-16
43,4799.5,4.223323508655306e-16
44,4825.1,4.742131452977447e-16
45,4850.7,3.673388542268432e-16
46,4876.3,4.2517314447513913e-16
47,4901.8,4.0026420522090413e-16
48,4927.4,4.613408777561093e-16
49,4953.0,3.7255735390826455e-16
50,4978.5,3.6484553371299593e-16
51,5004.1,3.324600240579411e-16
52,5029.7,2.9138288806724176e-16
53,5055.3,2.2589122419917817e-16
54,5080.8,3.17718187064593e-16
55,5106.4,2.7064682895113374e-16
56,5132.0,3.2862425808256315e-16
57,5157.5,3.6947226606487353e-16
58,5183.1,3.782494639605381e-16
59,5208.7,3.683555725372429e-16
60,5234.2,3.430977791773157e-16
61,5259.8,3.8844748779135403e-16
62,5285.4,3.8450041784342765e-16
63,5311.0,4.2716148887824926e-16
64,5336.5,3.568213266068309e-16
65,5362.1,3.5617615052014654e-16
66,5387.7,3.6378671941263334e-16
67,5413.2,3.511907392710731e-16
68,5438.8,3.312015805425412e-16
69,5464.4,2.933603770682722e-16
70,5490.0,2.5881959415600985e-16
71,5515.5,2.9191852693819233e-16
72,5541.1,3.0461401246613287e-16
73,5566.7,3.13818939372318e-16
74,5592.2,3.0549695047244075e-16
75,5617.8,2.8451653230670277e-16
76,5643.4,2.712505547784043e-16
77,5668.9,2.547233128409767e-16
78,5694.5,2.741630892494753e-16
79,5720.1,3.049787787548105e-16
80,5745.7,3.480047833954415e-16
81,5771.2,3.474941749171741e-16
82,5796.8,3.4003214585521795e-16
83,5822.4,3.4110507928473877e-16
84,5847.9,3.297549731062378e-16
85,5873.5,3.189372613567152e-16
86,5899.1,3.319085098222505e-16
87,5924.7,2.4608319868448886e-16
88,5950.2,2.687441466829885e-16
89,5975.8,2.4333707848052335e-16
90,6001.4,2.793406420039717e-16
91,6026.9,2.536288705082299e-16
92,6052.5,2.7963101891004147e-16
93,6078.1,2.957458341475068e-16
94,6103.7,2.9137150261789976e-16
95,6129.2,3.0926249173608994e-16
96,6154.8,3.1003224854824815e-16
97,6180.4,3.0250973412033914e-16
98,6205.9,2.757868251370015e-16
99,6231.5,2.359610978883492e-16
100,6257.1,1.7412543146915396e-16
101,6282.6,1.241680017320984e-16
102,6308.2,1.2162413664911253e-16
103,6333.8,1.1289677632574868e-16
104,6359.4,1.344611388949086e-16
105,6384.9,1.3631771418882612e-16
106,6410.5,1.6876221369030194e-16
107,6436.1,1.917665453862541e-16
108,6461.6,2.2072952762789481e-16
109,6487.2,2.5020315975910153e-16
110,6512.8,2.725467551731327e-16
111,6538.4,2.7709151640086517e-16
112,6563.9,2.7420659751776243e-16
113,6589.5,2.7289165136095125e-16
114,6615.1,2.814071809116268e-16
115,6640.6,2.930557555193754e-16
116,6666.2,2.737587163097902e-16
117,6691.8,2.566646739793319e-16
118,6717.4,2.4814561118178296e-16
119,6742.9,2.393170569000473e-16
120,6768.5,2.388470556368358e-16
121,6794.1,2.3514038482911226e-16
122,6819.6,2.301827941181257e-16
123,6845.2,2.342028148027519e-16
124,6870.8,2.1787363708067353e-16
125,6896.3,2.0165606195632702e-16
126,6921.9,1.9775276451668048e-16
127,6947.5,1.898886099046637e-16
128,6973.1,1.8724058037639722e-16
129,6998.6,1.7729763808700745e-16
130,7024.2,1.6996408456754893e-16
131,7049.8,1.6930160470345776e-16
132,7075.3,1.7051446505328087e-16
133,7100.9,1.7797501401264416e-16
134,7126.5,1.786646569117619e-16
135,7152.1,1.6936095255564046e-16
136,7177.6,1.6547316937770727e-16
137,7203.2,1.578412049102298e-16
138,7228.8,1.5146089922075428e-16
139,7254.3,1.5236370239737888e-16
140,7279.9,1.6491169827385141e-16
141,7305.5,1.61860664658789e-16
142,7331.1,1.4436417327987978e-16
143,7356.6,1.3861745571322385e-16
144,7382.2,1.4752140933036472e-16
145,7407.8,1.6026450249729824e-16
146,7433.3,1.6583703025313762e-16
147,7458.9,1.6185556697489448e-16
148,7484.5,1.6223538002980047e-16
149,7510.0,1.5566229863341302e-16
150,7535.6,1.371604876844225e-16
151,7561.2,1.340187765506e-16
152,7586.8,1.3658238175217165e-16
153,7612.3,1.2255548150953032e-16
154,7637.9,1.0780895328718247e-16
155,7663.5,9.563911676040805e-17
156,7689.0,9.06139164656945e-17
157,7714.6,8.183031912888895e-17
158,7740.2,7.842600436738375e-17
159,7765.8,8.043894801373313e-17
160,7791.3,7.73885571830742e-17
161,7816.9,8.035326593734078e-17
162,7842.5,8.592464871489827e-17
163,7868.0,9.328378732898536e-17
164,7893.6,9.933648883390112e-17
165,7919.2,9.991576378848373e-17
166,7944.7,1.0337985774643205e-16
167,7970.3,1.1599163120287664e-16
168,7995.9,1.2496016949005214e-16
169,8021.5,1.2038801677070177e-16
170,8047.0,1.189174459836196e-16
171,8072.6,1.2777711722510927e-16
172,8098.2,1.2806156131022462e-16
173,8123.7,1.2514525456297277e-16
