,wl,fl
0,3700.0,3.352062558663898e-15
1,3725.6,2.688548420653262e-15
2,3751.1,2.578402513787998e-15
3,3776.7,2.2926459982596677e-15
4,3802.3,1.4047575774318407e-15
5,3827.9,2.4838571058899647e-15
6,3853.4,1.886443309984604e-15
7,3879.0,1.9565527576249667e-15
8,3904.6,1.925625609503918e-15
9,3930.1,2.1474819908143987e-15
10,3955.7,2.012272340488372e-15
11,3981.3,2.2193911861738626e-15
12,4006.8,2.541374176984901e-15
13,4032.4,2.27886322629696e-15
14,4058.0,1.923753954353802e-15
15,4083.6,1.6298092201342832e-15
16,4109.1,1.9457709775298752e-15
17,4134.7,1.8783709305092795e-15
18,4160.3,1.7228009975262012e-15
19,4185.8,2.030363215948156e-15
20,4211.4,1.9222310213702813e-15
21,4237.0,1.978252508031118e-15
22,4262.6,1.841664209822899e-15
23,4288.1,1.640380130121746e-15
24,4313.7,1.6162426306509719e-15
25,4339.3,1.44060500777854e-15
26,4364.8,1.2673913350711101e-15
27,4390.4,1.1744498742865475e-15
28,4416.0,1.1638200754548383e-15
29,4441.6,1.1181594928616277e-15
30,4467.1,1.3242862044191011e-15
31,4492.7,1.2304595763090774e-15
32,4518.3,1.384876492900917e-15
33,4543.8,1.456085188883139e-15
34,4569.4,1.3940245130301598e-15
35,4595.0,1.3778683885239124e-15
36,4620.5,1.4446026435435712e-15
37,4646.1,1.3521777368375042e-15
38,4671.7,1.1433609447341583e-15
39,4697.3,1.1089272066422405e-15
40,4722.8,1.174603587748754e-15
41,4748.4,9.468393303776486e-16
42,4774.0,9.575786278781002e-16
43,4799.5,9.209788894625972e-16
44,4825.1,9.591861431816393e-16
45,4850.7,8.236301661214931e-16
46,4876.3,7.641012232108372e-16
47,4901.8,8.143776863703632e-16
48,4927.4,7.727953143964344e-16
49,4953.0,7.029135916798041e-16
50,4978.5,5.751442009736856e-16
51,5004.1,6.986147955632322e-16
52,5029.7,7.385578353809999e-16
53,5055.3,8.354827699104655e-16
54,5080.8,8.4219639236462695e-16
55,5106.4,7.895744976965423e-16
56,5132.0,8.284481491353236e-16
57,5157.5,7.780526037678319e-16
58,5183.1,8.411467982550535e-16
59,5208.7,9.176498509551607e-16
60,5234.2,9.14229644118821e-16
61,5259.8,7.851578985618829e-16
62,5285.4,8.155766755526416e-16
63,5311.0,7.790067477251754e-16
64,5336.5,7.588063257352051e-16
65,5362.1,7.185416070982345e-16
66,5387.7,5.983294189059363e-16
67,5413.2,5.801714976561297e-16
68,5438.8,5.997924246094579e-16
69,5464.4,5.938794093362726e-16
70,5490.0,6.054474439554452e-16
71,5515.5,6.440147772768966e-16
72,5541.1,5.529435161488216e-16
73,5566.7,5.162305110259276e-16
74,5592.2,6.024309357043551e-16
75,5617.8,6.005083637681034e-16
76,5643.4,6.769971161176728e-16
77,5668.9,6.192388624423383e-16
78,5694.5,7.261402726300821e-16
79,5720.1,6.689433855000283e-16
80,5745.7,6.796206796773235e-16
81,5771.2,6.71606108514847e-16
82,5796.8,6.800387383694946e-16
83,5822.4,7.151490147298533e-16
84,5847.9,6.722504336458444e-16
85,5873.5,5.846906769511925e-16
86,5899.1,5.658522567959203e-16
87,5924.7,6.171639973834849e-16
88,5950.2,5.45051298027777e-16
89,5975.8,5.911215068981774e-16
90,6001.4,6.335447864162941e-16
91,6026.9,6.227127288099773e-16
92,6052.5,5.084339289304512e-16
93,6078.1,5.15628228624091e-16
94,6103.7,5.705803473637105e-16
95,6129.2,5.7828670448801505e-16
96,6154.8,4.796773717839593e-16
97,6180.4,4.3968576442597784e-16
98,6205.9,3.595547378299121e-16
99,6231.5,3.038997366134381e-16
100,6257.1,2.8661150225847324e-16
101,6282.6,2.891858163040091e-16
102,6308.2,3.106502164735686e-16
103,6333.8,3.5990192370613183e-16
104,6359.4,4.50601375970061e-16
105,6384.9,5.088018212802984e-16
106,6410.5,5.526577969659122e-16
107,6436.1,5.602425503831515e-16
108,6461.6,5.911344587499405e-16
109,6487.2,5.804851619926678e-16
110,6512.8,5.866797336567131e-16
111,6538.4,5.941414109469234e-16
112,6563.9,5.909097464761417e-16
113,6589.5,5.846106816520608e-16
114,6615.1,5.39069600920446e-16
115,6640.6,5.05715681849508e-16
116,6666.2,5.118148481688984e-16
117,6691.8,5.3133399890637e-16
118,6717.4,4.993825040502704e-16
119,6742.9,4.688222383977623e-16
120,6768.5,4.721786578925138e-16
121,6794.1,5.098466860766078e-16
122,6819.6,5.34617230627363e-16
123,6845.2,5.252897895774557e-16
124,6870.8,5.078443657624898e-16
125,6896.3,4.900925461980179e-16
126,6921.9,4.930151346922564e-16
127,6947.5,4.4217884217939483e-16
128,6973.1,4.0264582160355046e-16
129,6998.6,3.864168409840273e-16
130,7024.2,3.8030692075623305e-16
131,7049.8,3.6567180939119803e-16
132,7075.3,3.50518786697421e-16
133,7100.9,3.7578268614831383e-16
134,7126.5,3.6621046338940483e-16
135,7152.1,3.3350530448963473e-16
136,7177.6,3.3067958317819985e-16
137,7203.2,3.6821936004050787e-16
138,7228.8,3.5445619957686274e-16
139,7254.3,3.3838975157371125e-16
140,7279.9,3.5457549518594557e-16
141,7305.5,3.5773238989960336e-16
142,7331.1,3.299213526997445e-16
143,7356.6,3.166079486857256e-16
144,7382.2,3.209268611921133e-16
145,7407.8,3.2115299731230165e-16
146,7433.3,3.2515419442214933e-16
147,7458.9,3.5231942750080033e-16
148,7484.5,3.346167317063972e-16
149,7510.0,3.029900272907278e-16
150,7535.6,2.810164704170346e-16
151,7561.2,2.666989682242319e-16
152,7586.8,2.7468678311022687e-16
153,7612.3,2.896825246559625e-16
154,7637.9,2.8280323321192023e-16
155,7663.5,2.569957341774228e-16
156,7689.0,2.282746719584867e-16
157,7714.6,2.2486794073444446e-16
158,7740.2,2.508314011619491e-16
159,7765.8,2.659147281519375e-16
160,7791.3,2.4975777244192667e-16
161,7816.9,2.658781661867952e-16
162,7842.5,2.7854503721317887e-16
163,7868.0,2.8212522914253165e-16
164,7893.6,2.932166081801609e-16
165,7919.2,2.9147114927176806e-16
166,7944.7,2.9306465235370483e-16
167,7970.3,2.7349130714117246e-16
168,7995.9,2.8572156649482343e-16
169,8021.5,2.7877073694793296e-16
170,8047.0,2.499448351534956e-16
171,8072.6,2.248833811339865e-16
172,8098.2,2.247230890170591e-16
173,8123.7,2.3028947680778283e-16
174,8149.3,2.1992851671357207e-16
175,8174.9,2.1030144147547054e-16
176,8200.5,2.1586824473789464e-16
177,8226.0,2.233051264595662e-16
178,8251.6,2.0380704199426519e-16
179,8277.2,1.9097197805281042e-16
180,8302.7,1.9695563496035707e-16
181,8328.3,2.054305989618686e-16
182,8353.9,2.1223992366888078e-16
183,8379.5,2.1052987019173793e-16
184,8405.0,2.0124097801918157e-16
185,8430.6,1.8053673114358337e-16
186,8456.2,1.7582629554891593e-16
187,8481.7,1.8616531018167983e-16
188,8507.3,1.9079399682087279e-16
189,8532.9,2.086982283877471e-16
190,8558.4,2.4878854048667557e-16
191,8584.0,2.3836872577064606e-16
192,8609.6,2.176912631781994e-16
193,8635.2,2.289444216159534e-16
194,8660.7,2.5138501920693815e-16
195,8686.3,2.565159851680537e-16
196,8711.9,2.4258681513135318e-16
197,8737.4,2.6242491947341625e-16
198,8763.0,2.679673771366472e-16
199,8788.6,2.7143816356490534e-16
200,8814.2,2.817398681387585e-16
201,8839.7,2.862437691515655e-16
202,8865.3,2.564987244632359e-16
203,8890.9,2.46213530900334e-16
204,8916.4,2.5848137217855724e-16
205,8942.0,2.6050760805956084e-16
206,8967.6,2.751489670524657e-16
207,8993.2,2.7655346573099603e-16
208,9018.7,2.3392357499815403e-16
209,9044.3,2.027794197878522e-16
210,9069.9,2.12257156321979e-16
211,9095.4,2.2451776083294384e-16
212,9121.0,2.0165394283191869e-16
213,9146.6,1.800365524919197e-16
214,9172.1,1.888922376898585e-16
215,9197.7,1.8989758906944708e-16
216,9223.3,1.5796720065511264e-16
217,9248.9,1.3058829012794713e-16
218,9274.4,1.568903384895284e-16
219,9300.0,1.882420085009584e-16
