,wl,fl
0,3700.0,1.0449080418511463e-15
1,3725.6,7.307309249634402e-16
2,3751.1,6.860574377986014e-16
3,3776.7,6.218437990346256e-16
4,3802.3,5.950094117860921e-16
5,3827.9,6.144625433369594e-16
6,3853.4,5.254649360332148e-16
7,3879.0,4.906517796134117e-16
8,3904.6,4.657785741566091e-16
9,3930.1,4.769996443656626e-16
10,3955.7,3.5539356845893783e-16
11,3981.3,5.761570577702101e-16
12,4006.8,7.073829768710472e-16
13,4032.4,5.97725813590626e-16
14,4058.0,4.716191091144083e-16
15,4083.6,4.908210593423242e-16
16,4109.1,4.49538430515232e-16
17,4134.7,4.864720216849986e-16
18,4160.3,5.252925178298309e-16
19,4185.8,5.043261489335472e-16
20,4211.4,4.467597052709127e-16
21,4237.0,4.690152574655833e-16
22,4262.6,4.672115653601568e-16
23,4288.1,4.075755057090166e-16
24,4313.7,4.755046394943215e-16
25,4339.3,3.36826936985892e-16
26,4364.8,3.3435150347319603e-16
27,4390.4,2.743872187223764e-16
28,4416.0,2.7681261683667642e-16
29,4441.6,2.2965805885613455e-16
30,4467.1,3.116136482313126e-16
31,4492.7,3.0232305530503766e-16
32,4518.3,2.8693784812851253e-16
33,4543.8,3.14034749924972e-16
34,4569.4,3.0515298087333267e-16
35,4595.0,3.572664180412838e-16
36,4620.5,3.814746041450268e-16
37,4646.1,3.718145764739829e-16
38,4671.7,4.0152510301710043e-16
39,4697.3,4.4303994261498334e-16
40,4722.8,3.970274194661442e-16
41,4748.4,4.311910266418227e-16
42,4774.0,3.3835528111071295e-16
43,4799.5,3.3573772694352837e-16
44,4825.1,2.777292617614258e-16
45,4850.7,2.814604584791473e-16
46,4876.3,3.033262749572925e-16
47,4901.8,2.400783527893889e-16
48,4927.4,2.6506615833718336e-16
49,4953.0,2.643846983860848e-16
50,4978.5,2.5223464921577174e-16
51,5004.1,2.427434733561169e-16
52,5029.7,1.7805990435557444e-16
53,5055.3,2.365864930228727e-16
54,5080.8,2.567891058540122e-16
55,5106.4,2.430743492141573e-16
56,5132.0,2.2535684360367646e-16
57,5157.5,2.2713382288212e-16
58,5183.1,2.3613744740749037e-16
59,5208.7,2.3968170293764353e-16
60,5234.2,2.5126408191170074e-16
61,5259.8,2.4522582689376587e-16
62,5285.4,2.9018310088653667e-16
63,5311.0,2.551248538572964e-16
64,5336.5,2.6466050293740814e-16
65,5362.1,2.761817293090254e-16
66,5387.7,2.474779101529109e-16
67,5413.2,2.554783557928828e-16
68,5438.8,2.0783979865582244e-16
69,5464.4,2.2114304403834934e-16
70,5490.0,2.242337213708819e-16
71,5515.5,2.062526202146826e-16
72,5541.1,2.0748461047345756e-16
73,5566.7,2.1596248668167293e-16
74,5592.2,2.1345344194193718e-16
75,5617.8,1.8819824189904788e-16
76,5643.4,1.7977304881166696e-16
77,5668.9,1.8079934221505917e-16
78,5694.5,2.033602361974935e-16
79,5720.1,2.0518420887763044e-16
80,5745.7,2.2874241253582583e-16
81,5771.2,2.347303533835846e-16
82,5796.8,2.3630039797991043e-16
83,5822.4,2.183857121912858e-16
84,5847.9,2.1336315249749655e-16
85,5873.5,1.9572485617914628e-16
86,5899.1,1.7521922825621814e-16
87,5924.7,1.818058431654915e-16
88,5950.2,1.6573248759106054e-16
89,5975.8,1.6146194560150024e-16
90,6001.4,1.7716512211854958e-16
91,6026.9,1.9423258186075367e-16
92,6052.5,2.042465615181544e-16
93,6078.1,2.1436325535897596e-16
94,6103.7,2.1917227091394242e-16
95,6129.2,2.3018826447943736e-16
96,6154.8,2.1497874090632828e-16
97,6180.4,1.911729454247127e-16
98,6205.9,1.8163567232433204e-16
99,6231.5,1.3872111984002952e-16
100,6257.1,1.295738599728215e-16
101,6282.6,1.0985025541718559e-16
102,6308.2,9.128531503045034e-17
103,6333.8,9.482128674248578e-17
104,6359.4,1.186090921916465e-16
105,6384.9,1.1944915066194258e-16
106,6410.5,1.2908393938470427e-16
107,6436.1,1.5742926310286075e-16
108,6461.6,1.9087365849013383e-16
109,6487.2,1.8459715614641137e-16
110,6512.8,1.9815547850037695e-16
111,6538.4,2.074834245189329e-16
112,6563.9,2.1167896729354338e-16
113,6589.5,2.084759622900422e-16
114,6615.1,1.9106891611950083e-16
115,6640.6,1.8424811224128831e-16
116,6666.2,1.8174911783902121e-16
117,6691.8,1.768706685938067e-16
118,6717.4,1.7188482586943788e-16
119,6742.9,1.6894508607673103e-16
120,6768.5,1.675938306734648e-16
121,6794.1,1.6488612288250986e-16
122,6819.6,1.6365234295370975e-16
123,6845.2,1.6569735406560737e-16
124,6870.8,1.6536759363046598e-16
125,6896.3,1.6447408892089024e-16
126,6921.9,1.7136537288327774e-16
127,6947.5,1.4961095509747225e-16
128,6973.1,1.293484887557328e-16
129,6998.6,1.290422670693817e-16
130,7024.2,1.2929867211251302e-16
131,7049.8,1.3067926610702652e-16
132,7075.3,1.2846187298411724e-16
133,7100.9,1.2658382487274441e-16
134,7126.5,1.2313658687665842e-16
135,7152.1,1.2204935669451158e-16
