,wl,fl
0,3700.0,9.597161368327509e-17
1,3725.6,1.1057541523521873e-16
2,3751.1,9.849461510874229e-17
3,3776.7,4.0899510299508207e-22
4,3802.3,1.996013796515855e-25
5,3827.9,9.017414788922612e-18
6,3853.4,4.3200435286326175e-22
7,3879.0,1.3191937159859335e-18
8,3904.6,2.4323116088838543e-17
9,3930.1,9.069592487430536e-17
10,3955.7,8.656579039409852e-17
11,3981.3,5.960704082388457e-17
12,4006.8,1.3363941566808676e-16
13,4032.4,1.1845296431120895e-16
14,4058.0,1.8099332686337296e-16
15,4083.6,1.8756348827358264e-16
16,4109.1,2.1914398744446115e-16
17,4134.7,2.3116052920977875e-16
18,4160.3,1.815099251657399e-16
19,4185.8,1.7504783644814056e-16
20,4211.4,1.812908947591581e-16
21,4237.0,1.8417132271511875e-16
22,4262.6,2.0656215446694527e-16
23,4288.1,2.1205377513565378e-16
24,4313.7,1.9825080662992682e-16
25,4339.3,2.0206380873583943e-16
26,4364.8,1.8282485623679838e-16
27,4390.4,1.84126493303199e-16
28,4416.0,1.8270501501758043e-16
29,4441.6,1.5930430135785263e-16
30,4467.1,1.6657684123865553e-16
31,4492.7,1.3367834427067234e-16
32,4518.3,1.4963359615312785e-16
33,4543.8,1.3338307875735161e-16
34,4569.4,1.645854890332535e-16
35,4595.0,1.551312741226004e-16
36,4620.5,1.5508254571753605e-16
37,4646.1,1.5378127061792162e-16
38,4671.7,1.6490100830447586e-16
39,4697.3,1.7225831774440173e-16
40,4722.8,1.6699110095906857e-16
41,4748.4,1.845632085490195e-16
42,4774.0,1.5250624858424553e-16
43,4799.5,1.5392082288589396e-16
44,4825.1,1.734626047375062e-16
45,4850.7,1.551866475512936e-16
46,4876.3,1.4556382400383036e-16
47,4901.8,1.3126284375383539e-16
48,4927.4,1.4371501888335278e-16
49,4953.0,1.343130712938842e-16
50,4978.5,1.2210851591235957e-16
51,5004.1,1.3725841267722638e-16
52,5029.7,1.3763916484111627e-16
53,5055.3,1.2638002421601104e-16
54,5080.8,1.0361441154709789e-16
55,5106.4,1.0897020992184286e-16
56,5132.0,1.030036425307697e-16
57,5157.5,1.1078761916025433e-16
58,5183.1,1.1148867494464462e-16
59,5208.7,1.2516276573022768e-16
60,5234.2,1.2638006046821526e-16
61,5259.8,1.3008688157847668e-16
62,5285.4,1.3182198035473268e-16
63,5311.0,1.2194317611926853e-16
64,5336.5,1.3746859823540848e-16
65,5362.1,1.3256884716163307e-16
66,5387.7,1.345110790257912e-16
67,5413.2,1.3655668690873891e-16
68,5438.8,1.4025923888164582e-16
69,5464.4,1.3287891561280653e-16
70,5490.0,1.3803127041367594e-16
71,5515.5,1.150219944723073e-16
72,5541.1,1.0073707653638429e-16
73,5566.7,1.0763218927103167e-16
74,5592.2,1.1806400509155922e-16
75,5617.8,1.1142211488644715e-16
76,5643.4,1.1864351217347252e-16
77,5668.9,1.0910865928483902e-16
78,5694.5,1.036099212500517e-16
79,5720.1,9.91987940825089e-17
80,5745.7,1.0471274342640698e-16
81,5771.2,1.1079360090245319e-16
82,5796.8,1.1924935269693504e-16
83,5822.4,1.285291685352151e-16
