,wl,fl
0,3700.0,1.4615015200767784e-16
1,3725.6,1.3228116885591162e-16
2,3751.1,9.107149347953847e-17
3,3776.7,1.156776186953789e-16
4,3802.3,1.032038141053808e-16
5,3827.9,8.422990725541447e-17
6,3853.4,1.0522486804811501e-16
7,3879.0,1.2011777253796206e-16
8,3904.6,1.1388492981889944e-16
9,3930.1,8.699670667599778e-17
10,3955.7,9.172131923770894e-17
11,3981.3,1.4131022324717077e-16
12,4006.8,1.6727951372693732e-16
13,4032.4,1.7079457875928605e-16
14,4058.0,1.7276004507347878e-16
15,4083.6,1.4348903473534675e-16
16,4109.1,1.3779092885146933e-16
17,4134.7,1.5264276097080045e-16
18,4160.3,1.7441958115682858e-16
19,4185.8,1.7423717401856901e-16
20,4211.4,1.889979332744317e-16
21,4237.0,1.9972824403385633e-16
22,4262.6,1.7954964920651197e-16
23,4288.1,1.6023508945246744e-16
24,4313.7,1.6650477526371235e-16
25,4339.3,1.3507109332847927e-16
26,4364.8,1.4544599236240053e-16
27,4390.4,1.247311853139972e-16
28,4416.0,1.1388462533569273e-16
29,4441.6,9.539402185113526e-17
30,4467.1,1.0462575707919335e-16
31,4492.7,1.2825578940122692e-16
32,4518.3,9.336358055843693e-17
33,4543.8,1.2240928859417414e-16
34,4569.4,1.199598220798472e-16
35,4595.0,1.3488333455337883e-16
36,4620.5,1.308089261002091e-16
37,4646.1,1.2304643381045887e-16
38,4671.7,1.2961288395106437e-16
39,4697.3,1.2832675070489132e-16
40,4722.8,1.2186188806165072e-16
41,4748.4,1.3244059359367565e-16
42,4774.0,1.184000460171346e-16
43,4799.5,1.0985529435008856e-16
44,4825.1,1.1305325857876903e-16
45,4850.7,1.0393640559118102e-16
46,4876.3,1.060945591168942e-16
47,4901.8,1.0161491601159016e-16
48,4927.4,1.0369388837503031e-16
49,4953.0,1.0016331909013932e-16
50,4978.5,9.06733914776744e-17
51,5004.1,9.2475401125806e-17
52,5029.7,9.812536714877672e-17
53,5055.3,9.194273799221099e-17
54,5080.8,9.80981641512017e-17
55,5106.4,9.776824150581569e-17
56,5132.0,1.1161963573526118e-16
57,5157.5,1.1132784476976648e-16
58,5183.1,1.206043183436476e-16
59,5208.7,1.09548574500292e-16
60,5234.2,1.0953481250289954e-16
61,5259.8,1.0506610428761505e-16
62,5285.4,1.0402949768268333e-16
63,5311.0,1.0811149571826812e-16
64,5336.5,1.0430070922660388e-16
65,5362.1,9.795857941844866e-17
66,5387.7,8.941721701841362e-17
67,5413.2,8.926788611011786e-17
68,5438.8,8.333421736627372e-17
69,5464.4,8.09747155813546e-17
70,5490.0,8.296925070077097e-17
71,5515.5,7.91880202468063e-17
72,5541.1,8.315864019205524e-17
73,5566.7,8.323172468017514e-17
74,5592.2,7.366194623032738e-17
75,5617.8,6.333062310483174e-17
76,5643.4,7.316151606322578e-17
77,5668.9,7.657879693962541e-17
78,5694.5,9.012870141242265e-17
79,5720.1,8.788687558843673e-17
80,5745.7,9.282270200317622e-17
81,5771.2,8.569104351532865e-17
82,5796.8,9.122660853908333e-17
83,5822.4,8.713910849150253e-17
84,5847.9,8.480735805731642e-17
85,5873.5,8.291298071594196e-17
86,5899.1,6.914576056623134e-17
87,5924.7,6.492392448238143e-17
88,5950.2,6.777347104523061e-17
89,5975.8,7.524747279627824e-17
90,6001.4,7.638840926166719e-17
91,6026.9,7.997327213831165e-17
92,6052.5,9.007426397569112e-17
93,6078.1,9.333842641234394e-17
94,6103.7,9.405874037388103e-17
95,6129.2,9.215034325631023e-17
96,6154.8,8.95454575495014e-17
97,6180.4,8.958024987565174e-17
98,6205.9,7.549528245285264e-17
99,6231.5,6.39031693699289e-17
100,6257.1,4.9578214279528735e-17
101,6282.6,4.024339246557593e-17
102,6308.2,4.214788202976995e-17
103,6333.8,4.419426594115899e-17
104,6359.4,5.4653863315647465e-17
105,6384.9,6.022495400539262e-17
106,6410.5,7.032544107564473e-17
107,6436.1,7.651266244591716e-17
108,6461.6,7.763478924479276e-17
109,6487.2,8.438589658570425e-17
110,6512.8,8.900531376111365e-17
111,6538.4,8.779740172633897e-17
112,6563.9,9.295028725115612e-17
113,6589.5,8.986108066094729e-17
114,6615.1,8.358688951481294e-17
115,6640.6,8.665793066680458e-17
116,6666.2,8.904505917569591e-17
117,6691.8,9.03761364450671e-17
118,6717.4,1.123557018507226e-16
119,6742.9,1.3950265625825305e-16
120,6768.5,1.465635910431843e-16
121,6794.1,1.3071768498561047e-16
122,6819.6,1.0314601864060279e-16
123,6845.2,8.928324507357847e-17
124,6870.8,8.508398746472954e-17
125,6896.3,8.340418983440918e-17
126,6921.9,8.231606565530023e-17
127,6947.5,7.520830913166486e-17
128,6973.1,6.433915801839748e-17
129,6998.6,6.394913523046771e-17
130,7024.2,6.336292055934032e-17
131,7049.8,6.428230425574923e-17
132,7075.3,6.826419992268752e-17
133,7100.9,6.549745614712191e-17
134,7126.5,6.419268348892089e-17
135,7152.1,6.47179722341226e-17
136,7177.6,6.326251733885452e-17
137,7203.2,6.515809166328255e-17
138,7228.8,6.502989417006711e-17
139,7254.3,6.303299251997537e-17
140,7279.9,6.14613986894425e-17
141,7305.5,6.145449640294554e-17
142,7331.1,6.307520946850338e-17
143,7356.6,6.417394517305612e-17
144,7382.2,6.134723979361544e-17
145,7407.8,6.261903681826713e-17
146,7433.3,6.252513105346904e-17
147,7458.9,5.752722631847435e-17
148,7484.5,5.825806491846234e-17
149,7510.0,5.849084690351753e-17
150,7535.6,5.365315881675013e-17
151,7561.2,5.0602894975902026e-17
