,wl,fl
0,3700.0,7.520760454774483e-17
1,3725.6,6.018467869005474e-17
2,3751.1,1.787056551559827e-17
3,3776.7,1.5612163292234614e-22
4,3802.3,1.2217598417104974e-17
5,3827.9,2.1630498459366798e-17
6,3853.4,6.254729816412519e-17
7,3879.0,3.659673263561882e-17
8,3904.6,8.854058726729476e-17
9,3930.1,7.828457060992731e-17
10,3955.7,1.1058679626090218e-16
11,3981.3,1.1407395929167807e-16
12,4006.8,1.4052555837962702e-16
13,4032.4,1.6741009285634292e-16
14,4058.0,1.695049941770277e-16
15,4083.6,1.5738062851791758e-16
16,4109.1,1.3685673636484875e-16
17,4134.7,1.4769782100641803e-16
18,4160.3,1.4409090718394409e-16
19,4185.8,1.3955814386833925e-16
20,4211.4,1.8515222625246907e-16
21,4237.0,1.708542552302165e-16
22,4262.6,1.6961094045260023e-16
23,4288.1,1.580860813545054e-16
24,4313.7,1.293352131615646e-16
25,4339.3,1.4332104907158614e-16
26,4364.8,1.307846562070726e-16
27,4390.4,1.1943553901884162e-16
28,4416.0,9.396394387502745e-17
29,4441.6,9.181156365272694e-17
30,4467.1,9.680771517471751e-17
31,4492.7,1.328489173273146e-16
32,4518.3,1.116401923141742e-16
33,4543.8,1.3548090030962314e-16
34,4569.4,1.2752043305713686e-16
35,4595.0,1.479561986034434e-16
36,4620.5,1.42154182895557e-16
37,4646.1,1.607910309014433e-16
38,4671.7,1.2610091132829982e-16
39,4697.3,1.462297515940167e-16
40,4722.8,1.2587446112266034e-16
41,4748.4,1.435694452575477e-16
42,4774.0,1.1295157896372e-16
43,4799.5,1.049878728476936e-16
44,4825.1,8.93748261861964e-17
45,4850.7,7.952590876610872e-17
46,4876.3,9.782865062409046e-17
47,4901.8,9.282781667946335e-17
48,4927.4,9.321892264243629e-17
49,4953.0,9.527354022644761e-17
50,4978.5,1.0655007743660635e-16
51,5004.1,8.313544755636232e-17
52,5029.7,8.531033501181386e-17
53,5055.3,8.404692688272764e-17
54,5080.8,9.691881551928725e-17
55,5106.4,9.976188756097558e-17
56,5132.0,9.87890599546539e-17
57,5157.5,1.1990206331698159e-16
58,5183.1,1.1098507999853838e-16
59,5208.7,1.1559957213887917e-16
60,5234.2,1.2256430047156698e-16
61,5259.8,1.3755951604444834e-16
62,5285.4,1.3695567796506777e-16
63,5311.0,1.3246105566254617e-16
64,5336.5,1.3355966593141956e-16
65,5362.1,1.4151961778327615e-16
66,5387.7,1.2684658131082443e-16
67,5413.2,1.322047913481277e-16
68,5438.8,9.626817509233091e-17
69,5464.4,1.0340924977313635e-16
70,5490.0,9.620994843325442e-17
71,5515.5,1.0365712053401617e-16
72,5541.1,1.12227165833273e-16
73,5566.7,9.962067669011878e-17
74,5592.2,1.170798169127563e-16
75,5617.8,9.580397392680559e-17
76,5643.4,9.986925664919719e-17
77,5668.9,1.0158191631125585e-16
78,5694.5,1.2495255650678711e-16
79,5720.1,1.2166317215457818e-16
80,5745.7,1.3077512417741127e-16
81,5771.2,1.3531517574884513e-16
82,5796.8,1.2945861878178672e-16
83,5822.4,1.3993898309972236e-16
84,5847.9,1.3674816777053604e-16
85,5873.5,1.280105968235255e-16
86,5899.1,1.283731390194996e-16
87,5924.7,1.2330695331177915e-16
88,5950.2,1.238275699312593e-16
89,5975.8,1.1894273416146035e-16
90,6001.4,1.1072943170491661e-16
91,6026.9,1.222265283514826e-16
92,6052.5,1.2616951252191108e-16
93,6078.1,1.3154428904971656e-16
94,6103.7,1.1761630870956013e-16
95,6129.2,1.0710308693182856e-16
96,6154.8,1.0478420205453961e-16
97,6180.4,9.990281878191592e-17
98,6205.9,8.468471015504186e-17
99,6231.5,7.526923396317463e-17
100,6257.1,7.407458775525823e-17
101,6282.6,7.206349795289014e-17
