,wl,fl
0,3700.0,1.1629044798186922e-15
1,3725.6,8.07629863719736e-16
2,3751.1,5.5571692025852505e-16
3,3776.7,4.97450290742956e-16
4,3802.3,3.614982318668457e-16
5,3827.9,6.381575973500825e-16
6,3853.4,6.766653502886752e-16
7,3879.0,5.136016488589193e-16
8,3904.6,7.21994372900437e-16
9,3930.1,4.918906852885416e-16
10,3955.7,4.964422885338962e-16
11,3981.3,7.5960731993178495e-16
12,4006.8,5.97326540575881e-16
13,4032.4,4.1967871191971977e-16
14,4058.0,3.107830478805077e-16
15,4083.6,3.683737059558065e-16
16,4109.1,3.693966615134556e-16
17,4134.7,3.7621501775207344e-16
18,4160.3,3.5736827977676596e-16
19,4185.8,2.9808425072326882e-16
20,4211.4,3.8503741701906544e-16
21,4237.0,4.3513838480159157e-16
22,4262.6,3.42141348778927e-16
23,4288.1,4.531557442337728e-16
24,4313.7,6.033530011169763e-16
25,4339.3,4.931766429477267e-16
26,4364.8,5.011799762934784e-16
27,4390.4,4.144592631921728e-16
28,4416.0,4.143701962445555e-16
29,4441.6,3.856586896444089e-16
30,4467.1,3.1096559153569353e-16
31,4492.7,2.6397796360424515e-16
32,4518.3,2.3740517172099456e-16
33,4543.8,2.8537262454248795e-16
34,4569.4,2.882243158300538e-16
35,4595.0,3.0875387407195803e-16
36,4620.5,2.862583877593035e-16
37,4646.1,2.80702572232497e-16
38,4671.7,2.7345113423523917e-16
39,4697.3,3.201079401345746e-16
40,4722.8,3.381401471852933e-16
41,4748.4,3.510591856441605e-16
42,4774.0,3.822310546196188e-16
43,4799.5,3.4396967056873475e-16
44,4825.1,3.0096763942148e-16
45,4850.7,2.6160824819450895e-16
46,4876.3,2.8556449385651385e-16
47,4901.8,2.627760952565333e-16
48,4927.4,2.224246558828563e-16
49,4953.0,2.1820951585449493e-16
50,4978.5,2.23947735549048e-16
51,5004.1,2.0069457461441978e-16
52,5029.7,1.7280657581650507e-16
53,5055.3,1.7327252010158215e-16
54,5080.8,1.1741146988748598e-16
55,5106.4,1.4853523527727848e-16
56,5132.0,1.7731485703026546e-16
57,5157.5,1.6828139834528745e-16
58,5183.1,1.7666826100864597e-16
59,5208.7,1.6922526153020766e-16
60,5234.2,1.8077249937967417e-16
61,5259.8,2.179337876118716e-16
62,5285.4,2.080636046615756e-16
63,5311.0,2.1843158519960401e-16
64,5336.5,2.404871926953759e-16
65,5362.1,2.580023715106624e-16
66,5387.7,2.227650092387939e-16
67,5413.2,2.448033015847826e-16
68,5438.8,2.349492448943881e-16
69,5464.4,2.1963196477112142e-16
70,5490.0,2.194669431836402e-16
71,5515.5,1.9932826849540307e-16
72,5541.1,1.5303019872480406e-16
73,5566.7,1.889262778269915e-16
