,wl,fl
0,3700.0,5.215742230568143e-16
1,3725.6,2.7225668811819515e-16
2,3751.1,5.625682151227525e-16
3,3776.7,4.267054452178872e-16
4,3802.3,7.725511788303662e-16
5,3827.9,1.1386234061634765e-15
6,3853.4,1.1354053812403423e-15
7,3879.0,1.1044921515453426e-15
8,3904.6,1.1894960731104565e-15
9,3930.1,7.458155300377953e-16
10,3955.7,9.137943835862522e-16
11,3981.3,5.181248414580208e-16
12,4006.8,5.91975409340684e-16
13,4032.4,5.786102155841852e-16
14,4058.0,8.779090674675223e-16
15,4083.6,9.03724712208281e-16
16,4109.1,9.778612012681754e-16
17,4134.7,9.924562718846668e-16
18,4160.3,1.0449768401833153e-15
19,4185.8,1.0231662146625968e-15
20,4211.4,1.0589014757773383e-15
21,4237.0,9.977643742024871e-16
22,4262.6,1.0523261456286933e-15
23,4288.1,1.108245476039496e-15
24,4313.7,8.400573238662125e-16
25,4339.3,9.062906555403317e-16
26,4364.8,1.0046915647195742e-15
27,4390.4,8.660200540220526e-16
28,4416.0,8.439522681997908e-16
29,4441.6,8.493760861837621e-16
30,4467.1,7.909267022621134e-16
31,4492.7,8.037766914662022e-16
32,4518.3,7.770187518957723e-16
33,4543.8,8.860874325526075e-16
34,4569.4,9.139751496640947e-16
35,4595.0,9.003596051150194e-16
36,4620.5,9.595881499735815e-16
37,4646.1,9.950174899917736e-16
38,4671.7,1.0358710682164766e-15
39,4697.3,1.0807190526984607e-15
40,4722.8,1.0501015297279564e-15
41,4748.4,1.0656817683196114e-15
42,4774.0,1.1084748196215721e-15
43,4799.5,1.0829292971743487e-15
44,4825.1,1.1225572698395857e-15
45,4850.7,1.0910052547989945e-15
46,4876.3,1.1093478134760193e-15
47,4901.8,1.0480270486956273e-15
48,4927.4,1.0862234908239462e-15
49,4953.0,1.1136190993630137e-15
50,4978.5,1.1117178420445319e-15
51,5004.1,1.0622206816958403e-15
52,5029.7,1.0836657430176739e-15
53,5055.3,1.0028416335253855e-15
54,5080.8,9.653755049500558e-16
55,5106.4,9.171405585847183e-16
56,5132.0,9.573759895345379e-16
57,5157.5,9.896822353570216e-16
58,5183.1,1.0145934558707679e-15
59,5208.7,9.427396029527189e-16
60,5234.2,9.348044260796616e-16
61,5259.8,9.015955185521715e-16
62,5285.4,9.174088707131916e-16
63,5311.0,9.515629141038813e-16
64,5336.5,9.30080064160639e-16
65,5362.1,9.172510044263787e-16
66,5387.7,8.636213201228182e-16
67,5413.2,8.107727700077297e-16
68,5438.8,8.768531898447503e-16
69,5464.4,9.173433913879014e-16
70,5490.0,9.35392806717744e-16
71,5515.5,9.611646169964671e-16
72,5541.1,9.56138095737659e-16
73,5566.7,9.669406550884522e-16
74,5592.2,1.013381928823779e-15
75,5617.8,1.0026561482618011e-15
76,5643.4,9.694162948412439e-16
77,5668.9,9.254671500596672e-16
78,5694.5,9.28537690983146e-16
79,5720.1,9.3466967710342e-16
80,5745.7,9.350065622983719e-16
81,5771.2,9.703385391490863e-16
82,5796.8,9.506096796675128e-16
83,5822.4,9.815549238611979e-16
84,5847.9,9.998575189878996e-16
85,5873.5,9.447932408216962e-16
86,5899.1,9.619147618644304e-16
87,5924.7,9.71771765400692e-16
88,5950.2,9.504201977582075e-16
89,5975.8,9.427745596489617e-16
90,6001.4,9.094738685814654e-16
91,6026.9,8.934617945087033e-16
