,wl,fl
0,3700.0,7.750041189040865e-17
1,3725.6,3.760816121904834e-16
2,3751.1,4.842566938281097e-16
3,3776.7,3.404225347487642e-16
4,3802.3,4.929228676461421e-16
5,3827.9,4.749925971100748e-16
6,3853.4,3.793106666397932e-16
7,3879.0,3.3362039436016963e-16
8,3904.6,2.759468231709998e-16
9,3930.1,3.79876524933392e-16
10,3955.7,2.2739128352497333e-16
11,3981.3,2.4929709313660696e-16
12,4006.8,4.576645803738112e-16
13,4032.4,5.134962606891375e-16
14,4058.0,6.376666026821309e-16
15,4083.6,6.824544533964324e-16
16,4109.1,6.840130308145624e-16
17,4134.7,5.616316446875142e-16
18,4160.3,5.450757512673112e-16
19,4185.8,4.963864632315638e-16
20,4211.4,5.350204262604062e-16
21,4237.0,6.356270383756119e-16
22,4262.6,6.981187827243047e-16
23,4288.1,7.427241783737485e-16
24,4313.7,7.258857654052398e-16
25,4339.3,7.096598538557914e-16
26,4364.8,6.381447078813812e-16
27,4390.4,6.15432586107971e-16
28,4416.0,4.968047663508164e-16
29,4441.6,4.0560515351882296e-16
30,4467.1,3.759947442475694e-16
31,4492.7,3.3482039314412757e-16
32,4518.3,4.041561303619232e-16
33,4543.8,4.1076658956883475e-16
34,4569.4,4.09781771379682e-16
35,4595.0,4.470585738035078e-16
36,4620.5,4.489021208367505e-16
37,4646.1,4.711859623443992e-16
38,4671.7,4.666363475170414e-16
39,4697.3,5.754451067059697e-16
40,4722.8,5.757430593841803e-16
41,4748.4,5.848529324323043e-16
42,4774.0,5.806749493055345e-16
43,4799.5,5.402869626867949e-16
44,4825.1,5.393297503268781e-16
45,4850.7,4.664948062126465e-16
46,4876.3,4.368278752004262e-16
47,4901.8,4.034407303886221e-16
48,4927.4,3.8749029223555865e-16
49,4953.0,3.83201680440249e-16
50,4978.5,3.4534159824722045e-16
51,5004.1,3.3455799002104437e-16
52,5029.7,2.9197525940450604e-16
53,5055.3,2.1493006220970583e-16
54,5080.8,2.0079524602954093e-16
55,5106.4,2.1927413367480569e-16
56,5132.0,2.1807318642828301e-16
57,5157.5,2.4543126003937643e-16
58,5183.1,2.770681628312235e-16
59,5208.7,2.607210839821484e-16
60,5234.2,2.83850192712507e-16
61,5259.8,2.8284823440342347e-16
62,5285.4,3.05676327437083e-16
63,5311.0,3.1562423952646185e-16
64,5336.5,3.4804173122984013e-16
65,5362.1,3.1775453100446705e-16
66,5387.7,3.379413334267118e-16
67,5413.2,3.2720805467125035e-16
68,5438.8,3.0463539823517473e-16
69,5464.4,3.0486826030523916e-16
70,5490.0,2.5655216154708196e-16
71,5515.5,2.2056238611731716e-16
72,5541.1,2.1406369056142703e-16
73,5566.7,2.309904954203837e-16
74,5592.2,2.3890007260248707e-16
75,5617.8,2.2787796233880514e-16
76,5643.4,2.1471039347610485e-16
77,5668.9,2.110887130247606e-16
78,5694.5,1.9335036293350366e-16
79,5720.1,1.941525655854586e-16
80,5745.7,2.011976397204317e-16
81,5771.2,2.2430605310264793e-16
82,5796.8,2.6873986253933727e-16
83,5822.4,2.6912699360226656e-16
84,5847.9,2.781664841923426e-16
85,5873.5,2.818531025099198e-16
86,5899.1,2.700190881935128e-16
87,5924.7,2.6984315214278686e-16
88,5950.2,2.4075889532362737e-16
89,5975.8,1.8819580558339251e-16
90,6001.4,1.7960708838648982e-16
91,6026.9,1.8543448623313306e-16
92,6052.5,1.903899801318221e-16
93,6078.1,1.9774399815887561e-16
94,6103.7,2.314362693082433e-16
95,6129.2,2.360158098380708e-16
96,6154.8,2.527296382815732e-16
97,6180.4,2.5796676185091565e-16
98,6205.9,2.413631215647166e-16
99,6231.5,2.2115614992663796e-16
100,6257.1,1.920300510290594e-16
101,6282.6,1.4617908169371437e-16
102,6308.2,1.1615785539326105e-16
103,6333.8,8.842445629928172e-17
104,6359.4,7.99584339617243e-17
105,6384.9,8.986226399943853e-17
106,6410.5,7.902857828267712e-17
107,6436.1,1.0418949626047982e-16
108,6461.6,1.2198110881310513e-16
109,6487.2,1.4464446287512797e-16
110,6512.8,1.679146810400607e-16
111,6538.4,1.8724902848560943e-16
112,6563.9,2.0156464145325794e-16
113,6589.5,2.2092428520446362e-16
114,6615.1,2.356911136805101e-16
115,6640.6,2.312140092459914e-16
116,6666.2,2.2921338850334633e-16
117,6691.8,2.306361688974966e-16
118,6717.4,2.252287696905199e-16
119,6742.9,2.1288785617708335e-16
120,6768.5,1.9908620545090687e-16
121,6794.1,1.9796253610784682e-16
122,6819.6,2.0145532639527682e-16
123,6845.2,1.9789202857296455e-16
124,6870.8,2.0880972338740683e-16
125,6896.3,2.225297854634181e-16
126,6921.9,2.104545262335017e-16
127,6947.5,1.7297465297562e-16
128,6973.1,1.4636281459008313e-16
129,6998.6,1.4640414724143877e-16
130,7024.2,1.5099941400660937e-16
131,7049.8,1.4634942539992478e-16
132,7075.3,1.205840671043833e-16
133,7100.9,1.3389175668746915e-16
134,7126.5,1.3607944883036477e-16
135,7152.1,1.298978620744244e-16
136,7177.6,1.2171839244322655e-16
137,7203.2,1.2779687152941337e-16
138,7228.8,1.282985858600036e-16
139,7254.3,9.633850001477601e-17
140,7279.9,1.1518301250434813e-16
141,7305.5,1.1659687759834695e-16
142,7331.1,1.0730222284314439e-16
143,7356.6,1.111006952376916e-16
144,7382.2,1.2311895786860288e-16
145,7407.8,1.1720770748135395e-16
146,7433.3,1.088977938670836e-16
147,7458.9,1.0972040043833755e-16
148,7484.5,1.1491775915387685e-16
149,7510.0,1.1112447706063667e-16
150,7535.6,1.0596557921753702e-16
151,7561.2,1.0567252154183832e-16
152,7586.8,1.0046037738016327e-16
153,7612.3,9.213640644902276e-17
154,7637.9,8.627708813735629e-17
155,7663.5,8.36063509749375e-17
156,7689.0,7.632453094611592e-17
157,7714.6,6.671311650599695e-17
158,7740.2,5.885018176483231e-17
159,7765.8,5.83002957988326e-17
160,7791.3,5.805959082448097e-17
161,7816.9,5.615910356386973e-17
162,7842.5,5.619023477403849e-17
163,7868.0,6.069157866594972e-17
164,7893.6,6.346298593510643e-17
165,7919.2,6.495688049721235e-17
166,7944.7,7.291308187360116e-17
167,7970.3,8.066892487955234e-17
168,7995.9,8.013518555996402e-17
169,8021.5,8.275936593075819e-17
170,8047.0,8.914612201261925e-17
171,8072.6,8.990081254103208e-17
172,8098.2,8.70464900771012e-17
173,8123.7,8.805490098855235e-17
174,8149.3,9.056494519808726e-17
175,8174.9,9.119117812187715e-17
176,8200.5,8.785383657861262e-17
177,8226.0,8.661161428004159e-17
178,8251.6,8.85397007178433e-17
179,8277.2,9.112337805196441e-17
180,8302.7,8.34934244245287e-17
181,8328.3,7.276712728010947e-17
182,8353.9,7.426023503557063e-17
