,wl,fl
0,3700.0,5.519773956346911e-16
1,3725.6,1.2920606482013352e-15
2,3751.1,1.6262269989346238e-15
3,3776.7,1.3640554478949682e-15
4,3802.3,7.050829678958991e-16
5,3827.9,1.2798009380976482e-15
6,3853.4,9.108149991421974e-16
7,3879.0,7.925509854147149e-16
8,3904.6,8.5907973251349e-16
9,3930.1,7.629753766569824e-16
10,3955.7,8.253196978174855e-16
11,3981.3,8.733405661059721e-16
12,4006.8,8.236188553006221e-16
13,4032.4,6.542479905474549e-16
14,4058.0,7.606879649464006e-16
15,4083.6,7.469231237687595e-16
16,4109.1,6.939922329533978e-16
17,4134.7,5.829174665737759e-16
18,4160.3,4.703125700727518e-16
19,4185.8,5.818030518434873e-16
20,4211.4,6.1132859935079e-16
21,4237.0,4.500136217565902e-16
22,4262.6,4.267900243023616e-16
23,4288.1,5.628923642032364e-16
24,4313.7,3.9816518777502605e-16
25,4339.3,4.034855356370721e-16
26,4364.8,4.15520376227686e-16
27,4390.4,4.242563712272887e-16
28,4416.0,4.636062028214672e-16
29,4441.6,4.0627336629233e-16
30,4467.1,4.865128983778864e-16
31,4492.7,5.195603227937353e-16
32,4518.3,4.704139424122631e-16
33,4543.8,5.587742705397295e-16
34,4569.4,5.042710829548208e-16
35,4595.0,3.506181502042136e-16
36,4620.5,3.8977604323742527e-16
37,4646.1,3.60165914723466e-16
38,4671.7,3.4565056313480673e-16
39,4697.3,2.646725112636421e-16
40,4722.8,3.6465868995594003e-16
41,4748.4,3.0915713455427855e-16
42,4774.0,3.0414027298058496e-16
43,4799.5,2.441390897039241e-16
44,4825.1,2.1227587762718688e-16
45,4850.7,2.304029225806364e-16
46,4876.3,3.1931125244546124e-16
47,4901.8,2.0980802483425422e-16
48,4927.4,2.2122173047630076e-16
49,4953.0,2.2055559041224923e-16
50,4978.5,2.256626036315771e-16
51,5004.1,2.402113954325495e-16
52,5029.7,2.0811167138265006e-16
53,5055.3,2.670810751507543e-16
54,5080.8,2.2802954376688095e-16
55,5106.4,2.1267596170278567e-16
56,5132.0,2.280203844057135e-16
57,5157.5,1.9414711615055152e-16
58,5183.1,2.0490865229166312e-16
59,5208.7,2.2260751841457746e-16
60,5234.2,1.866080242378915e-16
61,5259.8,2.456790753952813e-16
62,5285.4,2.1840483158596312e-16
63,5311.0,1.8946476503255928e-16
64,5336.5,1.8647235858564277e-16
65,5362.1,1.9068265308511121e-16
66,5387.7,1.3501226670397267e-16
67,5413.2,1.339228595348451e-16
68,5438.8,1.9833266044203175e-16
69,5464.4,1.3319256647301397e-16
70,5490.0,1.820883777858689e-16
71,5515.5,1.840728286015922e-16
72,5541.1,1.7882868915358884e-16
73,5566.7,1.4874610883439997e-16
74,5592.2,2.021913951896894e-16
75,5617.8,2.2333505762336917e-16
76,5643.4,2.0578850382893703e-16
77,5668.9,1.9430088315073056e-16
78,5694.5,1.934960678038379e-16
79,5720.1,2.1262251002692169e-16
80,5745.7,1.6926150643147428e-16
81,5771.2,1.6562132990718773e-16
82,5796.8,1.6040500944893704e-16
83,5822.4,1.524667946587948e-16
84,5847.9,1.2699092705796532e-16
85,5873.5,1.5006267785494967e-16
86,5899.1,1.3903110498474487e-16
87,5924.7,1.5055011145054528e-16
88,5950.2,1.8307409460102222e-16
89,5975.8,1.3642409687962401e-16
90,6001.4,1.5763767487456013e-16
91,6026.9,1.486894037076735e-16
92,6052.5,1.4787571272374534e-16
93,6078.1,1.1773788375661983e-16
94,6103.7,1.2875679771374096e-16
95,6129.2,1.1530532580158508e-16
96,6154.8,9.275700418987197e-17
97,6180.4,9.517548982886707e-17
