,wl,fl
0,3379.61,-9.428588393190842e-17
1,3382.14,7.09633687786325e-18
2,3384.67,8.132464715751146e-16
3,3387.2,6.971007535406363e-17
4,3389.73,5.14827915497801e-16
5,3392.26,-3.554329189751781e-17
6,3394.79,-1.8491202782174825e-16
7,3397.32,1.061673985561295e-17
8,3399.85,-9.113973614638546e-17
9,3402.38,3.4945094911783373e-16
10,3404.91,5.190889006493394e-17
11,3407.44,3.0989461628635096e-16
12,3409.97,1.9648048791895816e-16
13,3412.5,-2.0980547729924235e-16
14,3415.03,1.163131656567827e-16
15,3417.56,-2.6411846008558138e-17
16,3420.09,6.72188305307975e-17
17,3422.62,1.0516910392306624e-16
18,3425.15,1.637588032829537e-16
19,3427.68,3.250952563951793e-16
20,3430.21,-1.1037498270845896e-16
21,3432.74,-6.864069238187021e-17
22,3435.27,-3.349032813039853e-17
23,3437.8,5.627339448498149e-16
24,3440.33,6.27260395127803e-17
25,3442.86,5.350079054269921e-16
26,3445.39,5.115871249727965e-16
27,3447.92,6.768270649801265e-17
28,3450.45,2.8727927801895416e-16
29,3452.98,4.962123741234701e-16
30,3455.51,2.880084036513154e-16
31,3458.04,3.6692843876846354e-17
32,3460.57,1.592367545924835e-16
33,3463.1,2.589920798475142e-16
34,3465.63,4.395567991667821e-17
35,3468.16,8.52140240334241e-18
36,3470.69,1.4954999306565827e-16
37,3473.22,1.344636339842619e-16
38,3475.75,1.3691923849888452e-16
39,3478.28,2.0416307392826673e-16
40,3480.81,4.0771802837936337e-16
41,3483.34,2.4941829955757345e-16
42,3485.87,2.5942904124964514e-16
43,3488.4,1.6706436078433933e-16
44,3490.93,4.542296987361333e-17
45,3493.46,-4.32329995631232e-17
46,3495.99,4.0336142330480595e-16
47,3498.52,3.5415793267583024e-16
48,3501.04,3.43379585395057e-16
49,3503.57,3.68905670095489e-17
50,3506.1,1.802873764461936e-16
51,3508.63,1.5796023914420806e-17
52,3511.16,1.2563057751532185e-16
53,3513.69,4.239594222295727e-16
54,3516.22,2.1647164923289094e-16
55,3518.75,-8.616487075760642e-17
56,3521.28,3.99755817618606e-16
57,3523.81,2.4919075124922965e-16
58,3526.34,3.425546340256483e-16
59,3528.87,3.726349275572306e-16
60,3531.4,1.5516036438134261e-16
61,3533.93,3.745133266760288e-16
62,3536.46,2.242336576761272e-16
63,3538.99,1.1923128309589338e-16
64,3541.52,1.2556051206430827e-16
65,3544.05,1.95115154934772e-16
66,3546.58,1.561877433668353e-16
67,3549.11,2.650464044673068e-16
68,3551.64,1.5258526600020275e-17
69,3554.17,2.7885521414936875e-16
70,3556.7,3.6253380425614386e-16
71,3559.23,1.5234372706617247e-16
72,3561.76,1.1688893856826484e-16
73,3564.29,2.2278188452142806e-16
74,3566.82,3.3363236339735223e-16
75,3569.35,3.34624044645486e-16
76,3571.88,2.904255568667753e-16
77,3574.41,2.2313741255590705e-16
78,3576.94,2.356684291155099e-16
79,3579.47,2.734154960153014e-16
80,3582.0,1.7735695738382356e-16
81,3584.53,2.6734538365305446e-16
82,3587.06,3.417280940637049e-16
83,3589.59,2.334451659313528e-16
84,3592.12,1.5418320326240913e-16
85,3594.65,2.773496197718625e-16
86,3597.18,3.035429324633699e-16
87,3599.71,2.964501908033642e-16
88,3602.24,2.5804618817727112e-16
89,3604.77,4.611634793746063e-16
90,3607.3,1.5478472212421988e-16
91,3609.83,1.9015745238609643e-16
92,3612.36,2.4736387750222625e-16
93,3614.89,1.9347390561562659e-16
94,3617.42,1.1131792329274837e-16
95,3619.95,2.489144535145948e-18
96,3622.47,1.383984705845721e-16
97,3625.0,1.9415541424085136e-16
98,3627.53,2.0372586344763878e-16
99,3630.06,1.3658091320359904e-16
100,3632.59,3.3942025239310255e-16
101,3635.12,1.982133895552053e-16
102,3637.65,1.23372805717816e-16
103,3640.18,3.688618378381259e-16
104,3642.71,-1.3689577576203761e-17
105,3645.24,1.438527365506925e-16
106,3647.77,1.5585601701657653e-16
107,3650.3,-2.582431465452812e-17
108,3652.83,1.913306862614741e-16
109,3655.36,2.357608456206335e-16
110,3657.89,2.7306072922633405e-16
111,3660.42,3.006918325099603e-16
112,3662.95,1.8535808664651045e-16
113,3665.48,2.393364175420625e-16
114,3668.01,1.0594875380534208e-16
115,3670.54,2.305885982828379e-16
116,3673.07,1.3026517173860186e-16
117,3675.6,1.4301808127750105e-16
118,3678.13,1.2449764676881607e-16
119,3680.66,1.5393154677872301e-16
120,3683.19,2.3753193109570885e-16
121,3685.72,2.1681319163430272e-16
122,3688.25,1.7985211257388145e-16
123,3690.78,2.626366962841779e-16
124,3693.31,1.4869298619935302e-16
125,3695.84,3.201404982130341e-16
126,3698.37,1.2484836004361e-16
127,3700.9,2.81174831353082e-16
128,3703.43,1.470939516735539e-16
129,3705.96,1.2729976166566034e-16
130,3708.49,1.3764100519895678e-16
131,3711.02,9.22187792928035e-17
132,3713.55,1.6367334032602344e-16
133,3716.08,5.92916712643744e-17
134,3718.61,3.0555194272946506e-18
135,3721.14,1.601572470246303e-16
136,3723.67,1.716207284293072e-16
137,3726.2,-1.5495053312085416e-17
138,3728.73,7.22507650086035e-17
139,3731.26,1.9456497691023668e-16
140,3733.79,1.4585077387903405e-16
141,3736.32,8.210598565345395e-17
142,3738.85,-5.740546710951194e-17
143,3741.38,-3.5396615123994315e-17
144,3743.9,2.494182294919586e-16
145,3746.43,8.504447755791397e-17
146,3748.96,9.095615658055195e-17
147,3751.49,5.746096738924221e-17
148,3754.02,7.162784267857837e-17
149,3756.55,6.64963577576032e-17
150,3759.08,9.081850570540884e-17
151,3761.61,1.3245469718537987e-16
152,3764.14,9.191289770867224e-17
153,3766.67,2.151355338994127e-17
154,3769.2,4.833067672718858e-17
155,3771.73,2.8431887739121317e-17
156,3774.26,1.0081470155734485e-16
157,3776.79,1.1145080695304563e-16
158,3779.32,1.6670834885973043e-16
159,3781.85,-9.052155210489189e-17
160,3784.38,-7.105855022048299e-18
161,3786.91,1.338816695431599e-16
162,3789.44,9.650619762761098e-17
163,3791.97,1.5793302906803177e-16
164,3794.5,1.0722950454534737e-16
165,3797.03,1.535839480217527e-16
166,3799.56,5.358833209582972e-17
167,3802.09,6.540630988832055e-17
168,3804.62,2.732489349472225e-17
169,3807.15,1.078365631845144e-16
170,3809.68,1.8838206187876318e-16
171,3812.21,1.4673182167829782e-16
172,3814.74,8.886797330672993e-17
173,3817.27,1.0042983553988253e-16
174,3819.8,8.027024479994474e-17
