,wl,fl
0,3700.0,2.776592476595102e-15
1,3725.6,2.3829624313214366e-15
2,3751.1,2.073996647180952e-15
3,3776.7,1.1507620247903172e-15
4,3802.3,2.178943517691181e-15
5,3827.9,1.583134748682385e-15
6,3853.4,2.1761661622804544e-15
7,3879.0,2.0341386548294642e-15
8,3904.6,2.367639964350771e-15
9,3930.1,2.4959620218088124e-15
10,3955.7,2.711321118463512e-15
11,3981.3,3.1351968433008645e-15
12,4006.8,3.1618093646459755e-15
13,4032.4,2.8132129647195624e-15
14,4058.0,2.34323117177898e-15
15,4083.6,2.5712701485150226e-15
16,4109.1,2.2645016749058058e-15
17,4134.7,2.6553305435673166e-15
18,4160.3,2.762995860999704e-15
19,4185.8,2.422249543211413e-15
20,4211.4,2.7055890568529897e-15
21,4237.0,2.414584556476215e-15
22,4262.6,2.1411492271566923e-15
23,4288.1,1.9394556110838532e-15
24,4313.7,1.803794549611011e-15
25,4339.3,1.5573585164958377e-15
26,4364.8,1.3037583338278247e-15
27,4390.4,1.2535724692732806e-15
28,4416.0,1.1938458426365536e-15
29,4441.6,1.2451130885383856e-15
30,4467.1,1.5514533923911784e-15
31,4492.7,1.4746220808508298e-15
32,4518.3,1.4572914996626647e-15
33,4543.8,1.6149663186984012e-15
34,4569.4,1.6385933970921215e-15
35,4595.0,1.5796656455858514e-15
36,4620.5,1.5584097041624804e-15
37,4646.1,1.3830551109051687e-15
38,4671.7,1.2864539920672395e-15
39,4697.3,1.204200072882728e-15
40,4722.8,1.1193203274909746e-15
41,4748.4,9.989761424659828e-16
42,4774.0,8.705531328131069e-16
43,4799.5,9.014071413920822e-16
44,4825.1,8.293030537319211e-16
45,4850.7,8.656694869925018e-16
46,4876.3,8.835041388206609e-16
47,4901.8,8.192193680467292e-16
48,4927.4,7.433728452945594e-16
49,4953.0,5.74164789915148e-16
50,4978.5,5.84215824229909e-16
51,5004.1,6.451208246015623e-16
52,5029.7,7.479672845204703e-16
53,5055.3,8.630832103447634e-16
54,5080.8,8.459350197399604e-16
55,5106.4,8.871843301531665e-16
56,5132.0,9.908666925681724e-16
57,5157.5,9.265516099451591e-16
58,5183.1,9.809963490064096e-16
59,5208.7,1.0048781233449754e-15
60,5234.2,9.793849239818297e-16
61,5259.8,1.022333251857927e-15
62,5285.4,9.724630246170387e-16
63,5311.0,9.488007134441967e-16
64,5336.5,8.574531963400779e-16
65,5362.1,7.786271576498192e-16
66,5387.7,7.271077466638279e-16
67,5413.2,7.073981952100297e-16
68,5438.8,6.554229365754016e-16
69,5464.4,6.760904451848768e-16
70,5490.0,6.769573374027501e-16
71,5515.5,5.980509587907543e-16
72,5541.1,5.982640841617903e-16
73,5566.7,6.191447559647743e-16
74,5592.2,6.551941103357694e-16
75,5617.8,6.679694671361122e-16
76,5643.4,7.159025918662365e-16
77,5668.9,7.224314554620067e-16
78,5694.5,7.633383982258677e-16
79,5720.1,7.38686200384633e-16
80,5745.7,7.266987078392742e-16
81,5771.2,7.073512933933407e-16
82,5796.8,7.005400590515631e-16
83,5822.4,6.380498848861587e-16
84,5847.9,6.123816444303616e-16
85,5873.5,5.424447739791003e-16
86,5899.1,5.581450862434433e-16
87,5924.7,6.198051829034399e-16
88,5950.2,5.951101588930422e-16
89,5975.8,5.862566894225536e-16
90,6001.4,5.756008730846586e-16
91,6026.9,5.802517272243538e-16
92,6052.5,5.041268888238037e-16
93,6078.1,4.443261822975537e-16
94,6103.7,3.8689623703487363e-16
95,6129.2,3.5183414835747675e-16
96,6154.8,2.9920597946933807e-16
97,6180.4,2.698822861947626e-16
98,6205.9,2.5238011214337043e-16
99,6231.5,2.386049683900226e-16
100,6257.1,2.786887953418571e-16
101,6282.6,3.060949398408773e-16
102,6308.2,3.7602914064727553e-16
103,6333.8,4.141504753739396e-16
104,6359.4,4.688989613306972e-16
105,6384.9,4.985255463910504e-16
106,6410.5,5.354662320046708e-16
107,6436.1,5.421819682444394e-16
108,6461.6,5.555974354303347e-16
109,6487.2,5.464927942767277e-16
110,6512.8,5.418399723068391e-16
111,6538.4,5.273684355053694e-16
112,6563.9,5.401422862724291e-16
113,6589.5,5.259215018065011e-16
114,6615.1,4.9364572814853e-16
115,6640.6,4.980521058942881e-16
116,6666.2,4.81274572622836e-16
117,6691.8,4.3501790491983393e-16
118,6717.4,4.002158606703243e-16
119,6742.9,3.7179335334283143e-16
120,6768.5,3.7335843188518415e-16
121,6794.1,3.933836687603309e-16
122,6819.6,4.028962661806208e-16
123,6845.2,4.1711260720297505e-16
124,6870.8,3.9986293873666013e-16
125,6896.3,3.818613214843354e-16
126,6921.9,3.858845583820809e-16
127,6947.5,3.7406496063790577e-16
128,6973.1,3.3612752296135924e-16
129,6998.6,3.2718195292078814e-16
130,7024.2,3.34300987880583e-16
131,7049.8,3.288949057705805e-16
132,7075.3,3.0741761850135366e-16
133,7100.9,3.050882939614493e-16
134,7126.5,2.964958203672121e-16
135,7152.1,2.9041734601139623e-16
136,7177.6,2.94388223716943e-16
137,7203.2,3.0095190535086496e-16
138,7228.8,3.1335602748050395e-16
139,7254.3,3.0403508265623317e-16
140,7279.9,2.832290779315133e-16
141,7305.5,2.7856865289085356e-16
142,7331.1,2.8426901401631704e-16
143,7356.6,2.8043621581939393e-16
144,7382.2,2.6119848604522153e-16
145,7407.8,2.568026787744475e-16
146,7433.3,2.4779906512200293e-16
147,7458.9,2.375659638042583e-16
148,7484.5,2.238916855876339e-16
149,7510.0,2.288342596129096e-16
150,7535.6,2.168364678560328e-16
151,7561.2,1.948154244558116e-16
152,7586.8,1.7684246167065892e-16
153,7612.3,1.7213643675277599e-16
154,7637.9,1.7464592313901092e-16
155,7663.5,1.7199616511394722e-16
156,7689.0,1.6811823613130997e-16
157,7714.6,1.681370316036974e-16
158,7740.2,1.6057586037850884e-16
159,7765.8,1.6817533235000508e-16
160,7791.3,1.9358785338454399e-16
161,7816.9,1.8203039104228536e-16
162,7842.5,1.9181246690100288e-16
163,7868.0,1.9513384281868975e-16
164,7893.6,1.9051795042709665e-16
165,7919.2,1.6207849114092392e-16
166,7944.7,1.4680214477936445e-16
167,7970.3,1.293512455173299e-16
168,7995.9,1.089446866317405e-16
169,8021.5,1.0203960785768272e-16
170,8047.0,9.197610040721084e-17
171,8072.6,8.247127933839655e-17
172,8098.2,8.585000770046611e-17
173,8123.7,8.951174548551018e-17
174,8149.3,8.34570953049691e-17
175,8174.9,8.047022635881985e-17
176,8200.5,9.542856330135319e-17
177,8226.0,1.1136502207292277e-16
178,8251.6,1.1023492814403985e-16
179,8277.2,1.1030066656215578e-16
180,8302.7,1.1550874498459996e-16
181,8328.3,1.1487898541064683e-16
182,8353.9,1.1103255979616848e-16
183,8379.5,1.1030336789950835e-16
184,8405.0,1.185343420202785e-16
185,8430.6,1.1872277067997865e-16
186,8456.2,1.1079256101266463e-16
187,8481.7,1.097193089405353e-16
188,8507.3,1.2206087097117183e-16
189,8532.9,1.3637742315437373e-16
190,8558.4,1.4485038299736283e-16
