,wl,fl
0,3700.0,2.427355578192987e-16
1,3725.6,5.705103726248062e-16
2,3751.1,2.0585922366433298e-16
3,3776.7,3.437319393896261e-16
4,3802.3,6.303160949193855e-16
5,3827.9,3.4200531442029237e-16
6,3853.4,3.39206919052785e-16
7,3879.0,2.359583639377799e-16
8,3904.6,4.2882415267945055e-16
9,3930.1,3.7794651367497562e-16
10,3955.7,3.793011139688063e-16
11,3981.3,4.019984818102163e-16
12,4006.8,5.308081211442084e-16
13,4032.4,5.170051071202644e-16
14,4058.0,4.096006279519768e-16
15,4083.6,3.07689891666288e-16
16,4109.1,3.901592406866989e-16
17,4134.7,4.241592022694297e-16
18,4160.3,4.3180698064002707e-16
19,4185.8,4.977293554344694e-16
20,4211.4,4.833101883782523e-16
21,4237.0,4.910100823862581e-16
22,4262.6,5.484587632181618e-16
23,4288.1,5.403679516679029e-16
24,4313.7,5.009344861376173e-16
25,4339.3,4.792324469693603e-16
26,4364.8,3.520593712423882e-16
27,4390.4,3.0790417196162543e-16
28,4416.0,2.8646755990292257e-16
29,4441.6,2.861834763331651e-16
30,4467.1,3.2268583210682136e-16
31,4492.7,3.1890039118419184e-16
32,4518.3,3.583827501726041e-16
33,4543.8,3.013520259850824e-16
34,4569.4,3.343940288723632e-16
35,4595.0,4.1372961690751e-16
36,4620.5,3.6674861489606664e-16
37,4646.1,4.2159048671109627e-16
38,4671.7,3.923181406134435e-16
39,4697.3,4.3593615731779743e-16
40,4722.8,4.1351087103743786e-16
41,4748.4,4.1976733263993776e-16
42,4774.0,3.852764348642716e-16
43,4799.5,3.332206073868827e-16
44,4825.1,3.235410520751194e-16
45,4850.7,3.2520339113750564e-16
46,4876.3,3.137097133185361e-16
47,4901.8,2.9694940001004534e-16
48,4927.4,2.9345871998318925e-16
49,4953.0,2.8372850769214995e-16
50,4978.5,2.408624470136786e-16
51,5004.1,2.3192468744882317e-16
52,5029.7,2.0353609838672113e-16
53,5055.3,2.283735278501836e-16
54,5080.8,2.59527808597636e-16
55,5106.4,2.4781379275875356e-16
56,5132.0,2.5424987519895956e-16
57,5157.5,2.4952578769782734e-16
58,5183.1,2.5435069844506414e-16
59,5208.7,2.443817744998092e-16
60,5234.2,2.719224995763812e-16
61,5259.8,2.71596835171422e-16
62,5285.4,2.5596464701603243e-16
63,5311.0,2.764093512303153e-16
64,5336.5,2.828272440120779e-16
65,5362.1,2.591946485865199e-16
66,5387.7,2.719235996083308e-16
67,5413.2,2.3912751908297716e-16
68,5438.8,2.2355292564030195e-16
69,5464.4,2.345769678890533e-16
70,5490.0,2.3951063171984655e-16
71,5515.5,2.2737095309454367e-16
72,5541.1,1.7428293754091775e-16
73,5566.7,2.1953949686342416e-16
74,5592.2,2.0550364919811495e-16
75,5617.8,1.6356055036382074e-16
76,5643.4,2.056894913764804e-16
77,5668.9,2.19041396306964e-16
78,5694.5,2.423920015198337e-16
79,5720.1,2.514687704546792e-16
80,5745.7,2.716050824301355e-16
81,5771.2,2.412120292464744e-16
82,5796.8,2.569818117236295e-16
83,5822.4,2.4361925268594323e-16
84,5847.9,2.1337022462461377e-16
85,5873.5,1.951430839191751e-16
86,5899.1,1.8181214452320367e-16
87,5924.7,1.7369155421751926e-16
88,5950.2,1.7725141382283266e-16
89,5975.8,1.7900563125656578e-16
90,6001.4,2.0123256974108712e-16
91,6026.9,2.265233023701854e-16
92,6052.5,2.335646937313093e-16
93,6078.1,2.3392512536422564e-16
94,6103.7,2.4085548335111535e-16
95,6129.2,2.513845196338968e-16
96,6154.8,2.1446166359735846e-16
97,6180.4,1.8814665038883656e-16
98,6205.9,1.5020239183530099e-16
99,6231.5,1.1566448544347107e-16
100,6257.1,1.0234621788544571e-16
101,6282.6,8.586208752677884e-17
102,6308.2,1.0996951797964293e-16
103,6333.8,1.250577541862201e-16
104,6359.4,1.269275984392751e-16
105,6384.9,1.4369439248597644e-16
106,6410.5,1.749237871971534e-16
107,6436.1,1.9272551494409816e-16
108,6461.6,2.1062389605955833e-16
109,6487.2,2.227077244628729e-16
110,6512.8,2.2908720434249065e-16
111,6538.4,2.3409200010723786e-16
112,6563.9,2.2896961141657234e-16
113,6589.5,2.2564210937080436e-16
114,6615.1,2.3275221338118508e-16
115,6640.6,2.281610270071994e-16
116,6666.2,2.2525769056577904e-16
117,6691.8,2.241464625606525e-16
118,6717.4,2.098726602952585e-16
119,6742.9,1.9192163345517647e-16
120,6768.5,1.9039872350823672e-16
121,6794.1,1.9603177032404286e-16
122,6819.6,1.9545546977519454e-16
123,6845.2,1.9351201958878394e-16
124,6870.8,1.9735236015362774e-16
125,6896.3,2.2011164585885275e-16
126,6921.9,2.015592458023685e-16
127,6947.5,1.8207083639073766e-16
128,6973.1,1.7477639455398424e-16
129,6998.6,1.5971535353192967e-16
130,7024.2,1.629283517957851e-16
131,7049.8,1.6183660332093819e-16
132,7075.3,1.5340078198189765e-16
133,7100.9,1.4444465453329057e-16
134,7126.5,1.4891662117083828e-16
135,7152.1,1.4772469044688187e-16
136,7177.6,1.4317938166187405e-16
137,7203.2,1.4471405106252481e-16
138,7228.8,1.5043839999162447e-16
139,7254.3,1.5102791486368103e-16
140,7279.9,1.4344975895480105e-16
141,7305.5,1.305368242158687e-16
142,7331.1,1.2987506053485233e-16
143,7356.6,1.3496824403334138e-16
144,7382.2,1.289711345311656e-16
145,7407.8,1.2569603386849354e-16
146,7433.3,1.2942732543729334e-16
147,7458.9,1.2563126367811917e-16
148,7484.5,1.1640363431172215e-16
149,7510.0,1.0916573495067466e-16
150,7535.6,1.0355027001708735e-16
151,7561.2,9.932640023905217e-17
152,7586.8,1.0511521669909565e-16
153,7612.3,1.042953810123295e-16
154,7637.9,8.879648535810157e-17
155,7663.5,8.291200906233233e-17
156,7689.0,7.941862857547091e-17
157,7714.6,7.337280623346629e-17
158,7740.2,6.12641246921576e-17
159,7765.8,6.30097550416935e-17
160,7791.3,7.906815452874271e-17
161,7816.9,8.75990651060663e-17
162,7842.5,9.556356845852781e-17
163,7868.0,1.0503374085551744e-16
164,7893.6,1.0844232751071746e-16
165,7919.2,1.1132914084118958e-16
166,7944.7,1.1816757912338458e-16
167,7970.3,1.2136290070632523e-16
168,7995.9,1.2122978138606033e-16
169,8021.5,1.2525472454960822e-16
170,8047.0,1.234584586981715e-16
171,8072.6,1.161565798180189e-16
172,8098.2,1.1467516586673874e-16
173,8123.7,1.0872924745214168e-16
174,8149.3,1.035544583698859e-16
175,8174.9,1.0258614965221943e-16
176,8200.5,9.163511267688795e-17
