,wl,fl
0,3700.0,5.780352531285126e-16
1,3725.6,8.659903999248153e-16
2,3751.1,6.052496086134831e-16
3,3776.7,8.764388065773639e-16
4,3802.3,7.014923327927068e-16
5,3827.9,7.841511628576317e-16
6,3853.4,5.448817333411455e-16
7,3879.0,5.598225321105996e-16
8,3904.6,4.4042493375738173e-16
9,3930.1,4.922944355611683e-16
10,3955.7,4.3607833750099636e-16
11,3981.3,4.589009549302299e-16
12,4006.8,8.554143086095668e-16
13,4032.4,9.822360913824727e-16
14,4058.0,8.299821792393463e-16
15,4083.6,9.488021156943622e-16
16,4109.1,8.0821777181794125e-16
17,4134.7,8.499813068493749e-16
18,4160.3,7.368165716557148e-16
19,4185.8,8.222900587179147e-16
20,4211.4,8.227631604122674e-16
21,4237.0,8.191018176864311e-16
22,4262.6,8.867072041226193e-16
23,4288.1,7.772276343735346e-16
24,4313.7,7.970488785703433e-16
25,4339.3,6.783150657174315e-16
26,4364.8,6.829855327874157e-16
27,4390.4,6.304233655657143e-16
28,4416.0,5.469211231617862e-16
29,4441.6,5.04867926053455e-16
30,4467.1,4.98719904905892e-16
31,4492.7,4.461540879078103e-16
32,4518.3,4.832123115037693e-16
33,4543.8,4.708292789805995e-16
34,4569.4,4.877848088977968e-16
35,4595.0,5.398463622311697e-16
36,4620.5,5.439006669579014e-16
37,4646.1,5.048125132199713e-16
38,4671.7,5.066095777699349e-16
39,4697.3,4.943301554551356e-16
40,4722.8,5.088345720755797e-16
41,4748.4,4.855425546929325e-16
42,4774.0,5.028393466173396e-16
43,4799.5,4.478737538009435e-16
44,4825.1,4.461624915511348e-16
45,4850.7,4.0920530235257447e-16
46,4876.3,3.9853301801131936e-16
47,4901.8,3.8956658112708567e-16
48,4927.4,3.476415918109982e-16
49,4953.0,3.227026662820326e-16
50,4978.5,3.3705783855666586e-16
51,5004.1,3.29265988841634e-16
52,5029.7,2.6546519023096366e-16
53,5055.3,2.829146257002763e-16
54,5080.8,2.6165011357267783e-16
55,5106.4,2.6748491512114e-16
56,5132.0,3.045783970513519e-16
57,5157.5,2.8239583363851613e-16
58,5183.1,3.07997605671173e-16
59,5208.7,2.8654328381191184e-16
60,5234.2,3.09045754124211e-16
61,5259.8,3.072239536647008e-16
62,5285.4,3.277771482996553e-16
63,5311.0,3.132836990255117e-16
64,5336.5,3.0943401729330044e-16
65,5362.1,3.2092665246619754e-16
66,5387.7,3.177991380917107e-16
67,5413.2,2.864883803687035e-16
68,5438.8,2.543321420969261e-16
69,5464.4,2.5046023148731627e-16
70,5490.0,2.3282021421292726e-16
71,5515.5,2.369973482256054e-16
72,5541.1,2.265512351205024e-16
73,5566.7,2.2537100814456027e-16
74,5592.2,2.1196808635360884e-16
75,5617.8,2.2351604037565596e-16
76,5643.4,1.9089840266503078e-16
77,5668.9,2.002578924575307e-16
78,5694.5,1.9567856883715113e-16
79,5720.1,2.0761954136496873e-16
80,5745.7,2.202361146729253e-16
81,5771.2,2.293663340570508e-16
82,5796.8,2.3044750090044847e-16
83,5822.4,2.3432156634633194e-16
84,5847.9,2.2232658950462393e-16
85,5873.5,2.3005464241618847e-16
86,5899.1,2.0364568660992898e-16
87,5924.7,1.9378709713761352e-16
88,5950.2,1.9371678769853672e-16
89,5975.8,1.6842122118754634e-16
90,6001.4,1.633903680668258e-16
91,6026.9,1.6176267878699506e-16
92,6052.5,1.6818344464505842e-16
93,6078.1,1.8624533040643282e-16
94,6103.7,1.9291514740401668e-16
95,6129.2,1.838172354072247e-16
96,6154.8,1.9626686880177857e-16
97,6180.4,1.8472033733817649e-16
98,6205.9,1.7798781488412194e-16
99,6231.5,1.61189250392272e-16
100,6257.1,1.4036599142689827e-16
101,6282.6,1.1723601696572153e-16
102,6308.2,1.0239203533553073e-16
103,6333.8,8.722312401509969e-17
104,6359.4,8.117673037178459e-17
105,6384.9,9.174398943703076e-17
106,6410.5,1.0289740355387127e-16
107,6436.1,1.2652130659440695e-16
108,6461.6,1.4410783704677802e-16
109,6487.2,1.691385403588026e-16
110,6512.8,1.7232178371121287e-16
111,6538.4,1.6243584099195158e-16
112,6563.9,1.6226569924230675e-16
113,6589.5,1.6187931470756352e-16
114,6615.1,1.6777069585599088e-16
115,6640.6,1.6636375681508857e-16
116,6666.2,1.5862913572477297e-16
117,6691.8,1.5483740189471902e-16
118,6717.4,1.611089037647531e-16
119,6742.9,1.6314629277938833e-16
120,6768.5,1.498888803265659e-16
121,6794.1,1.516593385514039e-16
122,6819.6,1.4894390851052384e-16
123,6845.2,1.431182751469067e-16
124,6870.8,1.423931251778137e-16
125,6896.3,1.3215550964090581e-16
126,6921.9,1.2335971832352964e-16
127,6947.5,1.222728900853986e-16
128,6973.1,1.2296915068402727e-16
129,6998.6,1.2207364462691505e-16
130,7024.2,1.216407979163039e-16
131,7049.8,1.1413108268334436e-16
132,7075.3,1.0707214447564574e-16
133,7100.9,1.0415545110092848e-16
134,7126.5,1.0497913247069434e-16
135,7152.1,1.0398624054566038e-16
136,7177.6,1.0761861906572107e-16
137,7203.2,1.0507474682485703e-16
138,7228.8,9.989346027034368e-17
139,7254.3,9.774757870007335e-17
140,7279.9,9.912167322716545e-17
141,7305.5,9.65985573004056e-17
142,7331.1,9.193241358285574e-17
143,7356.6,9.165287574030767e-17
144,7382.2,9.448466385541221e-17
145,7407.8,9.80333309598192e-17
146,7433.3,9.769987245627792e-17
147,7458.9,9.416351445595601e-17
148,7484.5,9.637573523950871e-17
149,7510.0,9.184599315514072e-17
150,7535.6,9.453329773425617e-17
151,7561.2,9.24940624899015e-17
152,7586.8,8.758959837172508e-17
153,7612.3,8.50737757993979e-17
154,7637.9,7.935559614446869e-17
155,7663.5,7.691447425900893e-17
156,7689.0,7.739891098612435e-17
157,7714.6,8.185843836799466e-17
158,7740.2,7.701215419870233e-17
159,7765.8,5.854123920478133e-17
160,7791.3,5.331472323213511e-17
161,7816.9,5.74112362417239e-17
162,7842.5,5.554009931790008e-17
163,7868.0,5.282091289254883e-17
164,7893.6,5.208119431660995e-17
165,7919.2,5.947092386540865e-17
166,7944.7,6.327512008549331e-17
167,7970.3,6.197205547409674e-17
168,7995.9,6.670758782971788e-17
169,8021.5,7.333274725615693e-17
170,8047.0,7.269439145169284e-17
171,8072.6,6.918443584041194e-17
172,8098.2,7.2830790472698e-17
173,8123.7,7.756567973532287e-17
174,8149.3,7.711719496564537e-17
175,8174.9,7.83807803063427e-17
176,8200.5,7.401806498714977e-17
177,8226.0,6.431569303041135e-17
178,8251.6,5.900600729472358e-17
179,8277.2,5.660031240106299e-17
180,8302.7,5.71537558795573e-17
181,8328.3,5.522371199586321e-17
182,8353.9,4.6900417500947675e-17
183,8379.5,4.244903830088897e-17
184,8405.0,4.282015967118849e-17
185,8430.6,4.343839515168435e-17
186,8456.2,3.73447389972672e-17
187,8481.7,2.791407419401318e-17
188,8507.3,2.694938875095999e-17
189,8532.9,3.1541962777507894e-17
190,8558.4,3.330553592003591e-17
191,8584.0,3.477029458775833e-17
192,8609.6,3.8030460361493675e-17
193,8635.2,3.7712119958959974e-17
194,8660.7,3.364334777281171e-17
195,8686.3,3.505192562100944e-17
196,8711.9,4.0403206150420445e-17
197,8737.4,4.754335363046526e-17
198,8763.0,5.95025719143807e-17
199,8788.6,6.866185062578684e-17
200,8814.2,6.244348657235163e-17
201,8839.7,5.655298905494518e-17
202,8865.3,5.751323718547587e-17
203,8890.9,5.3538156307728055e-17
204,8916.4,4.40175156065609e-17
205,8942.0,4.166160434691096e-17
206,8967.6,4.8874756283060593e-17
207,8993.2,5.539741522628378e-17
208,9018.7,5.1991069870961e-17
209,9044.3,4.5311361184589766e-17
210,9069.9,4.5248859994244555e-17
211,9095.4,4.4280807579167015e-17
212,9121.0,4.106649667940462e-17
213,9146.6,4.437675836610925e-17
214,9172.1,4.5031786797363385e-17
215,9197.7,3.9996007583326435e-17
216,9223.3,3.4147587158110914e-17
217,9248.9,3.378520560043566e-17
218,9274.4,3.819949610751122e-17
219,9300.0,3.449965897777954e-17
