,wl,fl
0,3700.0,3.9819008682845248e-16
1,3725.6,2.209875082464553e-20
2,3751.1,2.837136986637592e-16
3,3776.7,3.6174725013632346e-18
4,3802.3,3.1169556077979595e-17
5,3827.9,8.693314101408891e-17
6,3853.4,1.905195789812853e-18
7,3879.0,1.1631241626578463e-16
8,3904.6,1.3156877671305678e-16
9,3930.1,1.477235889335106e-16
10,3955.7,1.7766958004936752e-16
11,3981.3,2.2793394693699033e-16
12,4006.8,2.9823974584140287e-16
13,4032.4,3.1248331922027804e-16
14,4058.0,1.6438279759111665e-16
15,4083.6,2.1288261107482214e-16
16,4109.1,1.2961910210642838e-16
17,4134.7,1.8287255145800431e-16
18,4160.3,2.189866586276641e-16
19,4185.8,1.9376460215422982e-16
20,4211.4,2.031908857874487e-16
21,4237.0,2.5790321647233524e-16
22,4262.6,2.5550962486452803e-16
23,4288.1,2.3944969869423787e-16
24,4313.7,2.3070027240235236e-16
25,4339.3,2.4629988057477387e-16
26,4364.8,2.068843899007222e-16
27,4390.4,1.525552479137347e-16
28,4416.0,1.272421243189718e-16
29,4441.6,9.241148612976534e-17
30,4467.1,1.5814602516271446e-16
31,4492.7,1.720299449920818e-16
32,4518.3,1.8973184127988761e-16
33,4543.8,1.6912959470157158e-16
34,4569.4,1.7552402960525817e-16
35,4595.0,2.0230814803310733e-16
36,4620.5,2.0134593259832944e-16
37,4646.1,2.2120101454114223e-16
38,4671.7,2.345037045658356e-16
39,4697.3,2.3677812986114753e-16
40,4722.8,2.2659391893775223e-16
41,4748.4,2.1665202264019534e-16
42,4774.0,2.1434759247743615e-16
43,4799.5,1.7644675585539216e-16
44,4825.1,1.848096100991253e-16
45,4850.7,1.716988775791461e-16
46,4876.3,1.8508245789492067e-16
47,4901.8,1.8215266741545787e-16
48,4927.4,1.469965123411774e-16
49,4953.0,1.380842379957691e-16
50,4978.5,1.1671359530770343e-16
51,5004.1,8.758424752159784e-17
52,5029.7,8.728943505030005e-17
53,5055.3,9.859841500630431e-17
54,5080.8,1.1150368977147273e-16
55,5106.4,1.2452577571826448e-16
56,5132.0,1.2167147148624231e-16
57,5157.5,1.3212348257579531e-16
58,5183.1,1.402370388228021e-16
59,5208.7,1.381572119080721e-16
60,5234.2,1.2667766204918115e-16
61,5259.8,1.5369098891044764e-16
62,5285.4,1.7901610496564472e-16
63,5311.0,1.5461547112568066e-16
64,5336.5,1.6666902136073027e-16
65,5362.1,1.6359697862953528e-16
66,5387.7,1.5512737744880112e-16
67,5413.2,1.2870702820114173e-16
68,5438.8,1.2709638101017578e-16
69,5464.4,1.226264701883204e-16
70,5490.0,1.104607533202304e-16
71,5515.5,1.0730369717935919e-16
72,5541.1,1.1342678999715415e-16
73,5566.7,1.1095391529024308e-16
74,5592.2,1.0061163427613977e-16
75,5617.8,8.124744262141888e-17
76,5643.4,8.129673189757534e-17
77,5668.9,8.810083813139029e-17
78,5694.5,1.0869711267274363e-16
79,5720.1,1.1699503877991038e-16
80,5745.7,1.2931556745474247e-16
81,5771.2,1.5268026566932397e-16
82,5796.8,1.0297836576775058e-16
83,5822.4,1.123051617803908e-16
84,5847.9,1.338996430683093e-16
85,5873.5,1.3045564318192775e-16
86,5899.1,9.571453914245319e-17
87,5924.7,8.531457145203522e-17
88,5950.2,7.900485383322282e-17
89,5975.8,8.850585008885812e-17
90,6001.4,1.0142300624899956e-16
91,6026.9,1.1204137363042044e-16
92,6052.5,1.1570057867982153e-16
93,6078.1,1.2643580579405115e-16
94,6103.7,1.3999313430041324e-16
95,6129.2,1.3264748811716745e-16
96,6154.8,1.2030404903983195e-16
97,6180.4,9.981560086467582e-17
98,6205.9,7.760433895902915e-17
99,6231.5,5.898474669050462e-17
100,6257.1,4.443058938658153e-17
101,6282.6,3.608673160544832e-17
102,6308.2,3.917667168557888e-17
103,6333.8,4.6983219953757726e-17
104,6359.4,5.911060976728006e-17
105,6384.9,6.553798172669636e-17
106,6410.5,7.598050108969079e-17
107,6436.1,1.0454737886648406e-16
108,6461.6,1.173712070728948e-16
109,6487.2,1.197080649283568e-16
110,6512.8,1.2518081780422216e-16
111,6538.4,1.2913530950677556e-16
112,6563.9,1.2984363508200598e-16
113,6589.5,1.3476605112993726e-16
114,6615.1,1.2888159806242207e-16
115,6640.6,1.2213781209813273e-16
116,6666.2,1.1431938973172203e-16
117,6691.8,1.1082321651012255e-16
118,6717.4,1.0781505847703303e-16
119,6742.9,1.080441445456939e-16
120,6768.5,9.980074148391249e-17
121,6794.1,9.056147382647986e-17
122,6819.6,9.128135824693198e-17
123,6845.2,9.001947757187742e-17
124,6870.8,1.0189955404475691e-16
125,6896.3,1.0018283146293309e-16
126,6921.9,9.32405828180707e-17
127,6947.5,8.959315187638267e-17
128,6973.1,8.421830488662457e-17
129,6998.6,8.503511548137571e-17
130,7024.2,8.022438346740418e-17
131,7049.8,7.703811380709499e-17
132,7075.3,8.795352273864796e-17
133,7100.9,8.44985343207978e-17
134,7126.5,7.944859972636261e-17
135,7152.1,8.12832688801868e-17
136,7177.6,7.409573939805259e-17
137,7203.2,7.357491122809975e-17
138,7228.8,7.806465299446049e-17
139,7254.3,8.037869834852423e-17
140,7279.9,7.491385827619466e-17
141,7305.5,7.381605109267039e-17
142,7331.1,7.186394069080128e-17
143,7356.6,6.871667884371588e-17
144,7382.2,7.188428188585732e-17
145,7407.8,7.088542084119005e-17
146,7433.3,7.092272954405683e-17
147,7458.9,7.21121876209326e-17
148,7484.5,6.484340409319704e-17
149,7510.0,6.217512193159628e-17
150,7535.6,5.730278375864238e-17
151,7561.2,4.377324044735649e-17
152,7586.8,3.5290863228247016e-17
153,7612.3,3.208420319972525e-17
154,7637.9,2.280385062849478e-17
155,7663.5,2.3231491682292485e-17
156,7689.0,2.877344086473506e-17
157,7714.6,3.1292569912952366e-17
158,7740.2,2.9920994805055326e-17
159,7765.8,2.963385160624194e-17
160,7791.3,3.1534219616250067e-17
161,7816.9,3.6617314094246715e-17
162,7842.5,4.342617253137618e-17
163,7868.0,4.784387714138022e-17
164,7893.6,5.223720749820234e-17
165,7919.2,5.911810697663314e-17
166,7944.7,6.656640342844666e-17
167,7970.3,6.624629624138986e-17
168,7995.9,6.571479543600972e-17
169,8021.5,6.993578945631747e-17
170,8047.0,6.898054226258476e-17
171,8072.6,7.088157775141839e-17
172,8098.2,6.859472942459112e-17
173,8123.7,6.368858609017845e-17
174,8149.3,5.861678641238724e-17
175,8174.9,5.569260213627651e-17
176,8200.5,5.464989603842842e-17
177,8226.0,4.843621568449076e-17
178,8251.6,4.002144060991892e-17
179,8277.2,3.1411852315634006e-17
180,8302.7,2.646691861855793e-17
181,8328.3,2.3654517316941976e-17
182,8353.9,2.0496219975005845e-17
183,8379.5,1.8330222314359678e-17
184,8405.0,1.2869330296304987e-17
185,8430.6,1.3023317367798726e-17
186,8456.2,1.599794433363006e-17
187,8481.7,1.4919955088273615e-17
188,8507.3,1.349552158295149e-17
189,8532.9,1.272394268815979e-17
190,8558.4,2.0688873552013153e-17
191,8584.0,2.740917167357937e-17
192,8609.6,2.3682115089561155e-17
193,8635.2,2.075551327388903e-17
194,8660.7,2.4813751052393267e-17
195,8686.3,3.370951255382802e-17
196,8711.9,4.3377332581027023e-17
197,8737.4,5.010237952827341e-17
198,8763.0,5.5156222519685366e-17
199,8788.6,6.30498057851351e-17
200,8814.2,6.806691392818533e-17
201,8839.7,7.034608186497213e-17
202,8865.3,5.1329630993836544e-17
203,8890.9,5.11290679459363e-17
204,8916.4,4.501057043701941e-17
205,8942.0,5.1503941456339405e-17
206,8967.6,5.2236047796879546e-17
207,8993.2,4.662447973374449e-17
208,9018.7,4.187374536613626e-17
209,9044.3,3.4990552686887325e-17
210,9069.9,2.591337673031614e-17
211,9095.4,1.933915302949948e-17
212,9121.0,1.9345689969876898e-17
213,9146.6,2.257239993756417e-17
214,9172.1,2.2682890738361343e-17
215,9197.7,2.213494693576393e-17
216,9223.3,2.5735429887610938e-17
217,9248.9,3.61144909788796e-17
218,9274.4,4.057786415757612e-17
219,9300.0,2.945897038919045e-17
