,wl,fl
0,3700.0,8.89450479961613e-16
1,3725.6,6.839348931525877e-16
2,3751.1,6.518026077860138e-16
3,3776.7,7.596407341315029e-16
4,3802.3,5.070752401679548e-16
5,3827.9,5.887494597147914e-16
6,3853.4,6.478203909304951e-16
7,3879.0,5.833220170547288e-16
8,3904.6,5.413569429093986e-16
9,3930.1,4.927338889573248e-16
10,3955.7,4.278742834783863e-16
11,3981.3,4.857556096769359e-16
12,4006.8,5.87854356310649e-16
13,4032.4,5.416075966037018e-16
14,4058.0,6.30919361842322e-16
15,4083.6,7.790155012960689e-16
16,4109.1,8.610620495694127e-16
17,4134.7,7.111520468743936e-16
18,4160.3,6.332569795964658e-16
19,4185.8,5.879595703643753e-16
20,4211.4,7.670488593061344e-16
21,4237.0,7.897220507303921e-16
22,4262.6,7.954147801798096e-16
23,4288.1,8.177843084423877e-16
24,4313.7,7.72381171194139e-16
25,4339.3,7.514758850483237e-16
26,4364.8,7.913700642723245e-16
27,4390.4,7.306197069649572e-16
28,4416.0,7.142440474908872e-16
29,4441.6,6.159334739168949e-16
30,4467.1,6.822684102881301e-16
31,4492.7,5.929069907724703e-16
32,4518.3,5.145941880232029e-16
33,4543.8,6.216227364165694e-16
34,4569.4,7.052600362721179e-16
35,4595.0,6.560114364599895e-16
36,4620.5,6.639048534502725e-16
37,4646.1,6.831863365914499e-16
38,4671.7,7.104459381329643e-16
39,4697.3,7.590718657792135e-16
40,4722.8,7.508852318580242e-16
41,4748.4,7.798357228494847e-16
42,4774.0,6.975933022288477e-16
43,4799.5,7.681061732629308e-16
44,4825.1,7.612002008889432e-16
45,4850.7,7.774090785257679e-16
46,4876.3,7.129409516040901e-16
47,4901.8,7.193297403094725e-16
48,4927.4,7.271685216262449e-16
49,4953.0,6.92083562233356e-16
50,4978.5,7.020709336292242e-16
51,5004.1,7.246610039259952e-16
52,5029.7,7.474495650808495e-16
53,5055.3,6.496278022691237e-16
54,5080.8,6.146533608501766e-16
55,5106.4,6.055524397626904e-16
56,5132.0,6.110402854348747e-16
57,5157.5,6.435376442125312e-16
58,5183.1,6.32345632348803e-16
59,5208.7,6.803395368097725e-16
60,5234.2,6.196772456890837e-16
61,5259.8,6.462354370255675e-16
62,5285.4,6.342098539705997e-16
63,5311.0,6.533207823800338e-16
64,5336.5,6.859184360768179e-16
65,5362.1,6.318803043294608e-16
66,5387.7,6.128407706729662e-16
67,5413.2,6.236589787031033e-16
68,5438.8,6.181272607168793e-16
69,5464.4,6.068680825889444e-16
70,5490.0,6.364373385717042e-16
71,5515.5,5.956463902074994e-16
72,5541.1,5.974331583723049e-16
73,5566.7,6.527461636552339e-16
74,5592.2,6.7311536361401145e-16
75,5617.8,6.513293108641056e-16
76,5643.4,6.334177662956725e-16
77,5668.9,6.179468110457385e-16
78,5694.5,6.4918526115788695e-16
79,5720.1,6.136321102317719e-16
80,5745.7,6.265203158080039e-16
81,5771.2,6.652931467293398e-16
82,5796.8,6.851710903723414e-16
83,5822.4,6.870578495014118e-16
84,5847.9,7.168863943457682e-16
85,5873.5,6.692617253028839e-16
86,5899.1,6.697385532645127e-16
87,5924.7,6.790808016794459e-16
88,5950.2,6.60855649095695e-16
89,5975.8,6.475668883410665e-16
90,6001.4,6.356027320532294e-16
91,6026.9,6.192818045806699e-16
92,6052.5,6.39773753433211e-16
93,6078.1,6.408217338322693e-16
94,6103.7,6.624913853064016e-16
95,6129.2,6.84909403709205e-16
96,6154.8,6.528005816327138e-16
97,6180.4,6.48180277970345e-16
98,6205.9,6.496658800410617e-16
99,6231.5,6.479925054544275e-16
100,6257.1,6.618861518801869e-16
101,6282.6,6.557510518551526e-16
102,6308.2,6.14817414641188e-16
103,6333.8,5.898978384884487e-16
104,6359.4,5.804299981002877e-16
105,6384.9,5.514170205762695e-16
106,6410.5,5.404520032183344e-16
107,6436.1,5.609746062150558e-16
108,6461.6,5.770336285906699e-16
109,6487.2,5.961164931772234e-16
110,6512.8,6.029330396397258e-16
111,6538.4,6.038918748839903e-16
112,6563.9,6.324770927963569e-16
113,6589.5,6.427372402476619e-16
114,6615.1,6.267918819344585e-16
115,6640.6,6.331514653757866e-16
116,6666.2,6.355027505140565e-16
117,6691.8,6.54071395187368e-16
118,6717.4,6.638704498803814e-16
119,6742.9,6.404928148946491e-16
120,6768.5,6.370047025477521e-16
121,6794.1,6.477700006710839e-16
122,6819.6,6.244249934284284e-16
123,6845.2,6.242906550575305e-16
124,6870.8,6.253423653613254e-16
125,6896.3,6.21650992903758e-16
126,6921.9,6.328311446631429e-16
127,6947.5,6.166438229178723e-16
128,6973.1,5.949777368769172e-16
129,6998.6,5.876435500194051e-16
130,7024.2,5.868766391568001e-16
131,7049.8,5.865402867570299e-16
132,7075.3,5.791098019175047e-16
133,7100.9,5.700721481510761e-16
134,7126.5,5.730721405531167e-16
135,7152.1,5.727410050310904e-16
136,7177.6,5.727328779745427e-16
137,7203.2,5.613508472726506e-16
138,7228.8,5.582358715817953e-16
139,7254.3,5.688467730435797e-16
140,7279.9,5.60694398489076e-16
141,7305.5,5.589758588433408e-16
142,7331.1,5.647544816872842e-16
143,7356.6,5.633577674785541e-16
144,7382.2,5.574673931629725e-16
145,7407.8,5.546835037580535e-16
146,7433.3,5.4687769738163e-16
147,7458.9,5.561772909772277e-16
148,7484.5,5.364111749205727e-16
149,7510.0,5.341753446725788e-16
150,7535.6,5.296989453008617e-16
151,7561.2,5.277873592833757e-16
152,7586.8,5.193707996375591e-16
153,7612.3,5.106419760393391e-16
154,7637.9,5.2089201764504115e-16
155,7663.5,5.49460698704607e-16
156,7689.0,5.624590879146239e-16
157,7714.6,5.507473123433333e-16
158,7740.2,5.358522633254505e-16
159,7765.8,5.35118355998152e-16
160,7791.3,5.377895248482346e-16
161,7816.9,5.304658911354707e-16
162,7842.5,5.332437740226945e-16
163,7868.0,5.374021268636916e-16
164,7893.6,5.287087720873706e-16
165,7919.2,5.28939200147363e-16
166,7944.7,5.228045380930176e-16
167,7970.3,5.187959849229581e-16
168,7995.9,5.186085326160757e-16
169,8021.5,5.139704620479445e-16
170,8047.0,5.161187740660244e-16
171,8072.6,5.185837223880119e-16
172,8098.2,5.108833746917788e-16
173,8123.7,5.00332482276221e-16
174,8149.3,5.127499920806e-16
175,8174.9,5.271698757382456e-16
176,8200.5,5.175790930887064e-16
177,8226.0,5.100052082672814e-16
178,8251.6,5.068750887017552e-16
179,8277.2,5.002627227600243e-16
180,8302.7,4.959799330017801e-16
181,8328.3,4.943398150214599e-16
182,8353.9,5.005112386938833e-16
183,8379.5,4.965529961655465e-16
184,8405.0,4.921776651974789e-16
185,8430.6,4.851704679966232e-16
186,8456.2,4.8501986439371145e-16
187,8481.7,4.878217359233514e-16
188,8507.3,4.823020561623796e-16
189,8532.9,4.887913878348756e-16
190,8558.4,4.98647780410928e-16
191,8584.0,4.838745218116928e-16
192,8609.6,4.674284129817971e-16
193,8635.2,4.801272312960793e-16
194,8660.7,4.788368921866963e-16
195,8686.3,4.633578494570156e-16
196,8711.9,4.719545804991308e-16
197,8737.4,4.704633334056319e-16
198,8763.0,4.872502396523467e-16
199,8788.6,5.002503257004226e-16
200,8814.2,4.959243423638123e-16
201,8839.7,4.802682558360059e-16
202,8865.3,4.691335249372017e-16
203,8890.9,3.921273085678153e-16
204,8916.4,4.3723826265521775e-16
205,8942.0,4.3755720146449243e-16
206,8967.6,4.615698855694689e-16
207,8993.2,4.675472465660354e-16
208,9018.7,4.3622118038528647e-16
209,9044.3,4.303677154916345e-16
210,9069.9,4.276611425668872e-16
211,9095.4,4.524854479938226e-16
212,9121.0,4.410841165021514e-16
213,9146.6,4.539726103856964e-16
214,9172.1,4.515775033784121e-16
215,9197.7,4.469863989396741e-16
216,9223.3,4.488836482594902e-16
217,9248.9,4.384392084001688e-16
218,9274.4,4.501684674560375e-16
219,9300.0,4.776801115906279e-16
