,wl,fl
0,3700.0,8.943369312576742e-16
1,3725.6,1.2894998240500168e-15
2,3751.1,9.470834825202376e-16
3,3776.7,8.426774448644221e-16
4,3802.3,8.762687258567313e-16
5,3827.9,7.224823452646642e-16
6,3853.4,7.17366326618149e-16
7,3879.0,7.621641922597528e-16
8,3904.6,7.532929194899223e-16
9,3930.1,6.440240126090104e-16
10,3955.7,5.902630917677253e-16
11,3981.3,5.780330067601199e-16
12,4006.8,7.232201120924299e-16
13,4032.4,8.221550274184361e-16
14,4058.0,8.004011699632233e-16
15,4083.6,8.56145748949145e-16
16,4109.1,7.7813047893896295e-16
17,4134.7,8.400971982307397e-16
18,4160.3,7.84365988689657e-16
19,4185.8,8.249789796078482e-16
20,4211.4,8.561099716314283e-16
21,4237.0,8.788177229270633e-16
22,4262.6,8.446133353405285e-16
23,4288.1,7.916069801458673e-16
24,4313.7,7.201886242126632e-16
25,4339.3,7.748667985671374e-16
26,4364.8,5.884546631768566e-16
27,4390.4,5.769788675735734e-16
28,4416.0,5.279739334646674e-16
29,4441.6,4.900866013391904e-16
30,4467.1,4.892978710706284e-16
31,4492.7,4.771624681719115e-16
32,4518.3,5.878323121613366e-16
33,4543.8,5.136769514666804e-16
34,4569.4,5.224944780918434e-16
35,4595.0,4.947787049205298e-16
36,4620.5,5.15692641824144e-16
37,4646.1,5.214473608214932e-16
38,4671.7,5.1321261340367e-16
39,4697.3,5.200943643219312e-16
40,4722.8,4.954491612304595e-16
41,4748.4,5.327133972905177e-16
42,4774.0,4.886637148527517e-16
43,4799.5,4.62885035992661e-16
44,4825.1,4.714863272605158e-16
45,4850.7,4.566465498753176e-16
46,4876.3,4.380262603350082e-16
47,4901.8,4.226873793041656e-16
48,4927.4,4.260552067180998e-16
49,4953.0,4.038271819039269e-16
50,4978.5,4.159262101233266e-16
51,5004.1,3.8772098069288576e-16
52,5029.7,3.2041518956688757e-16
53,5055.3,2.990137919862856e-16
54,5080.8,3.101666261945537e-16
55,5106.4,3.1930342761976817e-16
56,5132.0,3.1908892954362126e-16
57,5157.5,3.312162659332198e-16
58,5183.1,3.4355261564286805e-16
59,5208.7,3.552107224329046e-16
60,5234.2,3.4322975262478064e-16
61,5259.8,3.6319562389702505e-16
62,5285.4,3.644158297884875e-16
63,5311.0,3.671884261647783e-16
64,5336.5,3.627687372474684e-16
65,5362.1,4.042573975711849e-16
66,5387.7,3.2653889548483803e-16
67,5413.2,3.2536327586902375e-16
68,5438.8,2.8035461146126407e-16
69,5464.4,2.596764135900684e-16
70,5490.0,2.5358222554182804e-16
71,5515.5,2.9269686581545634e-16
72,5541.1,2.6918650053551106e-16
73,5566.7,2.713626703638428e-16
74,5592.2,2.6506325357032536e-16
75,5617.8,2.4006766153808757e-16
76,5643.4,2.4940824547892107e-16
77,5668.9,2.363190401544535e-16
78,5694.5,2.570813185157312e-16
79,5720.1,3.0165486879145976e-16
80,5745.7,2.8296590297004804e-16
81,5771.2,2.781197438916353e-16
82,5796.8,2.853417376998772e-16
83,5822.4,2.9836813438781795e-16
84,5847.9,2.983465767696052e-16
85,5873.5,2.9909241888433577e-16
86,5899.1,2.7641220120838417e-16
87,5924.7,2.8712665543133514e-16
88,5950.2,2.650203968485384e-16
89,5975.8,2.4522919644589097e-16
90,6001.4,2.3649317609408326e-16
91,6026.9,2.3737861375089006e-16
92,6052.5,2.348785362066627e-16
93,6078.1,2.4275038937880554e-16
94,6103.7,2.4636125626183375e-16
95,6129.2,2.45280453653185e-16
96,6154.8,2.593541388951613e-16
97,6180.4,2.456285047991186e-16
98,6205.9,2.548990877424689e-16
99,6231.5,2.459779986257018e-16
100,6257.1,2.1932257787182644e-16
101,6282.6,2.0879148307782276e-16
102,6308.2,1.700998472490391e-16
103,6333.8,1.4231040740534082e-16
104,6359.4,1.2725772847321416e-16
105,6384.9,1.332917029643583e-16
106,6410.5,1.6918308640027429e-16
107,6436.1,1.9799103748766673e-16
108,6461.6,2.127797942208168e-16
109,6487.2,2.245198582381464e-16
110,6512.8,2.2183078566856302e-16
111,6538.4,2.2889799708452757e-16
112,6563.9,2.3780185314970934e-16
113,6589.5,2.4236662909423208e-16
114,6615.1,2.2971543583159256e-16
115,6640.6,2.2713808337442764e-16
116,6666.2,2.195864823052825e-16
117,6691.8,2.178796265998589e-16
118,6717.4,2.2168646901736604e-16
119,6742.9,2.1879182695034826e-16
120,6768.5,2.0898679203626654e-16
121,6794.1,2.0102462354159307e-16
122,6819.6,2.0040739937721942e-16
123,6845.2,2.007611731574329e-16
124,6870.8,2.0305564303765748e-16
125,6896.3,1.9995883333387744e-16
126,6921.9,1.8899809769098462e-16
127,6947.5,1.796614666597399e-16
128,6973.1,1.803452242614615e-16
129,6998.6,1.7231086512473765e-16
130,7024.2,1.691237537588432e-16
131,7049.8,1.6421837511514202e-16
132,7075.3,1.6017701965047005e-16
