,wl,fl
0,3700.0,1.6094073257735863e-15
1,3725.6,1.6579627752899692e-15
2,3751.1,1.4958216992890344e-15
3,3776.7,1.1602909192371265e-15
4,3802.3,1.2350562910208518e-15
5,3827.9,1.3375273842425239e-15
6,3853.4,1.3846337072986388e-15
7,3879.0,1.4137036661349977e-15
8,3904.6,1.7500688452828582e-15
9,3930.1,2.1263543223344508e-15
10,3955.7,2.360399881226288e-15
11,3981.3,2.3154683618084727e-15
12,4006.8,2.136055419634718e-15
13,4032.4,1.97224641224057e-15
14,4058.0,1.9379298086188627e-15
15,4083.6,2.148878485854519e-15
16,4109.1,2.516982402218699e-15
17,4134.7,2.793218690625121e-15
18,4160.3,2.8596637765937386e-15
19,4185.8,2.738609079763868e-15
20,4211.4,2.6266296917780794e-15
21,4237.0,2.491132572281471e-15
22,4262.6,2.255911077422323e-15
23,4288.1,1.95392202664423e-15
24,4313.7,1.5991784407520463e-15
25,4339.3,1.3202337201967278e-15
26,4364.8,1.4624782695742683e-15
27,4390.4,1.7247184381977842e-15
28,4416.0,1.8844886216466227e-15
29,4441.6,1.92988261224955e-15
30,4467.1,1.829302520903604e-15
31,4492.7,1.9980640482319253e-15
32,4518.3,2.1687870665975144e-15
33,4543.8,2.310721698557908e-15
34,4569.4,2.4264343227564708e-15
35,4595.0,2.383572186264511e-15
36,4620.5,2.2600269610020434e-15
37,4646.1,2.308096791752062e-15
38,4671.7,2.2229230778796836e-15
39,4697.3,1.9831289917385628e-15
40,4722.8,1.815911283317994e-15
41,4748.4,1.790259718147072e-15
42,4774.0,1.808429381728023e-15
43,4799.5,1.7016611438603941e-15
44,4825.1,1.6327487366099836e-15
45,4850.7,1.636625546582988e-15
46,4876.3,1.4713942143953926e-15
47,4901.8,1.2414745350629819e-15
48,4927.4,1.1025299238370654e-15
49,4953.0,1.1805750249417675e-15
50,4978.5,1.2500396234204243e-15
51,5004.1,1.297742070151855e-15
52,5029.7,1.3489503506000834e-15
53,5055.3,1.3868875079996783e-15
54,5080.8,1.5204699707574676e-15
55,5106.4,1.5032075891763459e-15
56,5132.0,1.5218183993748483e-15
57,5157.5,1.5726128944159004e-15
58,5183.1,1.5601952528076686e-15
59,5208.7,1.5014318461703163e-15
60,5234.2,1.5058132489000925e-15
61,5259.8,1.4912082746120462e-15
62,5285.4,1.4375171154772296e-15
63,5311.0,1.2488784390118182e-15
64,5336.5,1.1099962552429252e-15
65,5362.1,1.0850434180394096e-15
66,5387.7,1.1280901201930955e-15
67,5413.2,1.1763888011641418e-15
68,5438.8,1.1875803911393713e-15
69,5464.4,1.15246218862049e-15
70,5490.0,1.0879912547146108e-15
71,5515.5,9.969509805420553e-16
72,5541.1,1.0647281134925744e-15
73,5566.7,1.198862764100865e-15
74,5592.2,1.3198853156781345e-15
75,5617.8,1.3750717121919149e-15
76,5643.4,1.3856727596660762e-15
77,5668.9,1.3190295768200618e-15
78,5694.5,1.3671085224900258e-15
79,5720.1,1.357865691132465e-15
80,5745.7,1.2855955666733373e-15
81,5771.2,1.1611785798037566e-15
82,5796.8,1.049080263226184e-15
83,5822.4,1.0113701957104898e-15
84,5847.9,1.014821719521359e-15
85,5873.5,1.0548011916982094e-15
86,5899.1,9.687143204462282e-16
87,5924.7,1.1744532083669936e-15
88,5950.2,1.2038086374420213e-15
89,5975.8,1.1658434744944589e-15
90,6001.4,1.2519754779030424e-15
91,6026.9,1.1804498586724945e-15
92,6052.5,1.2271041901219782e-15
93,6078.1,1.1243494734050894e-15
94,6103.7,9.585011343599018e-16
95,6129.2,7.557968024435021e-16
96,6154.8,5.870764590646533e-16
97,6180.4,4.409659082503273e-16
98,6205.9,4.60506159941134e-16
99,6231.5,5.190811919459343e-16
100,6257.1,6.512745306469697e-16
101,6282.6,8.491188604916381e-16
102,6308.2,9.681608852418959e-16
103,6333.8,1.11279145806132e-15
104,6359.4,1.1978589449181084e-15
105,6384.9,1.2441417994956288e-15
106,6410.5,1.2697168172202423e-15
107,6436.1,1.2654571005152281e-15
108,6461.6,1.2440239927973328e-15
109,6487.2,1.2466559252617501e-15
110,6512.8,1.1852187880483327e-15
111,6538.4,1.143296863079257e-15
112,6563.9,1.1207408949235383e-15
113,6589.5,1.0793706758755399e-15
114,6615.1,1.0589353666963592e-15
115,6640.6,1.0751341813686518e-15
116,6666.2,1.1044147206625336e-15
117,6691.8,1.0784205259356999e-15
118,6717.4,9.833726300145716e-16
119,6742.9,9.323535573829967e-16
120,6768.5,9.301614629457615e-16
121,6794.1,9.028666059572822e-16
122,6819.6,8.98994308787151e-16
123,6845.2,9.106667026026664e-16
124,6870.8,8.95226116876944e-16
125,6896.3,8.845657107042875e-16
126,6921.9,8.836539272212077e-16
127,6947.5,8.626005145709498e-16
128,6973.1,8.361455794490486e-16
129,6998.6,8.125515549298089e-16
130,7024.2,8.101047634201112e-16
131,7049.8,8.160125175340506e-16
132,7075.3,7.990173525260036e-16
133,7100.9,7.8576134202123e-16
134,7126.5,7.916717538024692e-16
135,7152.1,7.876676692521663e-16
136,7177.6,7.846828521156975e-16
137,7203.2,7.71581188285299e-16
138,7228.8,7.505191635385013e-16
139,7254.3,7.392545072183727e-16
140,7279.9,7.324906950766045e-16
141,7305.5,7.288753124757265e-16
142,7331.1,7.28066108877107e-16
143,7356.6,7.2031645298151595e-16
144,7382.2,7.030621312099849e-16
145,7407.8,6.890737814597323e-16
146,7433.3,6.737641681488194e-16
147,7458.9,6.633876764028946e-16
148,7484.5,6.439830267594314e-16
149,7510.0,6.165732713041527e-16
150,7535.6,6.083730014741137e-16
151,7561.2,6.077598805813356e-16
152,7586.8,6.079275222629653e-16
153,7612.3,5.990841535674517e-16
154,7637.9,5.814664402555727e-16
155,7663.5,5.802079671401786e-16
156,7689.0,5.963897093971187e-16
157,7714.6,6.119955441812021e-16
158,7740.2,6.22702290984587e-16
159,7765.8,6.339509810369378e-16
160,7791.3,6.399817059926416e-16
161,7816.9,6.477761003716355e-16
162,7842.5,6.6806497149278175e-16
163,7868.0,6.707505071156534e-16
164,7893.6,6.743168678316969e-16
165,7919.2,6.856114436404357e-16
166,7944.7,6.832095496671125e-16
167,7970.3,6.740822443221803e-16
168,7995.9,6.560385617387976e-16
169,8021.5,6.330607681283067e-16
170,8047.0,6.184821575076428e-16
171,8072.6,6.053520585058538e-16
172,8098.2,5.901499832482836e-16
173,8123.7,5.87829327709759e-16
174,8149.3,5.830955644509997e-16
175,8174.9,5.637676426772546e-16
176,8200.5,5.537909298315276e-16
177,8226.0,5.398811679504969e-16
178,8251.6,5.131645869978538e-16
179,8277.2,4.939290477582234e-16
180,8302.7,4.697913688191817e-16
181,8328.3,4.408666926204351e-16
182,8353.9,4.476283458523095e-16
183,8379.5,4.709995712318073e-16
184,8405.0,4.63104427601392e-16
185,8430.6,4.496503534056959e-16
186,8456.2,4.629508435790194e-16
187,8481.7,4.810407631530013e-16
188,8507.3,4.99550305225561e-16
189,8532.9,5.278515937686154e-16
190,8558.4,5.565648197662871e-16
