,wl,fl
0,3700.0,1.3344868842533224e-21
1,3725.6,1.0100976386719025e-23
2,3751.1,1.769433738242918e-23
3,3776.7,8.243267635810886e-30
4,3802.3,4.637716193574982e-22
5,3827.9,6.255268597760171e-22
6,3853.4,2.1081294833559532e-23
7,3879.0,1.504087786731363e-23
8,3904.6,2.411416669495366e-21
9,3930.1,1.1243390237866384e-21
10,3955.7,5.630742844173569e-22
11,3981.3,1.0504030720043892e-16
12,4006.8,9.034792953924048e-16
13,4032.4,4.614448267963914e-16
14,4058.0,6.116484957230662e-16
15,4083.6,4.147228210136583e-16
16,4109.1,4.67554051803375e-16
17,4134.7,5.369465885987049e-16
18,4160.3,4.856445980214577e-16
19,4185.8,7.913817429466394e-16
20,4211.4,6.081198724769282e-16
21,4237.0,7.005584489525307e-16
22,4262.6,5.998672089817275e-16
23,4288.1,6.128845968042446e-16
24,4313.7,5.812451336831227e-16
25,4339.3,5.889143226070408e-16
26,4364.8,5.630631290059669e-16
27,4390.4,4.509530224694637e-16
28,4416.0,4.1657972298097836e-16
29,4441.6,5.143819721719516e-16
30,4467.1,4.281296540460775e-16
31,4492.7,4.818431310545761e-16
32,4518.3,5.675097227885469e-16
33,4543.8,5.00449043241419e-16
34,4569.4,5.599402829966809e-16
35,4595.0,7.41060081526326e-16
36,4620.5,5.471652297580178e-16
37,4646.1,6.603396106442275e-16
38,4671.7,6.225754944428995e-16
39,4697.3,5.4958139318011455e-16
40,4722.8,6.157345334042465e-16
41,4748.4,5.165210801110776e-16
42,4774.0,5.345021290316788e-16
43,4799.5,4.705884750822344e-16
44,4825.1,5.484634286315363e-16
45,4850.7,5.879791567587474e-16
46,4876.3,4.836179424358185e-16
47,4901.8,4.263540961409099e-16
48,4927.4,4.963596587327198e-16
49,4953.0,4.0178724513146004e-16
50,4978.5,4.506578742595642e-16
51,5004.1,4.708129001264583e-16
52,5029.7,4.627948416559835e-16
53,5055.3,4.038703183103554e-16
54,5080.8,3.9826605358458354e-16
