,wl,fl
0,3502.4284668,-5.861237982403853e-15
1,3509.40864944,2.451421665742561e-15
2,3516.38883209,1.4265926748126697e-14
3,3523.36901474,-2.900124054418678e-15
4,3530.34919739,1.726389147778006e-14
5,3537.32938004,1.586565683378506e-15
6,3544.30956268,8.201297531829022e-15
7,3551.28974533,4.517052750171077e-15
8,3558.26992798,4.950533593026707e-15
9,3565.25011063,-2.8752589410879886e-15
10,3572.23029327,1.104725397291467e-14
11,3579.21047592,-5.833021213606843e-16
12,3586.19065857,6.198557984843439e-15
13,3593.17084122,5.148948883627952e-15
14,3600.15102386,3.1266954975246374e-15
15,3607.13120651,-1.2546291040907713e-15
16,3614.11138916,4.688325754736417e-15
17,3621.09157181,3.887993124318231e-15
18,3628.07175446,1.6352137241488788e-15
19,3635.0519371,2.752043718424748e-15
20,3642.03211975,1.3774108943840821e-15
21,3649.0123024,2.719712756450099e-15
22,3655.99248505,1.876267682248689e-15
23,3662.97266769,2.217903001079496e-15
24,3669.95285034,2.758319566103216e-15
25,3676.93303299,3.1797511606747193e-15
26,3683.91321564,3.1177498547212623e-16
27,3690.89339828,2.7080084154071768e-15
28,3697.87358093,2.5913069309286262e-15
29,3704.85376358,1.800298613144675e-15
30,3711.83394623,2.0229325076937666e-15
31,3718.81412888,2.7269493453134444e-15
32,3725.79431152,2.5830314708825955e-15
33,3732.77449417,1.9214128859624246e-15
34,3739.75467682,2.825040511646658e-15
35,3746.73485947,2.782560965244232e-15
36,3753.71504211,3.1055766142016788e-15
37,3760.69522476,2.925068597832549e-15
38,3767.67540741,2.21045142264463e-15
39,3774.65559006,2.6574090545793412e-15
40,3781.63577271,2.9518709677904572e-15
41,3788.61595535,3.0135326043154346e-15
42,3795.596138,2.9432579421604518e-15
43,3802.57632065,2.8432605537876362e-15
44,3809.5565033,3.013577935619149e-15
45,3816.53668594,3.142037240067444e-15
46,3823.51686859,3.3021467672518062e-15
47,3830.49705124,3.3180821726681564e-15
48,3837.47723389,3.3090557432629592e-15
49,3844.45741653,3.1487124409304518e-15
50,3851.43759918,3.505321942336692e-15
51,3858.41778183,3.560109911271638e-15
52,3865.39796448,3.519534002382666e-15
53,3872.37814713,3.537161036923671e-15
54,3879.35832977,3.575466309523062e-15
55,3886.33851242,3.6147865959431396e-15
56,3893.31869507,3.5020664416554356e-15
57,3900.29887772,3.5404709976238377e-15
58,3907.27906036,3.3607698077630654e-15
59,3914.25924301,3.415046699991416e-15
60,3921.23942566,3.310566396040844e-15
61,3928.21960831,3.415008313772485e-15
62,3935.19979095,3.636419222343188e-15
63,3942.1799736,3.3244880293729117e-15
64,3949.16015625,3.4263515105568493e-15
65,3956.1403389,3.481864285852009e-15
66,3963.12052155,3.4378314772574882e-15
67,3970.10070419,3.3100396415371354e-15
68,3977.08088684,3.471653031878833e-15
69,3984.06106949,3.6344731496879585e-15
70,3991.04125214,3.648839993439906e-15
71,3998.02143478,3.642509765942682e-15
72,4005.00161743,3.642622384118636e-15
73,4011.98180008,3.787770882869237e-15
74,4018.96198273,3.657552234848722e-15
75,4025.94216537,3.873530124395443e-15
76,4032.92234802,3.778224439383102e-15
77,4039.90253067,3.770405749998482e-15
78,4046.88271332,3.6610505055991435e-15
79,4053.86289597,3.7489087988300095e-15
80,4060.84307861,3.747357024207086e-15
81,4067.82326126,3.831806379470501e-15
82,4074.80344391,3.6305927172713065e-15
83,4081.78362656,3.574438082719673e-15
84,4088.7638092,3.426489697083352e-15
85,4095.74399185,3.425213985100457e-15
86,4102.7241745,3.4902427887049227e-15
87,4109.70435715,3.3723465758725223e-15
88,4116.68453979,3.369725246747744e-15
89,4123.66472244,3.3413554958603415e-15
90,4130.64490509,3.4173091297163186e-15
91,4137.62508774,3.380442214028905e-15
92,4144.60527039,3.380838665273269e-15
93,4151.58545303,3.3510867587749956e-15
94,4158.56563568,3.2212095263231053e-15
95,4165.54581833,3.171614977225193e-15
96,4172.52600098,3.1395981734608274e-15
97,4179.50618362,2.973819766575158e-15
98,4186.48636627,2.955989576580624e-15
99,4193.46654892,2.9099304790802937e-15
100,4200.44673157,2.9221444762758628e-15
101,4207.42691422,2.7076662082838216e-15
102,4214.40709686,2.5888304131582005e-15
103,4221.38727951,2.558663501711315e-15
104,4228.36746216,2.519367139134767e-15
105,4235.34764481,2.4657059272623607e-15
106,4242.32782745,2.3634969921098815e-15
107,4249.3080101,2.2726245927534312e-15
108,4256.28819275,2.2967709016044045e-15
109,4263.2683754,2.2994832950568562e-15
110,4270.24855804,2.2896148568972026e-15
111,4277.22874069,2.2790507121572416e-15
112,4284.20892334,2.3133531621507005e-15
113,4291.18910599,2.3983277310761933e-15
114,4298.16928864,2.414060184866692e-15
115,4305.14947128,2.378221820441162e-15
116,4312.12965393,2.4521972133879406e-15
117,4319.10983658,2.582096634827446e-15
118,4326.09001923,2.6112580450828853e-15
