,wl,fl
0,3700.0,4.2389092147370257e-16
1,3725.6,4.2549248029544343e-16
2,3751.1,5.727783442789071e-16
3,3776.7,5.00528282136177e-16
4,3802.3,4.376380259754462e-16
5,3827.9,3.6439099503708337e-16
6,3853.4,2.614236367994833e-16
7,3879.0,2.4195777952577335e-16
8,3904.6,2.8827072594462037e-16
9,3930.1,3.267604304174661e-16
10,3955.7,3.7861836601262507e-16
11,3981.3,3.6982017734095556e-16
12,4006.8,4.2377111723955903e-16
13,4032.4,4.909493691853537e-16
14,4058.0,5.365927024445009e-16
15,4083.6,6.728956672419659e-16
16,4109.1,6.020877448844185e-16
17,4134.7,6.193745895836692e-16
18,4160.3,5.141812652775478e-16
19,4185.8,5.123243986337907e-16
20,4211.4,5.790083233894191e-16
21,4237.0,6.46701061431058e-16
22,4262.6,6.145673559619951e-16
23,4288.1,6.688505280458384e-16
24,4313.7,5.453420212989679e-16
25,4339.3,5.260738984104466e-16
26,4364.8,5.053230347367066e-16
27,4390.4,4.531716764063432e-16
28,4416.0,4.144694744381232e-16
29,4441.6,4.359046113348182e-16
30,4467.1,3.6159430521348665e-16
31,4492.7,3.646274046114496e-16
32,4518.3,3.649839763486547e-16
33,4543.8,3.952790557230904e-16
34,4569.4,3.8600433380587385e-16
35,4595.0,3.671263596227418e-16
36,4620.5,3.799776882795627e-16
37,4646.1,3.8940278456259094e-16
38,4671.7,4.1823374301242137e-16
39,4697.3,4.1238969899901877e-16
40,4722.8,3.9472478934111025e-16
41,4748.4,4.2607593617792395e-16
42,4774.0,4.049107566993279e-16
43,4799.5,3.637593988488436e-16
44,4825.1,3.84876751194149e-16
45,4850.7,3.2867423128941953e-16
46,4876.3,3.430965455227456e-16
47,4901.8,3.3392331510285874e-16
48,4927.4,3.153073481354355e-16
49,4953.0,3.3789735239454144e-16
50,4978.5,3.05292177242722e-16
51,5004.1,3.0570287116976377e-16
52,5029.7,2.7483561374564425e-16
53,5055.3,2.4992921151584316e-16
54,5080.8,2.0989217666787056e-16
55,5106.4,2.3163340003137493e-16
56,5132.0,2.278441953149519e-16
57,5157.5,2.5591665345273807e-16
58,5183.1,2.4746913063091455e-16
59,5208.7,2.73508274276423e-16
60,5234.2,2.660154291857516e-16
61,5259.8,2.7406581198671e-16
62,5285.4,2.9299540930957485e-16
63,5311.0,2.818108845380821e-16
64,5336.5,2.8795255409505906e-16
65,5362.1,3.010585194732787e-16
66,5387.7,2.58755562219563e-16
67,5413.2,2.7640189514096596e-16
68,5438.8,2.5301254916452247e-16
69,5464.4,2.423957032150157e-16
70,5490.0,2.403238671111693e-16
71,5515.5,2.1370196062512478e-16
72,5541.1,2.1185196532101065e-16
73,5566.7,2.10425112561243e-16
74,5592.2,2.1752853429090496e-16
75,5617.8,2.1704990911166737e-16
76,5643.4,2.0204997461988728e-16
77,5668.9,1.9368676571140454e-16
78,5694.5,1.9447898643240598e-16
79,5720.1,1.986363580928787e-16
80,5745.7,2.110973828881529e-16
81,5771.2,2.2040001346494303e-16
82,5796.8,2.4083668716037732e-16
83,5822.4,2.39308295665826e-16
84,5847.9,2.4040712134160556e-16
85,5873.5,2.351006165627545e-16
86,5899.1,2.3284147431578626e-16
87,5924.7,2.2103305171757288e-16
88,5950.2,2.1940888069626898e-16
89,5975.8,1.9816816078069837e-16
90,6001.4,1.8375473870112103e-16
91,6026.9,1.9220759124840375e-16
92,6052.5,1.8765711029750092e-16
93,6078.1,1.9474317891335705e-16
94,6103.7,2.0350304295891697e-16
95,6129.2,2.0199227338456575e-16
96,6154.8,2.0676691679080728e-16
97,6180.4,2.001249452595348e-16
98,6205.9,1.9243916558188277e-16
99,6231.5,1.8580344194171989e-16
100,6257.1,1.6765854679677412e-16
101,6282.6,1.4847524241777862e-16
102,6308.2,1.2260484834804623e-16
103,6333.8,1.150486045981483e-16
104,6359.4,1.1701124973861168e-16
105,6384.9,1.0726407791006549e-16
106,6410.5,1.0682356431011446e-16
107,6436.1,1.1286240378492017e-16
108,6461.6,1.2151086215379113e-16
109,6487.2,1.434219158228721e-16
110,6512.8,1.5769996805208392e-16
111,6538.4,1.712411928680241e-16
112,6563.9,1.8602967710484613e-16
113,6589.5,1.8880909595035715e-16
114,6615.1,1.8991775266975707e-16
115,6640.6,1.9363431771668083e-16
116,6666.2,1.8670984144406549e-16
117,6691.8,1.8135250660588653e-16
118,6717.4,1.920540097212047e-16
119,6742.9,1.8294517571999138e-16
120,6768.5,1.7717500492067956e-16
121,6794.1,1.8297328507253817e-16
122,6819.6,1.696006511239456e-16
123,6845.2,1.6394092191466572e-16
124,6870.8,1.6036619919809424e-16
125,6896.3,1.5897942272304907e-16
126,6921.9,1.5082718032991942e-16
127,6947.5,1.420539012431749e-16
128,6973.1,1.3921494352228117e-16
129,6998.6,1.3720946286761247e-16
130,7024.2,1.3354062705502413e-16
131,7049.8,1.3444850651939355e-16
132,7075.3,1.3857886140915353e-16
133,7100.9,1.3262533767661097e-16
134,7126.5,1.2677821039356486e-16
135,7152.1,1.2446594445166167e-16
136,7177.6,1.213237537101068e-16
137,7203.2,1.1413257123529933e-16
138,7228.8,1.1078609243554304e-16
139,7254.3,1.1854854122628262e-16
140,7279.9,1.1395710400945338e-16
141,7305.5,1.0770736628635703e-16
142,7331.1,1.129756813380924e-16
143,7356.6,1.1450794326833098e-16
144,7382.2,1.1168411651917107e-16
145,7407.8,1.1280123652658556e-16
146,7433.3,1.1526553268969397e-16
147,7458.9,1.1233974306311427e-16
148,7484.5,1.1045132945599326e-16
149,7510.0,1.1187874708015618e-16
150,7535.6,1.0729846196277583e-16
151,7561.2,1.0510172938146745e-16
152,7586.8,1.0508001658943561e-16
153,7612.3,9.658131366079248e-17
154,7637.9,8.966938462488679e-17
155,7663.5,8.743688351989161e-17
