,wl,fl
0,3648.92118,5.3649092812975033e-17
1,3650.99464,4.9689839299763024e-17
2,3653.0681,4.603729099147771e-17
3,3655.14157,4.267998264287741e-17
4,3657.21503,3.960657450254135e-17
5,3659.28849,3.680548420731611e-17
6,3661.36196,3.4265254860363556e-17
7,3663.43542,3.1974555018663566e-17
8,3665.50888,2.992193331218269e-17
9,3667.58235,2.809594114656832e-17
10,3669.65581,2.6485132725796318e-17
11,3671.72927,2.507806500060883e-17
12,3673.80274,2.3863420305881502e-17
13,3675.8762,2.282963854129754e-17
14,3677.94966,2.1965407578989515e-17
15,3680.02313,2.125929545630551e-17
16,3682.09659,2.0699873013514116e-17
17,3684.17005,2.027559128855093e-17
18,3686.24352,1.9975271830790747e-17
19,3688.31698,1.9787493833537798e-17
20,3690.39044,1.970071672730568e-17
21,3692.46391,1.97036478618416e-17
22,3694.53737,1.978475232570404e-17
23,3696.61083,1.9932743091926095e-17
24,3698.6843,2.0136335933217825e-17
25,3700.75776,2.038400443079821e-17
26,3702.83122,1.924063943497308e-17
27,3704.90469,1.791073712288788e-17
28,3706.97815,1.7496458886679116e-17
29,3709.05161,1.7936024509558093e-17
30,3711.12507,1.6390170097035065e-17
31,3713.19854,1.6219884396874957e-17
32,3715.272,1.691353499533118e-17
33,3717.34546,1.614667393927652e-17
34,3719.41893,1.6535364335223032e-17
35,3721.49239,1.4744241775192074e-17
36,3723.56585,1.5942185594473407e-17
37,3725.63932,1.6903345008377046e-17
38,3727.71278,1.7135442806474743e-17
39,3729.78624,1.864658334003434e-17
40,3731.85971,1.9566987133044913e-17
41,3733.93317,2.1313114434368817e-17
42,3736.00663,2.2434651896197098e-17
43,3738.0801,2.415894695822917e-17
44,3740.15356,2.439879023890408e-17
45,3742.22702,2.582749183806109e-17
46,3744.30049,2.7681026021100364e-17
47,3746.37395,2.990658202582391e-17
48,3748.44741,3.1649259213990566e-17
49,3750.52088,3.354056644168964e-17
50,3752.59434,3.5602245098145443e-17
51,3754.6678,3.863375944741734e-17
52,3756.74127,3.550912188352357e-17
53,3758.81473,3.0856666922734004e-17
54,3760.88819,3.214564319680398e-17
55,3762.96165,3.3359246802131194e-17
56,3765.03512,3.381416413493532e-17
57,3767.10858,3.515010667713123e-17
58,3769.18204,3.700578053742359e-17
59,3771.25551,3.734935477581762e-17
60,3773.32897,3.880297255147017e-17
61,3775.40243,3.9929689427993743e-17
62,3777.4759,4.0990741741847697e-17
63,3779.54936,4.200838370066774e-17
64,3781.62282,4.2861892758028014e-17
65,3783.69629,4.445598849541948e-17
66,3785.76975,4.527926757785081e-17
67,3787.84321,4.710460625950709e-17
68,3789.91668,4.842075338979984e-17
69,3791.99014,4.8936471970189676e-17
70,3794.0636,4.959197049125882e-17
71,3796.13707,5.0870522586972907e-17
72,3798.21053,5.149134095240478e-17
73,3800.28399,5.303579469596353e-17
74,3802.35746,4.729913974103207e-17
75,3804.43092,4.7187911911238806e-17
76,3806.50438,4.6803196067906764e-17
77,3808.57785,4.621561625947608e-17
78,3810.65131,4.5891436061481175e-17
79,3812.72477,4.5207795443945626e-17
80,3814.79823,4.453950112812748e-17
81,3816.8717,4.3985169431442636e-17
82,3818.94516,4.329165536252378e-17
83,3821.01862,4.260286949554321e-17
84,3823.09209,4.2569462481157804e-17
85,3825.16555,4.141530893253052e-17
86,3827.23901,4.1359893111585096e-17
87,3829.31248,4.055929272693022e-17
88,3831.38594,4.015686252089899e-17
89,3833.4594,3.982596582300273e-17
90,3835.53287,3.9741377956135243e-17
91,3837.60633,3.890487204825743e-17
92,3839.67979,3.8639120189956137e-17
93,3841.75326,3.822547616274753e-17
94,3843.82672,3.765141250130981e-17
95,3845.90018,3.7138635189094696e-17
96,3847.97365,3.7133732223827635e-17
97,3850.04711,3.694522207905056e-17
98,3852.12057,3.7064541675194186e-17
99,3854.19404,3.707486277361875e-17
100,3856.2675,3.7110772050806623e-17
101,3858.34096,3.7405781053384815e-17
102,3860.41443,3.6937721474462864e-17
103,3862.48789,3.71672481001988e-17
104,3864.56135,3.707602394086418e-17
105,3866.63481,3.645723396768923e-17
106,3868.70828,3.6148470954842876e-17
107,3870.78174,3.58375548963505e-17
108,3872.8552,3.588737023810609e-17
109,3874.92867,3.506176052123742e-17
110,3877.00213,3.4533815578836193e-17
111,3879.07559,3.4569937190368975e-17
112,3881.14906,3.41068823019469e-17
113,3883.22252,3.3977535857270257e-17
114,3885.29598,3.332622324704612e-17
