,wl,fl
0,3700.0,1.1832641071294223e-21
1,3725.6,8.519985311858477e-17
2,3751.1,5.29490351304745e-17
3,3776.7,4.5513546256439635e-18
4,3802.3,8.972758086006122e-23
5,3827.9,6.932685028249732e-17
6,3853.4,6.047558332203739e-17
7,3879.0,4.6834785046355106e-23
8,3904.6,8.304337175893393e-17
9,3930.1,8.069530173221012e-17
10,3955.7,1.9701945579442768e-22
11,3981.3,3.7882435804451907e-17
12,4006.8,1.5051009536309705e-23
13,4032.4,6.089956141585579e-17
14,4058.0,8.979301610419702e-17
15,4083.6,7.195639377890697e-17
16,4109.1,7.492333888766306e-17
17,4134.7,1.262305023762316e-16
18,4160.3,7.700475380759921e-17
19,4185.8,5.240935992027273e-17
20,4211.4,1.095078395108195e-16
21,4237.0,9.739921449062296e-17
22,4262.6,8.100730702587552e-17
23,4288.1,1.1017029156926223e-16
24,4313.7,5.3255707532493524e-17
25,4339.3,8.376929544828831e-17
26,4364.8,2.850222952858564e-17
27,4390.4,5.1171720635621254e-17
28,4416.0,4.6275031659405465e-17
29,4441.6,4.4519374503843e-17
30,4467.1,7.179530957244055e-17
31,4492.7,5.240133875185691e-17
32,4518.3,6.078817959818003e-17
33,4543.8,6.255060353770144e-17
34,4569.4,4.2579182366700964e-17
35,4595.0,4.6329068346674506e-17
36,4620.5,7.245347270391743e-17
37,4646.1,5.3160958416341164e-17
38,4671.7,5.913095698467653e-17
39,4697.3,9.174911220650541e-17
40,4722.8,2.8450587617462514e-17
41,4748.4,6.63316625166749e-17
42,4774.0,4.4712507720867497e-17
43,4799.5,2.66386665108458e-17
44,4825.1,4.9180996805405167e-17
45,4850.7,3.6673553291212655e-17
46,4876.3,3.329921509611389e-17
47,4901.8,5.869553960572139e-17
48,4927.4,4.7675349221055974e-17
49,4953.0,4.9881421612518865e-17
50,4978.5,5.10108217023796e-17
51,5004.1,2.9505242121499155e-17
52,5029.7,1.6115436861645185e-17
53,5055.3,3.2454547301315844e-17
54,5080.8,3.5001065506446687e-17
55,5106.4,2.788184774476797e-17
56,5132.0,4.3663034122980646e-17
57,5157.5,4.094219171502728e-17
58,5183.1,3.832951417678843e-17
59,5208.7,3.652316649403459e-17
60,5234.2,4.057765727433548e-17
61,5259.8,4.8066715498819804e-17
62,5285.4,5.066739185642271e-17
63,5311.0,4.480759639747652e-17
64,5336.5,3.9767158936045237e-17
65,5362.1,2.793131646353408e-17
66,5387.7,3.5403782540029264e-17
67,5413.2,2.0471393129237852e-17
68,5438.8,3.1043452827974766e-17
69,5464.4,1.7328991391686647e-17
70,5490.0,2.827506670773885e-17
71,5515.5,1.8474185822536446e-17
72,5541.1,3.2478341815208296e-17
73,5566.7,2.6359962453511948e-17
74,5592.2,2.5799321808947536e-17
75,5617.8,3.424884117997365e-17
76,5643.4,1.5009772703383025e-17
77,5668.9,2.4021111656951235e-17
78,5694.5,2.5045707932212808e-17
79,5720.1,3.8262736280474885e-17
80,5745.7,3.3263811175110644e-17
81,5771.2,2.3004820565901236e-17
82,5796.8,4.308628665322516e-17
83,5822.4,3.187645997107182e-17
84,5847.9,3.144177715029538e-17
85,5873.5,2.7272365237285567e-17
86,5899.1,1.8250094899055986e-17
87,5924.7,2.2476840680206063e-17
88,5950.2,2.800201352895781e-17
89,5975.8,2.2800253140995285e-17
90,6001.4,2.0611212072775383e-17
91,6026.9,2.707066526402582e-17
92,6052.5,1.9737358203090034e-17
93,6078.1,2.244899528194464e-17
94,6103.7,3.2245017406978943e-17
95,6129.2,1.788216237538748e-17
96,6154.8,1.0706925084673995e-17
97,6180.4,1.447641515748967e-17
98,6205.9,1.1586345235799414e-17
99,6231.5,1.367981720124278e-17
100,6257.1,1.1485156554269589e-17
101,6282.6,1.2159816135642042e-17
102,6308.2,1.0783274833119267e-17
103,6333.8,5.315903151005536e-18
104,6359.4,1.629607206153393e-17
105,6384.9,1.7367786340777214e-17
106,6410.5,1.9128308032957375e-17
107,6436.1,2.3511851231613512e-17
108,6461.6,3.1303781510783347e-17
109,6487.2,2.4554897634479996e-17
110,6512.8,2.3953991790317278e-17
111,6538.4,2.5762318184904726e-17
112,6563.9,2.7713108489415013e-17
113,6589.5,3.397533894032734e-17
114,6615.1,2.4105523328518568e-17
115,6640.6,2.5201235117384445e-17
116,6666.2,3.2462849610098915e-17
117,6691.8,2.836308591769355e-17
118,6717.4,3.1235732633934266e-17
119,6742.9,3.283419291908513e-17
120,6768.5,2.7204445568967926e-17
121,6794.1,3.341970169943719e-17
122,6819.6,3.979435331473239e-17
123,6845.2,4.480543700665353e-17
124,6870.8,4.73743649984505e-17
125,6896.3,3.916124088777295e-17
126,6921.9,2.7199657328514745e-17
127,6947.5,2.0920733274115878e-17
128,6973.1,1.6563061622572074e-17
129,6998.6,1.9326687116109117e-17
130,7024.2,2.3219887976585222e-17
131,7049.8,1.914232966280162e-17
132,7075.3,1.7430295688530826e-17
133,7100.9,2.2097942598920685e-17
134,7126.5,2.203189932800525e-17
135,7152.1,1.963004829675946e-17
136,7177.6,1.9543421999097622e-17
137,7203.2,1.694804604983299e-17
138,7228.8,1.4070596596612158e-17
139,7254.3,1.3275507703516858e-17
140,7279.9,1.4132955934443998e-17
141,7305.5,1.3513542152857802e-17
142,7331.1,1.6785036843984757e-17
143,7356.6,2.1156414097973864e-17
144,7382.2,2.0850980334010963e-17
145,7407.8,1.5493956680552224e-17
146,7433.3,1.5169913383230596e-17
147,7458.9,2.025270700672094e-17
148,7484.5,1.8346835571398986e-17
149,7510.0,1.5484656963711347e-17
150,7535.6,1.6380265517169154e-17
151,7561.2,1.6785459434215867e-17
152,7586.8,1.7462088333548906e-17
153,7612.3,1.720347714141418e-17
154,7637.9,1.0792729223155479e-17
155,7663.5,5.409978626278282e-18
156,7689.0,4.2277571944567486e-18
157,7714.6,2.8579719754292834e-18
158,7740.2,6.966345935269151e-18
159,7765.8,7.538310878944646e-18
160,7791.3,7.407940584511231e-18
161,7816.9,1.3325662370412413e-17
162,7842.5,1.331922811131177e-17
163,7868.0,8.699315137529576e-18
164,7893.6,6.5440645729072645e-18
165,7919.2,5.542627662752552e-18
166,7944.7,5.028128427431767e-18
167,7970.3,7.818208238824617e-18
168,7995.9,1.556867302783151e-17
169,8021.5,1.7071194295740492e-17
170,8047.0,1.3021160229080684e-17
171,8072.6,1.1140471086652927e-17
172,8098.2,1.1156921685554116e-17
173,8123.7,1.5166989677214343e-17
174,8149.3,1.6644974886244768e-17
175,8174.9,1.7605461922224272e-17
176,8200.5,2.0446392796330068e-17
177,8226.0,1.5054075208136407e-17
178,8251.6,8.699846580671163e-18
179,8277.2,1.1272705680493047e-17
180,8302.7,7.076239756868977e-18
181,8328.3,4.620023886369758e-18
182,8353.9,3.3614329079382704e-18
183,8379.5,2.1457067806387376e-18
184,8405.0,2.4823002812324625e-18
185,8430.6,1.4253763619957837e-18
186,8456.2,1.7555796449634563e-18
187,8481.7,5.6059984259740954e-18
188,8507.3,7.617909560067286e-18
189,8532.9,7.134874619145884e-18
190,8558.4,5.471224363307052e-18
191,8584.0,3.687058826603424e-18
192,8609.6,2.1114447602965657e-18
193,8635.2,3.9416219731126235e-18
194,8660.7,7.134406341118142e-18
195,8686.3,9.362631576268748e-18
196,8711.9,1.4525320231106275e-17
197,8737.4,1.5426501616594553e-17
198,8763.0,9.47868823438437e-18
199,8788.6,4.263663400790121e-18
200,8814.2,3.992809011754558e-18
201,8839.7,8.204507329396479e-18
202,8865.3,7.030056413120554e-18
203,8890.9,3.205902237158594e-19
204,8916.4,4.081420240861501e-21
205,8942.0,1.2866945986403133e-17
206,8967.6,2.3164381507897023e-17
207,8993.2,1.631353366638929e-17
208,9018.7,8.610306212947322e-18
209,9044.3,1.7133079790654562e-17
210,9069.9,1.968772899148023e-17
211,9095.4,8.782520827612593e-18
212,9121.0,4.503104293396202e-18
213,9146.6,5.1066783055185754e-18
214,9172.1,4.887874768250644e-18
215,9197.7,7.829351930111533e-18
216,9223.3,1.0265711502268946e-17
217,9248.9,5.745734163255957e-18
218,9274.4,6.337648842879219e-22
219,9300.0,1.381403572636167e-25
