,wl,fl
0,3700.0,5.792573162110815e-16
1,3725.6,5.027585622256171e-16
2,3751.1,5.477428821403182e-16
3,3776.7,3.7973926347995513e-16
4,3802.3,4.048454291534045e-16
5,3827.9,4.241272272355741e-16
6,3853.4,3.8957470237586335e-16
7,3879.0,4.727516747694035e-16
8,3904.6,5.298609814036023e-16
9,3930.1,1.7462801105484237e-16
10,3955.7,2.703433158258304e-16
11,3981.3,3.0857084301686783e-16
12,4006.8,3.5804311904795925e-16
13,4032.4,3.9913992041447465e-16
14,4058.0,4.307319681937047e-16
15,4083.6,4.0986021262555853e-16
16,4109.1,4.649139360566879e-16
17,4134.7,4.182133600817262e-16
18,4160.3,4.0946040440817355e-16
19,4185.8,3.1886901853476874e-16
20,4211.4,3.910238857403721e-16
21,4237.0,3.300830628013554e-16
22,4262.6,3.8937785202265383e-16
23,4288.1,4.017005006401769e-16
24,4313.7,3.0743578918361814e-16
25,4339.3,3.876015748768135e-16
26,4364.8,3.2653711792829034e-16
27,4390.4,3.4387645193722685e-16
28,4416.0,3.5570411089751953e-16
29,4441.6,3.535234908207729e-16
30,4467.1,3.3148248318461102e-16
31,4492.7,2.455439899784434e-16
32,4518.3,3.370249488088601e-16
33,4543.8,2.241730003689381e-16
34,4569.4,2.6114574692534347e-16
35,4595.0,2.425577834850094e-16
36,4620.5,3.260287803667619e-16
37,4646.1,2.8338268623212164e-16
38,4671.7,2.742138353537663e-16
39,4697.3,3.4730196152557326e-16
40,4722.8,2.9149081668714903e-16
41,4748.4,3.4624237321450884e-16
42,4774.0,3.6682562923108533e-16
43,4799.5,3.265109408931117e-16
44,4825.1,3.0683760619370423e-16
45,4850.7,3.3191645236204487e-16
46,4876.3,3.034493023705365e-16
47,4901.8,3.1876232042379906e-16
48,4927.4,2.9304720944941276e-16
49,4953.0,2.8293200927900857e-16
50,4978.5,2.645997006539776e-16
51,5004.1,2.7029145333981997e-16
52,5029.7,2.366792047281101e-16
53,5055.3,2.2463072834980946e-16
54,5080.8,2.558094784600746e-16
55,5106.4,1.9881278969156082e-16
56,5132.0,2.028672821734181e-16
57,5157.5,1.6491597592024417e-16
58,5183.1,1.951959677897615e-16
59,5208.7,1.9671924997080116e-16
60,5234.2,2.0250142977056461e-16
61,5259.8,2.064083254108824e-16
62,5285.4,2.2025263106030138e-16
63,5311.0,1.87986799130781e-16
64,5336.5,2.1240127491020364e-16
65,5362.1,2.1048109892464626e-16
66,5387.7,2.0053475065074702e-16
67,5413.2,2.1996192735255384e-16
68,5438.8,2.0005783361232024e-16
69,5464.4,2.0172832219394808e-16
70,5490.0,1.8650288647693726e-16
71,5515.5,1.688414524205196e-16
72,5541.1,1.7134481611190414e-16
73,5566.7,1.7958271427022375e-16
74,5592.2,1.3974456122922589e-16
75,5617.8,1.530813914688063e-16
76,5643.4,1.6885277488054463e-16
77,5668.9,1.555295821115149e-16
78,5694.5,1.5493845825104266e-16
79,5720.1,1.4167185642479982e-16
80,5745.7,1.2395732386687922e-16
81,5771.2,1.358948714635363e-16
82,5796.8,1.504203512448183e-16
83,5822.4,1.4521511452223166e-16
84,5847.9,1.680555931401672e-16
85,5873.5,1.4422318042857748e-16
86,5899.1,1.5149147287888058e-16
87,5924.7,1.54900327786907e-16
88,5950.2,1.658537325658289e-16
89,5975.8,1.547963928633759e-16
90,6001.4,1.5117111072841047e-16
91,6026.9,1.2671695644008163e-16
92,6052.5,1.2764342290066215e-16
93,6078.1,1.3246228633140913e-16
94,6103.7,1.324411766307993e-16
95,6129.2,1.3445276074897054e-16
96,6154.8,1.3126025224784617e-16
97,6180.4,1.4175697855968505e-16
98,6205.9,1.3578117898386442e-16
99,6231.5,1.451133399192675e-16
100,6257.1,1.5114263344491864e-16
101,6282.6,1.4782615560432998e-16
102,6308.2,1.486743753353042e-16
103,6333.8,1.3907469968986774e-16
104,6359.4,1.115676176180306e-16
105,6384.9,1.1269174593918976e-16
106,6410.5,8.661437491915479e-17
107,6436.1,6.048003155166669e-17
108,6461.6,7.429906566586752e-17
109,6487.2,7.028062056188493e-17
110,6512.8,6.251059486337158e-17
111,6538.4,8.659056983564462e-17
112,6563.9,9.279391384344824e-17
113,6589.5,1.1320420255470292e-16
114,6615.1,1.294909639134115e-16
115,6640.6,1.1518823595964771e-16
116,6666.2,1.2348152234314584e-16
117,6691.8,1.2945069906897289e-16
118,6717.4,1.3191405256412985e-16
119,6742.9,1.3375385847927963e-16
120,6768.5,1.2471219693328246e-16
121,6794.1,1.192578055540422e-16
122,6819.6,1.22461218279972e-16
123,6845.2,1.213325758724965e-16
124,6870.8,1.1214478815438298e-16
125,6896.3,1.1218525095528418e-16
126,6921.9,1.0781602560768296e-16
127,6947.5,1.0930777168072989e-16
128,6973.1,9.4239818557623e-17
129,6998.6,8.400306048493538e-17
130,7024.2,9.361033386431088e-17
131,7049.8,9.607519620468034e-17
132,7075.3,9.51427367446929e-17
133,7100.9,9.289527084301144e-17
134,7126.5,8.720659709500723e-17
135,7152.1,8.39504905229919e-17
136,7177.6,8.070160266290353e-17
137,7203.2,7.442495546979073e-17
138,7228.8,7.416313554396366e-17
139,7254.3,8.868980367906704e-17
140,7279.9,8.427552885378219e-17
141,7305.5,7.135064511728329e-17
142,7331.1,7.838459888161722e-17
143,7356.6,8.440287483277979e-17
144,7382.2,7.916865407748387e-17
145,7407.8,7.443899927929598e-17
146,7433.3,7.83265353909421e-17
147,7458.9,7.205887375014022e-17
148,7484.5,8.08103625670437e-17
149,7510.0,7.916697037756754e-17
150,7535.6,7.218837551206976e-17
151,7561.2,7.414447502933173e-17
152,7586.8,8.372886193928711e-17
153,7612.3,7.667271771829433e-17
154,7637.9,7.22653366970531e-17
155,7663.5,7.240374559607653e-17
156,7689.0,6.570317764265743e-17
157,7714.6,5.690151833563107e-17
158,7740.2,5.170287750810003e-17
159,7765.8,5.629722420581838e-17
160,7791.3,6.371338671762726e-17
161,7816.9,5.740018985320661e-17
162,7842.5,4.5296260162075546e-17
163,7868.0,4.6289385078185295e-17
164,7893.6,5.2329395734201315e-17
165,7919.2,5.4621664398694365e-17
166,7944.7,5.443747767636338e-17
167,7970.3,5.056071950310232e-17
168,7995.9,5.025197602307833e-17
169,8021.5,5.080094582479629e-17
170,8047.0,4.909785035150595e-17
171,8072.6,5.496592915116264e-17
172,8098.2,6.713107761186226e-17
173,8123.7,6.986117233142472e-17
174,8149.3,6.715450625088323e-17
175,8174.9,7.135038546008801e-17
176,8200.5,7.26940102268008e-17
177,8226.0,7.06695560058071e-17
178,8251.6,6.80555858090306e-17
179,8277.2,5.758724727943893e-17
180,8302.7,5.2818940991344546e-17
181,8328.3,5.310796634374719e-17
182,8353.9,4.798183838490776e-17
183,8379.5,5.274735727275841e-17
184,8405.0,5.672962343115812e-17
185,8430.6,5.042390144098317e-17
186,8456.2,4.6382727115361693e-17
187,8481.7,4.699027551458776e-17
188,8507.3,4.03410154871724e-17
189,8532.9,3.3196000881480036e-17
190,8558.4,3.167189106419886e-17
191,8584.0,3.1186158249829586e-17
192,8609.6,2.7309404552317097e-17
193,8635.2,2.140534998799998e-17
194,8660.7,2.0608244937116254e-17
195,8686.3,2.54797920785499e-17
196,8711.9,2.9541843816863045e-17
197,8737.4,3.2074764822308485e-17
198,8763.0,3.4535602235245276e-17
199,8788.6,3.379043882185509e-17
200,8814.2,3.022329668402145e-17
201,8839.7,2.671863737967164e-17
202,8865.3,3.060476240646323e-17
203,8890.9,3.172538983460322e-17
204,8916.4,3.0610531967744795e-17
205,8942.0,3.435098749273981e-17
206,8967.6,4.079716059808098e-17
207,8993.2,5.991267328644029e-17
208,9018.7,7.155718822796327e-17
209,9044.3,5.4591681940516626e-17
210,9069.9,4.0940599454426235e-17
211,9095.4,5.055297873347743e-17
212,9121.0,6.165452321043689e-17
213,9146.6,6.173287391651682e-17
