,wl,fl
0,3700.0,1.5282441670595478e-16
1,3725.6,7.178841712158056e-17
2,3751.1,1.1649464955108036e-16
3,3776.7,4.70410309440744e-17
4,3802.3,1.0156418427300989e-16
5,3827.9,4.481796701863957e-17
6,3853.4,9.923165394745199e-17
7,3879.0,4.739772244357348e-17
8,3904.6,3.7352900756244706e-17
9,3930.1,1.254604115161646e-16
10,3955.7,1.419478341056169e-16
11,3981.3,2.0671066148719602e-16
12,4006.8,1.868826355775345e-16
13,4032.4,1.7757803954218312e-16
14,4058.0,1.5534941028997376e-16
15,4083.6,1.297703080975303e-16
16,4109.1,1.2689567659506784e-16
17,4134.7,1.6413751767544234e-16
18,4160.3,1.4854993872309588e-16
19,4185.8,1.3118738780999176e-16
20,4211.4,1.1477926776415473e-16
21,4237.0,9.979705267049493e-17
22,4262.6,1.3682994804894906e-16
23,4288.1,1.1058201721527867e-16
24,4313.7,9.997378031130681e-17
25,4339.3,9.453640850609224e-17
26,4364.8,1.0681001123268308e-16
27,4390.4,9.42345159054197e-17
28,4416.0,9.189125905901754e-17
29,4441.6,1.0607855487446542e-16
30,4467.1,1.3543150634499674e-16
31,4492.7,1.2650146303759946e-16
32,4518.3,1.9669379436054958e-16
33,4543.8,1.8336241240857452e-16
34,4569.4,2.0670047529549416e-16
35,4595.0,2.1112531452921138e-16
36,4620.5,2.0521437105330677e-16
37,4646.1,2.0066392440724543e-16
38,4671.7,1.8599805448928984e-16
39,4697.3,1.7353168505040486e-16
40,4722.8,1.5033533421028157e-16
41,4748.4,1.588371585134265e-16
42,4774.0,1.7671193616499741e-16
43,4799.5,1.7176540054603307e-16
44,4825.1,1.780685805641445e-16
45,4850.7,1.894699861846947e-16
46,4876.3,1.9056228588753566e-16
47,4901.8,1.6793217945379315e-16
48,4927.4,1.4781127374812187e-16
49,4953.0,1.378928912043783e-16
50,4978.5,1.556349958339568e-16
51,5004.1,1.4031615726399134e-16
52,5029.7,1.5160707157638777e-16
53,5055.3,1.461673287883846e-16
54,5080.8,1.431197837034844e-16
55,5106.4,1.3446703103908742e-16
56,5132.0,1.3038662270313501e-16
57,5157.5,1.4540555839800752e-16
58,5183.1,1.5958791531702658e-16
59,5208.7,1.5633614564480603e-16
60,5234.2,1.5339769623369864e-16
61,5259.8,1.6435605162132567e-16
62,5285.4,1.5073989542265837e-16
63,5311.0,1.6096972271500801e-16
64,5336.5,1.4238698319992335e-16
65,5362.1,1.452591597501461e-16
66,5387.7,1.5476028720946834e-16
67,5413.2,1.5918346756165317e-16
