,wl,fl
0,3776.7,-9.016625193951529e-17
1,3802.3,-5.752634190904002e-16
2,3827.9,8.123946110560176e-16
3,3853.4,-2.9142639316729906e-16
4,3879.0,-5.747155741308423e-16
5,3904.6,-1.7752493469223792e-16
6,3930.1,7.34607652534232e-17
7,3955.7,5.849737655912217e-16
8,3981.3,7.536040741936942e-16
9,4006.8,6.636475042121624e-16
10,4032.4,1.3204952905154732e-15
11,4058.0,1.659703488077909e-16
12,4083.6,7.457565353476885e-16
13,4109.1,5.631571071333755e-16
14,4134.7,3.7035070186807855e-16
15,4160.3,6.307273891298968e-16
16,4185.8,8.61493143863324e-16
17,4211.4,7.336327993224996e-16
18,4237.0,6.448803054067309e-16
19,4262.6,9.598537279260728e-16
20,4288.1,8.019428795715844e-16
21,4313.7,9.071949435408195e-16
22,4339.3,8.236599567922609e-16
23,4364.8,7.124742584202517e-16
24,4390.4,7.28211052045913e-16
25,4416.0,5.156931851375911e-16
26,4441.6,4.170922709047626e-16
27,4467.1,4.554338676473252e-16
28,4492.7,4.733917928252251e-16
29,4518.3,5.361298795994732e-16
30,4543.8,5.942737465556482e-16
31,4569.4,8.680055112840771e-16
32,4595.0,7.711093633955887e-16
33,4620.5,7.511418031970936e-16
34,4646.1,1.1100202343698672e-15
35,4671.7,9.042944852016235e-16
36,4697.3,1.0261671901202524e-15
37,4722.8,9.61750402217224e-16
38,4748.4,7.737101618528588e-16
39,4774.0,8.413159034051434e-16
40,4799.5,7.381586202473198e-16
41,4825.1,7.391462546597987e-16
42,4850.7,8.898785974147431e-16
43,4876.3,6.681110263843078e-16
44,4901.8,6.618653259142069e-16
45,4927.4,5.734070352291419e-16
46,4953.0,6.681029810992894e-16
47,4978.5,6.6799516618453765e-16
48,5004.1,7.795295911970239e-16
49,5029.7,6.28340360752292e-16
50,5055.3,5.534685052672692e-16
51,5080.8,6.160905530265861e-16
52,5106.4,5.23610379783863e-16
53,5132.0,6.902759951008768e-16
54,5157.5,5.669521328779461e-16
55,5183.1,6.419995223660065e-16
56,5208.7,5.412739509151697e-16
57,5234.2,7.03600305597254e-16
58,5259.8,6.243979828667592e-16
59,5285.4,6.454320108170807e-16
60,5311.0,6.777321498357316e-16
61,5336.5,5.277118279848969e-16
62,5362.1,6.905064309407499e-16
63,5387.7,5.92540545907575e-16
64,5413.2,6.1540168364715245e-16
65,5438.8,5.6206268172613585e-16
66,5464.4,5.731082558731019e-16
67,5490.0,5.715498899207168e-16
68,5515.5,6.563801841700628e-16
69,5541.1,6.1401473871633e-16
70,5566.7,7.002481036146773e-16
71,5592.2,7.482899228953797e-16
72,5617.8,5.759379029671125e-16
73,5643.4,6.693135787759597e-16
74,5668.9,6.417154997409937e-16
75,5694.5,6.825834880403377e-16
76,5720.1,6.764973865295536e-16
77,5745.7,6.01640484529011e-16
78,5771.2,5.277293551074936e-16
79,5796.8,6.121374132455489e-16
80,5822.4,6.131704475634136e-16
81,5847.9,4.836637281370135e-16
82,5873.5,4.791945552860961e-16
83,5899.1,4.926543090536272e-16
84,5924.7,5.162134445833174e-16
85,5950.2,4.4311802548699026e-16
86,5975.8,4.977671930561569e-16
87,6001.4,5.145740765397101e-16
88,6026.9,4.602521231717091e-16
89,6052.5,5.921087152219028e-16
90,6078.1,5.920408949969794e-16
91,6103.7,5.94816933357584e-16
92,6129.2,5.714922869952255e-16
93,6154.8,6.252144532862819e-16
94,6180.4,4.717612211733688e-16
95,6205.9,2.951461340453733e-16
96,6231.5,3.0852291473080605e-16
97,6257.1,3.6958308400696263e-16
98,6282.6,1.666829963459694e-16
99,6308.2,3.240758754769318e-16
100,6333.8,4.400423012043572e-16
101,6359.4,4.465860638747016e-16
102,6384.9,4.296781216306591e-16
103,6410.5,4.1151204359098446e-16
104,6436.1,4.561581016574418e-16
105,6461.6,4.486456766638343e-16
106,6487.2,4.404293248934836e-16
107,6512.8,4.733175776775187e-16
108,6538.4,5.265167288397674e-16
109,6563.9,4.839294122808989e-16
110,6589.5,4.949062696084383e-16
111,6615.1,5.570033824675854e-16
112,6640.6,5.083983275647514e-16
113,6666.2,4.902608510568604e-16
114,6691.8,5.252246758891725e-16
115,6717.4,4.641904599891986e-16
116,6742.9,4.466544468115072e-16
117,6768.5,4.452877814672804e-16
118,6794.1,4.59437994764208e-16
119,6819.6,4.760964731672198e-16
120,6845.2,4.54823742702763e-16
121,6870.8,4.3362496919375425e-16
122,6896.3,4.125029042272973e-16
123,6921.9,3.6958664891757394e-16
124,6947.5,4.0891509330960676e-16
125,6973.1,4.3432621890157897e-16
126,6998.6,3.9286125382724517e-16
127,7024.2,3.4565784850638493e-16
128,7049.8,3.061717126363019e-16
129,7075.3,3.3967523169273847e-16
130,7100.9,3.8294555417754827e-16
131,7126.5,3.5528094623978726e-16
132,7152.1,3.4575881335039564e-16
133,7177.6,3.505431575876234e-16
134,7203.2,3.5572162806754094e-16
135,7228.8,3.5591032015263733e-16
136,7254.3,2.9918445165466577e-16
137,7279.9,2.778748542860559e-16
138,7305.5,3.119788783136204e-16
139,7331.1,3.356796735639701e-16
140,7356.6,3.164716751451135e-16
141,7382.2,3.5141438088660873e-16
142,7407.8,3.626457999299498e-16
143,7433.3,3.018475987746396e-16
144,7458.9,2.874517504494777e-16
145,7484.5,3.0849982045237615e-16
146,7510.0,2.793905358239335e-16
147,7535.6,2.6267883750442607e-16
148,7561.2,2.9552861520037757e-16
149,7586.8,2.855800160615414e-16
150,7612.3,2.424702437678748e-16
151,7637.9,2.260765517375932e-16
152,7663.5,2.339829968504109e-16
153,7689.0,2.5964597749687643e-16
154,7714.6,2.435766303992147e-16
155,7740.2,2.1917022750307972e-16
156,7765.8,2.346171896117497e-16
157,7791.3,2.9050922422306677e-16
158,7816.9,3.1572268144616224e-16
159,7842.5,2.6966387837474816e-16
160,7868.0,2.647141101887551e-16
161,7893.6,2.881324427115521e-16
162,7919.2,3.376704601828809e-16
163,7944.7,3.449901011084275e-16
164,7970.3,2.924557168841182e-16
165,7995.9,2.8070429654442687e-16
166,8021.5,3.029940150799732e-16
167,8047.0,3.031507098956186e-16
168,8072.6,2.960081567607816e-16
169,8098.2,3.1166426404632923e-16
170,8123.7,3.19349308333425e-16
171,8149.3,2.909499883727455e-16
172,8174.9,2.6316189806008417e-16
173,8200.5,2.4205876699427395e-16
174,8226.0,2.0308020539704602e-16
175,8251.6,1.8742618671118383e-16
176,8277.2,2.307698461848614e-16
177,8302.7,2.44299424761801e-16
178,8328.3,2.1069715959071024e-16
179,8353.9,2.297298434213612e-16
180,8379.5,2.7340081537408644e-16
181,8405.0,2.7070331843757655e-16
182,8430.6,2.311492741805159e-16
183,8456.2,2.2190201094634597e-16
184,8481.7,2.0950529398241024e-16
185,8507.3,1.9104799252471648e-16
186,8532.9,2.1577428519720287e-16
187,8558.4,1.999001136273397e-16
188,8584.0,1.5193757307794132e-16
189,8609.6,2.0720016796560303e-16
190,8635.2,3.2326415276170253e-16
191,8660.7,3.5523526410779e-16
192,8686.3,2.5674377073575653e-16
193,8711.9,1.812559555715476e-16
194,8737.4,2.4116951095670376e-16
195,8763.0,3.3742981404209915e-16
196,8788.6,3.9877367181430884e-16
197,8814.2,3.5114668924387697e-16
198,8839.7,2.8801890154559293e-16
199,8865.3,2.849490781342768e-16
200,8890.9,2.6568410075841296e-16
201,8916.4,2.3251910283762186e-16
202,8942.0,2.5230297350840443e-16
203,8967.6,2.50177451925181e-16
204,8993.2,2.0137947842058707e-16
205,9018.7,2.0949119151877653e-16
206,9044.3,2.3146924318986594e-16
207,9069.9,1.799995816031653e-16
208,9095.4,1.589092478102008e-16
209,9121.0,2.0817542730521476e-16
210,9146.6,2.13037916491751e-16
211,9172.1,1.8299582326065164e-16
212,9197.7,1.523945752675892e-16
213,9223.3,1.4560625566957574e-16
