,wl,fl
0,4500.0,4.667561340891519e-16
1,4502.0,3.586980677777159e-16
2,4504.0,4.2279133594876017e-16
3,4506.0,4.860362048832306e-16
4,4508.0,6.248122433306009e-16
5,4510.0,5.454575852832998e-16
6,4512.0,6.454610027975456e-16
7,4514.0,5.233948578602694e-16
8,4516.0,6.14993072837303e-16
9,4518.0,3.822444081766192e-16
10,4520.0,4.093252758831883e-16
11,4522.0,2.911345454726002e-16
12,4524.0,4.548585059300517e-16
13,4526.0,7.163725890644241e-16
14,4528.0,4.226364964076526e-16
15,4530.0,5.468945937046926e-16
16,4532.0,4.959941491683669e-16
17,4534.0,4.852674698013712e-16
18,4536.0,4.050992493274313e-16
19,4538.0,3.6400666260408614e-16
20,4540.0,4.810683796192728e-16
21,4542.0,3.766104375166339e-16
22,4544.0,4.663188382358504e-16
23,4546.0,5.747166793631117e-16
24,4548.0,4.3099950549899366e-16
25,4550.0,3.8854561883445956e-16
26,4552.0,4.387949306003779e-16
27,4554.0,4.19753159020801e-16
28,4556.0,3.5297541546300594e-16
29,4558.0,3.8805574204270154e-16
30,4560.0,4.3991775385608845e-16
31,4562.0,5.836749639577851e-16
32,4564.0,4.611578009066263e-16
33,4566.0,4.139685990529212e-16
34,4568.0,5.293242924357264e-16
35,4570.0,6.457865043780222e-16
36,4572.0,2.70548286422018e-16
37,4574.0,2.84253646895722e-16
38,4576.0,4.1567088558663143e-16
39,4578.0,5.031047695255069e-16
40,4580.0,4.3690975562963636e-16
41,4582.0,3.7638403784072956e-16
42,4584.0,3.11913853072105e-16
43,4586.0,4.719778304592515e-16
44,4588.0,4.31987036509658e-16
45,4590.0,2.9877178128812377e-16
46,4592.0,3.1496581148725784e-16
47,4594.0,4.4306667702217657e-16
48,4596.0,4.490163945178632e-16
49,4598.0,3.4063865864300176e-16
50,4600.0,2.3800666197445466e-16
51,4602.0,5.3660566187095e-16
52,4604.0,3.426626217835663e-16
53,4606.0,3.6769516292694313e-16
54,4608.0,3.7736028326016055e-16
55,4610.0,4.368422143544328e-16
56,4612.0,3.138836715000927e-16
57,4614.0,3.012180431604001e-16
58,4616.0,3.2726542920439293e-16
59,4618.0,3.2433313185355646e-16
60,4620.0,1.3938767240778478e-16
61,4622.0,3.7737404048014124e-16
62,4624.0,3.530376752192168e-16
63,4626.0,2.6681956478999674e-16
64,4628.0,3.597569270574188e-16
65,4630.0,4.191110201781152e-16
66,4632.0,3.68394169354723e-16
67,4634.0,3.5506893845985574e-16
68,4636.0,3.3732360316506183e-16
69,4638.0,2.9665671228523885e-16
70,4640.0,2.848826005327388e-16
71,4642.0,2.603217484872396e-16
72,4644.0,1.9811563331096363e-16
73,4646.0,3.50690565213659e-16
74,4648.0,3.447452804171847e-16
75,4650.0,1.9262551606860511e-16
76,4652.0,2.900802511631247e-16
77,4654.0,2.959717158187074e-16
78,4656.0,3.0384664564490455e-16
79,4658.0,3.544225605629598e-16
80,4660.0,2.3525295662459774e-16
81,4662.0,3.036492130571129e-16
82,4664.0,3.409941438609208e-16
83,4666.0,2.5919624806111487e-16
84,4668.0,3.123538921081797e-16
85,4670.0,2.8617933512531827e-16
86,4672.0,2.2161313141438118e-16
87,4674.0,3.505172512515551e-16
88,4676.0,3.401437688025977e-16
89,4678.0,3.4567822323077925e-16
90,4680.0,3.3024029308688354e-16
91,4682.0,3.064873279931628e-16
92,4684.0,3.756736495294373e-16
93,4686.0,2.685751584857012e-16
94,4688.0,4.571729692972896e-16
95,4690.0,2.3977234236046344e-16
96,4692.0,2.9819909213798306e-16
97,4694.0,3.3195235233014816e-16
98,4696.0,2.6508379175931307e-16
99,4698.0,3.792783249837368e-16
100,4700.0,4.658265303976065e-16
101,4702.0,3.833399897187797e-16
102,4704.0,2.504542705632795e-16
103,4706.0,2.880573967430043e-16
104,4708.0,2.5068679897076107e-16
105,4710.0,2.9833296058767275e-16
106,4712.0,3.1911310533670354e-16
107,4714.0,3.771786250434304e-16
108,4716.0,3.303795784013895e-16
109,4718.0,3.4111378900576556e-16
110,4720.0,4.1337793827639892e-16
111,4722.0,3.335737332939013e-16
112,4724.0,3.4625747107769675e-16
113,4726.0,3.787756880136762e-16
114,4728.0,3.8860553084512915e-16
115,4730.0,4.464338067011989e-16
116,4732.0,3.095517578783542e-16
117,4734.0,3.3744783889717086e-16
118,4736.0,3.171366070300215e-16
119,4738.0,4.448715858989322e-16
120,4740.0,2.97961282210665e-16
121,4742.0,3.8311228983311e-16
122,4744.0,4.52343271995243e-16
123,4746.0,5.479726607109925e-16
124,4748.0,4.99827908906519e-16
125,4750.0,4.451961713970773e-16
126,4752.0,3.335408216606514e-16
127,4754.0,1.82926283716607e-16
128,4756.0,1.8988125276712064e-16
129,4758.0,1.592212847843935e-16
130,4760.0,2.531818855752595e-16
131,4762.0,3.1219548151280423e-16
132,4764.0,3.779051888964972e-16
133,4766.0,3.350240586256285e-16
134,4768.0,3.3154707379880674e-16
135,4770.0,2.8130448389636835e-16
136,4772.0,3.2842858001290074e-16
137,4774.0,3.0353445772175833e-16
138,4776.0,1.6936408264156356e-16
139,4778.0,1.3278559892956475e-16
140,4780.0,2.323378188211129e-16
141,4782.0,3.774774835318017e-16
142,4784.0,3.080011197479659e-16
143,4786.0,3.366084643959999e-16
144,4788.0,3.125209948904207e-16
145,4790.0,2.293280212403002e-16
146,4792.0,2.4434698254666356e-16
147,4794.0,2.0664292014281356e-16
148,4796.0,3.61879974981069e-16
149,4798.0,2.0070880724411806e-16
150,4800.0,2.731235647014665e-16
151,4802.0,2.741103329830607e-16
152,4804.0,2.7885168864609216e-16
153,4806.0,2.7082715163356944e-16
154,4808.0,2.4321026378602606e-16
155,4810.0,2.351386364727634e-16
156,4812.0,2.7838099633341175e-16
157,4814.0,2.5120556535874135e-16
158,4816.0,2.3933416726594613e-16
159,4818.0,2.6307422904979237e-16
160,4820.0,2.9589104498789633e-16
161,4822.0,2.651197939855049e-16
162,4824.0,2.2633599470462087e-16
163,4826.0,2.359499625454175e-16
164,4828.0,2.237980534658778e-16
165,4830.0,2.375350268966264e-16
166,4832.0,3.088303427684016e-16
167,4834.0,2.0651368682372488e-16
168,4836.0,2.8271303496582177e-16
169,4838.0,3.4961393734545614e-16
170,4840.0,2.427082964098691e-16
171,4842.0,2.321998701405757e-16
172,4844.0,2.4115499404317155e-16
173,4846.0,2.2424702899418286e-16
174,4848.0,3.6947476819160273e-16
175,4850.0,2.6960578112774813e-16
176,4852.0,2.9034966470988544e-16
177,4854.0,1.8406847317837946e-16
178,4856.0,2.5865063539786255e-16
179,4858.0,2.7958684042133214e-16
180,4860.0,2.1763439477675058e-16
