,wl,fl
0,3600.3,1.5928949799554242e-16
1,3601.51,1.198714634924674e-16
2,3602.72,1.8927264794734333e-16
3,3603.93,1.7711060840056223e-16
4,3605.15,1.1449102583480604e-16
5,3606.36,5.3317315779189414e-17
6,3607.57,5.041591277560381e-17
7,3608.78,4.258003112187475e-17
8,3609.99,1.1106703772671822e-16
9,3611.2,1.0110439551222207e-16
10,3612.41,1.6977210123854067e-16
11,3613.62,2.307077296894443e-16
12,3614.83,2.213522945257006e-16
13,3616.04,9.253771504239514e-17
14,3617.25,1.0287071225980466e-16
15,3618.46,2.0044273306699206e-16
16,3619.67,1.5012069854838627e-16
17,3620.88,1.3133812097820064e-16
18,3622.1,8.233576763204382e-17
19,3623.31,2.1820310728780728e-17
20,3624.52,7.220086012123976e-17
21,3625.73,1.1252408403913274e-16
22,3626.94,1.0523222494975043e-16
23,3628.15,5.061850641165122e-17
24,3629.36,5.0909293246591435e-17
25,3630.57,1.7616407122342714e-16
26,3631.78,7.449849292730307e-17
27,3632.99,2.053076501718253e-16
28,3634.2,9.000360504493952e-17
29,3635.41,8.288891625048706e-17
30,3636.62,1.6111136747964403e-16
31,3637.84,9.832681279417612e-17
32,3639.05,5.1925993500371457e-17
33,3640.26,4.7250730309737614e-17
34,3641.47,3.668247333072749e-17
35,3642.68,5.556197901275163e-17
36,3643.89,1.150852313413907e-16
37,3645.1,1.5659845379934155e-16
38,3646.31,1.1474523487498402e-16
39,3647.52,7.931156190464607e-17
40,3648.73,1.32728604418144e-16
41,3649.94,4.3422071771131124e-17
42,3651.15,5.0968746503088226e-17
43,3652.36,6.746944060360099e-17
44,3653.58,6.634163027676845e-17
45,3654.79,5.586173517628999e-17
46,3656.0,1.1332468808788484e-16
47,3657.21,5.290414112058892e-17
48,3658.42,6.924601425926356e-17
49,3659.63,7.275267723523063e-17
50,3660.84,3.0067093326062847e-17
51,3662.05,3.205066836735181e-17
52,3663.26,5.3262255412614334e-17
53,3664.47,6.890542116111916e-17
54,3665.68,7.685944222583154e-17
55,3666.89,8.742806214800118e-17
56,3668.1,9.55959795316566e-17
57,3669.31,6.527828515844044e-17
58,3670.53,8.509407389136818e-17
59,3671.74,1.0704547466086002e-16
60,3672.95,1.1378582988844199e-16
61,3674.16,1.1308112047219008e-16
62,3675.37,7.348103222395989e-17
63,3676.58,7.761371312218202e-17
64,3677.79,8.159931186689761e-17
65,3679.0,7.136817301281488e-17
66,3680.21,1.3114021203477718e-16
67,3681.42,1.1419884304460425e-16
68,3682.63,1.1406133691765968e-16
69,3683.84,8.941983621232588e-17
70,3685.05,8.130669270025103e-17
71,3686.27,7.992706882025684e-17
72,3687.48,9.262832531618794e-17
73,3688.69,1.2241380353075572e-16
74,3689.9,1.4584401244256236e-16
75,3691.11,1.274888576536491e-16
76,3692.32,1.0523168151691075e-16
77,3693.53,1.2827444065891666e-16
78,3694.74,1.1328330362814795e-16
79,3695.95,8.092252347262971e-17
80,3697.16,9.829693394846693e-17
81,3698.37,1.16019228032978e-16
82,3699.58,9.039961343616442e-17
83,3700.79,1.1090840856579393e-16
84,3702.0,1.2160906189407154e-16
85,3703.22,1.034123645684434e-16
86,3704.43,1.1137365910045262e-16
87,3705.64,1.13802265688646e-16
88,3706.85,1.2390218387266317e-16
89,3708.06,1.2474714677979977e-16
90,3709.27,1.0937430949241926e-16
91,3710.48,1.0023582292721656e-16
92,3711.69,9.749617890679297e-17
93,3712.9,1.1363977190440094e-16
94,3714.11,1.1906514481917108e-16
95,3715.32,1.114009645706934e-16
96,3716.53,1.1192319679067619e-16
97,3717.74,1.1146287690770607e-16
98,3718.96,8.985654769637297e-17
99,3720.17,8.972378572363021e-17
100,3721.38,1.0176469026945929e-16
101,3722.59,1.2656273612202973e-16
102,3723.8,9.518710688166361e-17
103,3725.01,9.275306827373295e-17
104,3726.22,1.4542220390420735e-16
105,3727.43,1.1630949008148741e-16
106,3728.64,1.3863104722544244e-16
107,3729.85,9.778030182556957e-17
108,3731.06,9.769317114743314e-17
109,3732.27,1.2705583201734043e-16
110,3733.48,1.331090025993646e-16
111,3734.69,1.251337829592278e-16
112,3735.91,1.2140087743161838e-16
113,3737.12,1.1326291788587176e-16
114,3738.33,1.1925606137876575e-16
115,3739.54,1.1401829320913287e-16
116,3740.75,8.961132177410484e-17
117,3741.96,1.0195292559205628e-16
118,3743.17,1.0351745643406432e-16
119,3744.38,1.3266312674230664e-16
120,3745.59,1.3635573662290174e-16
121,3746.8,1.3693337732573619e-16
122,3748.01,1.3667959475590086e-16
123,3749.22,1.407065821324321e-16
124,3750.43,1.253651586180731e-16
125,3751.65,7.899017411109419e-17
126,3752.86,1.2611159111258534e-16
127,3754.07,1.211440154418679e-16
128,3755.28,1.0889237554540334e-16
129,3756.49,1.2956935234109748e-16
130,3757.7,1.375896404846969e-16
131,3758.91,1.3344104207157925e-16
132,3760.12,1.3270370881742184e-16
133,3761.33,1.2132849692692077e-16
134,3762.54,1.34304986815784e-16
135,3763.75,1.3571320506108217e-16
136,3764.96,1.416353762105794e-16
137,3766.17,1.3616071647264938e-16
138,3767.39,1.2650757001046464e-16
139,3768.6,1.340413282697234e-16
140,3769.81,1.287536412684022e-16
141,3771.02,1.2363997250742156e-16
142,3772.23,1.3112329039354007e-16
143,3773.44,1.3328737120117126e-16
144,3774.65,1.729402448326653e-16
145,3775.86,2.0611872953644296e-16
146,3777.07,1.8576802489294595e-16
147,3778.28,2.251533332414216e-16
148,3779.49,2.0764198925020126e-16
149,3780.7,2.5634370440691397e-16
150,3781.91,1.6356369810132605e-16
151,3783.12,1.6793165132010084e-16
152,3784.34,1.628681295492542e-16
153,3785.55,1.6588494687273362e-16
154,3786.76,1.634490650191812e-16
155,3787.97,1.4862201785851388e-16
156,3789.18,1.4665791466989584e-16
157,3790.39,1.4917926117106005e-16
158,3791.6,1.5924575510769756e-16
159,3792.81,1.558938280122572e-16
160,3794.02,1.4535672822708748e-16
161,3795.23,1.537496597352093e-16
162,3796.44,1.5800438708637841e-16
163,3797.65,1.4729511106031508e-16
164,3798.86,1.6065386385412927e-16
165,3800.08,1.7318152630953773e-16
166,3801.29,1.636495805843242e-16
167,3802.5,1.7021890007017777e-16
168,3803.71,1.9106687937158508e-16
169,3804.92,1.8552297775123882e-16
170,3806.13,1.9528536275549409e-16
171,3807.34,1.6710596797886194e-16
172,3808.55,2.0349015435628652e-16
173,3809.76,2.1697734211583222e-16
174,3810.97,1.8425676303084847e-16
175,3812.18,1.7087759840542853e-16
176,3813.39,2.00025230526366e-16
177,3814.6,2.07667007227812e-16
178,3815.81,2.1868756890366626e-16
179,3817.03,2.006548201903095e-16
180,3818.24,2.0333197694802247e-16
181,3819.45,1.9975831500880189e-16
182,3820.66,2.0692803557349382e-16
183,3821.87,2.136639394187632e-16
184,3823.08,2.332452326228621e-16
185,3824.29,2.2059982460801416e-16
186,3825.5,2.1054182279224176e-16
187,3826.71,2.3044232957801826e-16
188,3827.92,2.2986287395209796e-16
189,3829.13,2.2268866426219424e-16
190,3830.34,2.343830132761884e-16
191,3831.55,2.3250437075751427e-16
192,3832.77,2.4068366443118216e-16
193,3833.98,2.3696163787778333e-16
194,3835.19,2.431979337451362e-16
195,3836.4,2.4678655196350323e-16
196,3837.61,2.490884476256515e-16
197,3838.82,2.633010024967518e-16
198,3840.03,2.7912009191088663e-16
199,3841.24,2.673213310657058e-16
200,3842.45,2.609279303293107e-16
201,3843.66,2.6066876657380426e-16
202,3844.87,2.6688924498237786e-16
203,3846.08,2.7139038462981527e-16
204,3847.29,2.5066733363383794e-16
205,3848.51,2.598670009141202e-16
206,3849.72,2.578027973145861e-16
207,3850.93,2.4453798665303953e-16
208,3852.14,2.4874233974230493e-16
209,3853.35,2.62489568775341e-16
210,3854.56,2.737014753162185e-16
211,3855.77,2.745788540757749e-16
212,3856.98,2.8232832384897153e-16
213,3858.19,2.848490002071694e-16
214,3859.4,2.972194787298668e-16
215,3860.61,2.799782106415174e-16
216,3861.82,2.9511587375509215e-16
217,3863.03,3.0259065404934533e-16
218,3864.24,2.9078839078956174e-16
219,3865.46,2.988679713840964e-16
220,3866.67,3.092326543890062e-16
221,3867.88,3.0138524092358747e-16
222,3869.09,3.055839977376642e-16
223,3870.3,3.162804090828548e-16
224,3871.51,3.3028644666777343e-16
225,3872.72,3.3848543805860926e-16
226,3873.93,3.378149013861872e-16
227,3875.14,3.3242616277345075e-16
228,3876.35,3.453295043038639e-16
229,3877.56,3.508461539441276e-16
230,3878.77,3.6014126181165515e-16
231,3879.98,3.505290074576143e-16
232,3881.2,3.1015738149540346e-16
233,3882.41,3.415928451974122e-16
234,3883.62,3.1989472944111196e-16
235,3884.83,3.4311612034000635e-16
236,3886.04,3.424084229471666e-16
237,3887.25,3.8150289818423123e-16
238,3888.46,3.678805400886919e-16
239,3889.67,3.430877798464694e-16
240,3890.88,3.4200981568168833e-16
241,3892.09,3.439313336015925e-16
242,3893.3,3.4321132382145977e-16
243,3894.51,3.372830237332817e-16
244,3895.72,3.42191053635791e-16
245,3896.93,3.472960429690288e-16
246,3898.15,3.4642769933369284e-16
247,3899.36,3.2843212106031475e-16
248,3900.57,3.434328887185194e-16
249,3901.78,3.450079428023729e-16
250,3902.99,3.4063597363058513e-16
251,3904.2,3.313171640459638e-16
252,3905.41,3.429468906330867e-16
253,3906.62,3.5426706363268117e-16
254,3907.83,3.6068893380347476e-16
255,3909.04,3.684299853558825e-16
256,3910.25,3.6347830471326938e-16
257,3911.46,3.6115415305647575e-16
258,3912.67,3.560306020116497e-16
259,3913.89,3.4594974451479027e-16
260,3915.1,3.597197755344198e-16
261,3916.31,3.662746596430901e-16
262,3917.52,3.556029882742586e-16
263,3918.73,3.531811281693109e-16
264,3919.94,3.487621188835635e-16
265,3921.15,3.496079227244511e-16
266,3922.36,3.3967877740646595e-16
267,3923.57,3.3071214378443137e-16
268,3924.78,3.077182790397543e-16
269,3925.99,3.4437394777202965e-16
270,3927.2,3.5150578103889213e-16
271,3928.41,3.393726912868702e-16
272,3929.63,3.3644706871473393e-16
273,3930.84,3.2261519917661206e-16
274,3932.05,2.9863029743519865e-16
275,3933.26,2.8963214450944053e-16
276,3934.47,3.319316006822439e-16
277,3935.68,3.1391334757106823e-16
278,3936.89,3.0919104851250185e-16
279,3938.1,3.3127796778699746e-16
280,3939.31,2.886355485966404e-16
281,3940.52,3.280417049230438e-16
282,3941.73,2.9770972760867373e-16
283,3942.94,2.7486996562404057e-16
284,3944.15,2.9792600581620117e-16
285,3945.36,3.068157479275675e-16
286,3946.58,3.1276095087042666e-16
287,3947.79,2.899619289498751e-16
288,3949.0,2.872256821517899e-16
289,3950.21,3.044013878934338e-16
290,3951.42,2.8289910960882033e-16
291,3952.63,2.660408978498973e-16
292,3953.84,2.8061715371655095e-16
293,3955.05,2.8635227489621385e-16
294,3956.26,2.7664900904272686e-16
295,3957.47,2.7044281584541626e-16
296,3958.68,2.70428955418725e-16
297,3959.89,2.568998645126921e-16
298,3961.1,2.821063875947832e-16
299,3962.32,2.8321175649615137e-16
300,3963.53,2.6138910828438906e-16
301,3964.74,2.707161912230698e-16
302,3965.95,2.7667051551468295e-16
303,3967.16,2.740229223370943e-16
304,3968.37,2.5601957903945944e-16
305,3969.58,2.72161282331871e-16
306,3970.79,2.555993438002344e-16
307,3972.0,2.561396924561214e-16
308,3973.21,2.523373845025799e-16
309,3974.42,2.60553826062318e-16
310,3975.63,2.661616565225118e-16
311,3976.84,2.509080565144046e-16
312,3978.05,2.385955834071895e-16
313,3979.27,2.4226033082510493e-16
314,3980.48,2.5781703026565173e-16
315,3981.69,2.567582442041124e-16
316,3982.9,2.7080001761421304e-16
317,3984.11,2.416931128994492e-16
318,3985.32,2.339342445606082e-16
319,3986.53,2.296679171478537e-16
320,3987.74,2.563588428288342e-16
321,3988.95,2.175960232566602e-16
322,3990.16,2.5089832889485256e-16
323,3991.37,2.3092243768219933e-16
324,3992.58,2.1553341598164133e-16
325,3993.79,2.2149540964866905e-16
326,3995.01,2.0648939973714116e-16
327,3996.22,2.0645386227885756e-16
328,3997.43,1.9365004630678415e-16
329,3998.64,2.1735625422955447e-16
330,3999.85,2.1079534295845625e-16
331,4001.06,1.8869201714807677e-16
332,4002.27,2.0625147461110997e-16
333,4003.48,2.0558931568021364e-16
334,4004.69,2.0676997555121225e-16
335,4005.9,2.0245936555265665e-16
336,4007.11,2.038120150221708e-16
337,4008.32,2.1567883540319704e-16
338,4009.53,2.0819953633014222e-16
339,4010.74,1.9820326496585655e-16
340,4011.96,2.135807415283281e-16
341,4013.17,2.122675120150206e-16
342,4014.38,2.0713539883607285e-16
343,4015.59,2.1801580166679388e-16
344,4016.8,2.300369136442012e-16
345,4018.01,2.30466475261937e-16
346,4019.22,2.2804768307384706e-16
347,4020.43,2.2469612848197957e-16
348,4021.64,2.0775561535477318e-16
349,4022.85,2.176503676600521e-16
350,4024.06,2.2014253025176952e-16
351,4025.27,2.0972237456389e-16
352,4026.48,2.2591148479791527e-16
353,4027.7,2.2316231199032716e-16
354,4028.91,2.230028747425848e-16
355,4030.12,2.284758839788819e-16
356,4031.33,2.0685514230202097e-16
357,4032.54,2.0689290229191145e-16
358,4033.75,2.0749502520254315e-16
359,4034.96,2.153477113249426e-16
360,4036.17,2.19163432822662e-16
361,4037.38,2.1132499665417157e-16
362,4038.59,2.1418371641635933e-16
363,4039.8,2.164288233098572e-16
364,4041.01,2.1867367106405525e-16
365,4042.22,2.0794254637361566e-16
366,4043.44,2.0143121584242844e-16
367,4044.65,2.0070883316090002e-16
368,4045.86,2.1218754869524166e-16
369,4047.07,2.1749736659014892e-16
370,4048.28,2.2650940159894924e-16
371,4049.49,2.464933968879348e-16
372,4050.7,2.286419657808692e-16
373,4051.91,2.371614885454933e-16
374,4053.12,2.248164927826485e-16
375,4054.33,2.3489196863479243e-16
376,4055.54,2.2828467556792865e-16
377,4056.75,2.285538416761114e-16
378,4057.96,2.0895675456444817e-16
379,4059.17,2.2894498938908286e-16
380,4060.39,2.2994918057409783e-16
381,4061.6,2.4234907774696543e-16
382,4062.81,2.2727683868371413e-16
383,4064.02,2.0451196113503273e-16
384,4065.23,2.1987600497556308e-16
385,4066.44,2.2473944652200864e-16
386,4067.65,2.466053730808045e-16
387,4068.86,2.3009164005437816e-16
388,4070.07,2.254854436690297e-16
389,4071.28,2.3356864357874906e-16
390,4072.49,2.1700940951046143e-16
391,4073.7,2.3289322474071166e-16
392,4074.91,2.3649260805539106e-16
393,4076.13,2.2768708193460676e-16
394,4077.34,2.4186557388340834e-16
395,4078.55,2.15441991588287e-16
396,4079.76,2.6154958205002975e-16
397,4080.97,2.5756820494312884e-16
398,4082.18,2.513837568866185e-16
399,4083.39,2.538421633206542e-16
400,4084.6,2.5169791355883564e-16
401,4085.81,2.5531876287267776e-16
402,4087.02,2.344245968755378e-16
403,4088.23,2.5762717636834513e-16
404,4089.44,2.6320503809269274e-16
405,4090.65,2.5608040773575876e-16
406,4091.86,2.6071551272278753e-16
407,4093.08,2.599785924987409e-16
408,4094.29,2.716968306633109e-16
409,4095.5,2.675216995068515e-16
410,4096.71,2.769505040553528e-16
411,4097.92,2.7651871065833163e-16
412,4099.13,2.847960898029788e-16
413,4100.34,2.660292551684442e-16
414,4101.55,2.780610317599317e-16
415,4102.76,2.8566421547033857e-16
416,4103.97,2.763169513411681e-16
417,4105.18,2.710672699356524e-16
418,4106.39,2.9852730452099087e-16
419,4107.6,3.0294848184496614e-16
420,4108.82,3.0956972071310706e-16
421,4110.03,3.1575020387754916e-16
422,4111.24,2.9161225868397013e-16
423,4112.45,2.805325078575208e-16
424,4113.66,2.774237252614472e-16
425,4114.87,2.8993597121640445e-16
426,4116.08,2.946979761320417e-16
427,4117.29,2.929576641390592e-16
428,4118.5,3.078009319701442e-16
429,4119.71,3.0785636216506283e-16
430,4120.92,3.0086129041832553e-16
431,4122.13,2.9425801117826e-16
432,4123.34,3.036852194734001e-16
433,4124.56,3.1621429972261864e-16
434,4125.77,3.094524305675389e-16
435,4126.98,2.925034934401503e-16
436,4128.19,2.89444893880722e-16
437,4129.4,2.9502208744149273e-16
438,4130.61,3.149006226052287e-16
439,4131.82,3.164820690424033e-16
