,wl,fl
0,3600.27,-2.272176703623398e-16
1,3601.48,2.1699335800661203e-16
2,3602.69,4.863105541111998e-16
3,3603.9,1.7528490616907097e-16
4,3605.11,-9.659278036783983e-17
5,3606.32,9.77673100479197e-17
6,3607.53,2.067669545337229e-16
7,3608.74,1.460307441483428e-16
8,3609.96,6.7477485526711e-17
9,3611.17,-6.22262567682544e-17
10,3612.38,-8.294406694230752e-17
11,3613.59,-2.0093772383258305e-16
12,3614.8,-8.09373989652948e-17
13,3616.01,2.6211031013490254e-16
14,3617.22,3.317846264689372e-16
15,3618.43,-1.435972328001655e-16
16,3619.64,7.23788784140457e-17
17,3620.85,-6.209963739993832e-17
18,3622.06,1.0891928825456159e-16
19,3623.27,8.449659388464809e-17
20,3624.48,-1.309849431835583e-16
21,3625.7,-8.813195190394155e-17
22,3626.91,1.6138539283680743e-16
23,3628.12,-9.519107637257582e-17
24,3629.33,2.9239456601528506e-17
25,3630.54,7.31882330403834e-17
26,3631.75,-3.4602547120301377e-16
27,3632.96,-1.1571222642031788e-16
28,3634.17,2.0947845032430973e-16
29,3635.38,1.201620595933504e-16
30,3636.59,2.243922855996416e-17
31,3637.8,-3.3977294464256413e-16
32,3639.01,7.749250801555131e-17
33,3640.22,-1.5965321566513106e-16
34,3641.43,-1.225617383333792e-16
35,3642.65,9.296454636501093e-17
36,3643.86,2.0068534672905042e-16
37,3645.07,8.823595762515286e-17
38,3646.28,8.117927277372517e-17
39,3647.49,1.1977080330279258e-16
40,3648.7,-7.297983183124554e-17
41,3649.91,-3.2836000662679534e-17
42,3651.12,1.3692330403628796e-16
43,3652.33,-1.1009981227497892e-16
44,3653.54,-1.391278731214587e-17
45,3654.75,5.69430585941735e-17
46,3655.96,-1.2008887149852471e-16
47,3657.17,3.1910966979041166e-17
48,3658.38,-5.7659089151038e-17
49,3659.6,1.8325842796786145e-16
50,3660.81,2.902192458556e-17
51,3662.02,1.591352811173746e-16
52,3663.23,-1.0237810940750979e-16
53,3664.44,1.5223422579820332e-16
54,3665.65,1.6764345626555897e-16
